epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,messages
1,train,1.1556487083435059,30.140625,30.140625,1.5,2.828125,2.828125,1260,10,4.015625,7.125,3.9924698519321886,3.9925014385474547,3.9925324746854693,4.01158841518288,3.6382437436344874,3.640530073092657,3.64263644019548,3.8005148025588493,0.4365234375,,,4.03515625,0.38087892544116136,0.38087892544116136,7.162105003080282,1.354563210796857,0.18912920296676547,0.3256922985903117,0.06757677047725193,0.5403076541616407,0.10339291627890153,0.3030765578429957,0.0832361186890795,0.7155320062522632,0.1964847246403924,6.901621427948218,1.0341995730620814,0.14984878319666667,0.30868692531212005,0.06053504828761079,0.38182469278932096,0.0708838695897402,0.1420900440494126,0.03733087878656615,0.44589145361472937,0.11605037048094627,baseline
2,train,0.9315042495727539,39.84375,39.84375,1.4951171875,2.58984375,2.58984375,2,2,0.9931640625,6.015625,0.9932044156425595,0.9932903933563584,0.9932842323872897,1.0301997017156277,0.98432953934864,0.9871999770035096,0.9869915578948656,1.189353182970146,0.8349609375,,,0.99169921875,0.3960391546278107,0.3960391546278107,7.162105003080282,0.9721861832282537,0.13574028624407702,0.0019178999994906576,0.0008742399773209946,0.23474637892399564,0.09028803484585309,0.20525899158970606,0.20215214427487882,0.7903495309141846,0.7780027709575715,6.919370696273633,0.9720348879958352,0.1404802446152099,0.0019052745690881778,0.0009049449723137234,0.13997822537836768,0.05831331172174278,0.10812878013073934,0.11822687056869126,0.720937889834314,0.8309670718393697,baseline
3,train,0.8386071920394897,45.25,45.25,1.490234375,2.591796875,2.591796875,288,10,2.294921875,6.01953125,2.2843474607435046,2.284408416160811,2.284425984023137,2.3138032699641746,2.1592752035552474,2.1619262906479966,2.162671659436743,2.3473602273193612,0.61865234375,,,2.30859375,0.4166014106336949,0.42960810492306256,7.162105003080282,1.3168012754304974,0.18385673972444788,0.06449077003080639,0.0205529636684702,0.29308925625754156,0.08270093596662595,0.39156147864409796,0.19984132611889863,0.7903720672706802,0.40327927413633985,6.963424715381455,1.316335855153286,0.18903569851852378,0.06585748871407215,0.021521395868008164,0.21676184815957367,0.0641143357170152,0.3214764893185702,0.1745236728079269,0.7528805049054803,0.4071710860173146,baseline
4,train,0.787061870098114,47.5625,47.5625,1.484375,2.58984375,2.58984375,19,9,1.5751953125,6.015625,1.5777374881829602,1.577820640335763,1.577842425650191,1.6134509243817992,1.5675059541327008,1.5703018453505826,1.5710240487374278,1.7658964221625066,0.73828125,,,1.5771484375,0.3988992886092911,0.4115287286427276,7.162105003080282,1.3550033788524698,0.1891906608838755,0.0054013060165925,0.0022584632573871798,0.23985874840648957,0.0857322537342495,0.49415725379323217,0.40732989970124245,0.7896226310290757,0.6506110028991814,6.980256252403468,1.3536724754708327,0.19392876515167065,0.005322078118478402,0.002269403055920572,0.16833392942044512,0.06308890831613866,0.4198256665537068,0.38003380236986145,0.7560294620082582,0.6713234761362308,baseline
5,train,0.782902181148529,48.34375,48.34375,1.4794921875,2.58984375,2.58984375,11,8,1.5224609375,6.0078125,1.5221407457413587,1.5222243734016319,1.522245202291559,1.5580315783204826,1.4931263296679247,1.495936015290181,1.4966196618898855,1.6925886799093348,0.74658203125,,,1.5234375,0.4154174359052745,0.42809586304672514,7.162105003080282,1.3510362400698341,0.18863675406724414,0.0031341726455762497,0.0013367468224497409,0.23604206877506062,0.08580827027710036,0.493979263950445,0.42357856670963445,0.7902905611390496,0.6773693413253418,6.9916271234051734,1.3506150172281286,0.19317606522619166,0.003224639587227074,0.001420661504702828,0.19671901418389925,0.07422385490384918,0.4500946666821495,0.42878868219761873,0.7534239876256361,0.7024354830365692,baseline
6,train,0.7819525003433228,48.625,48.625,1.474609375,2.58984375,2.58984375,8,7,1.49609375,6.0078125,1.4945672111443384,1.4946512128841547,1.494671773893236,1.5305741056001427,1.472563624310054,1.4753753688785907,1.4760473639428389,1.6722307991344134,0.7509765625,,,1.4951171875,0.4180167211815308,0.43170784620384034,7.162105003080282,1.350257636924582,0.18852804257182246,0.0026449272256323653,0.0011419966873247739,0.23558068065700688,0.08653940312814586,0.49398372798505097,0.4342207561431455,0.7903558705859766,0.6944315107260834,6.976891633706006,1.349912316465117,0.1934833429178642,0.00257602525908851,0.0011633714835753534,0.21777065138734564,0.08365805924017887,0.4659967433064196,0.4591615536691679,0.7052147517432754,0.6748717783226463,baseline
7,train,0.7859918475151062,49.875,49.875,1.4697265625,2.591796875,2.591796875,28,10,1.71875,6.01953125,1.7175897939973033,1.7176723230687005,1.7176988051720905,1.7530076744608172,1.7231385910839572,1.7259159314678485,1.7268088986499677,1.9198215513429633,0.71435546875,,,1.72265625,0.38006187821713405,0.38633467729051846,7.162105003080282,1.374390344724115,0.19189754187253838,0.008174161076948572,0.003251183172314689,0.2614599575262666,0.08952905852355791,0.4931915768671491,0.36921374321018713,0.7872596610405092,0.5891384453983528,7.016279834847531,1.3715662963415418,0.19548340839107184,0.009368386918993998,0.00384724689670944,0.22232608153318534,0.07867850341509203,0.45501451358397116,0.36272098151331633,0.7532491669774517,0.5968130794568862,baseline
8,train,0.7302941679954529,53.75,53.75,1.46484375,2.58984375,2.58984375,16,9,1.8857421875,6.015625,1.8836107029735658,1.8836934691610625,1.883730817411984,1.9189221066305209,1.889700349755877,1.8924627953113755,1.8937018770600984,2.0848393503890583,0.6865234375,,,1.8857421875,0.3906919620274652,0.392851920637974,7.162105003080282,1.5905154744140644,0.22207374420369633,0.004150795461056234,0.0016827056396036101,0.470087879797342,0.16362721713418313,0.49371469116441613,0.3832246867189452,0.7905369354489213,0.6133816110779678,7.008474436355687,1.5883214601192848,0.22662870137330351,0.004412435841300244,0.0018435167218444866,0.43387608165746716,0.15640804162775837,0.4581424330738404,0.38209733605704366,0.7522414233882122,0.617953717524734,baseline
9,train,0.6179994344711304,60.34375,60.34375,1.4599609375,2.8203125,2.8203125,92,10,2.544921875,7.14453125,2.544191778528103,2.5442688313682646,2.544353461618015,2.577386798978881,2.5143634897886877,2.5170329964898626,2.519891457268914,2.7017005053462513,0.64404296875,,,2.55078125,0.48605310794482137,0.5671501967405695,7.162105003080282,1.892090902110088,0.26418083807712067,0.015749027208253885,0.005586834945942069,0.4841134195580059,0.150106436438214,0.49402141597388116,0.30113507989396265,0.9234078809992292,0.5626995315684111,7.057982905262378,1.882427103933026,0.2667089350031583,0.01995936703368617,0.007185804134174122,0.481708559538248,0.1520924655494344,0.486083776513186,0.30734741063528564,0.873953973423025,0.5476414287705557,baseline
10,train,0.5611037611961365,62.625,62.625,1.455078125,2.888671875,2.888671875,15,8,2.279296875,7.34765625,2.2808445772873647,2.280926057519895,2.28102438612541,2.3154502935312116,2.2789105081966854,2.281630398446556,2.284872191747895,2.4700150521841993,0.68994140625,,,2.279296875,0.4769061171981125,0.5682256810178926,7.162105003080282,2.0127676864077433,0.2810301839392317,0.015305503959109679,0.0062782895580652445,0.48856548510674447,0.1717865091974884,0.49357506207816115,0.3919054741997725,0.9948002317541071,0.7895711743486649,7.054558518445695,2.0070322684431643,0.28450146996375986,0.014822191594812573,0.00622935885293898,0.4833185358509535,0.17386345281142648,0.48944583314568657,0.4091572615869118,0.93519937367277,0.7758407015783533,baseline
