phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.7257272601127625,61.3720588684082,2.9950616359710693,656,,,,
train,0.5688673257827759,69.5830307006836,2.9999735355377197,142,,,,
train,0.397237628698349,79.68700408935547,2.9999966621398926,97,,,,
train,0.3862272799015045,80.00900268554688,2.9999988079071045,83,,,,
train,0.38518187403678894,80.21700286865234,3.0,114,,,,
val,0.7125430703163147,59.475807189941406,3.0,17,97.87995698931256,0.20869400658622728,0.6217877864837646,0.46517348289489746
val,0.4548221230506897,73.99193572998047,3.0,36,96.36629888246149,0.16322279700951164,0.24779540300369263,0.1780855655670166
val,0.34527477622032166,80.74596405029297,3.0,40,96.48507688176446,0.16026262401799424,0.11687302589416504,0.09379938989877701
val,0.3927205204963684,78.2258071899414,3.0,38,97.06665870539481,0.13162442715070746,0.10792523622512817,0.09999062865972519
val,0.5965791940689087,72.27822875976562,3.0,40,96.02542821189061,0.13768715151874802,0.015338174067437649,0.07365522533655167
val (no noise),0.673232913017273,60.78628921508789,3.0,6,97.87995698931256,0.25255966576585076,0.8767567276954651,0.7285667657852173
val (no noise),0.3854386806488037,78.0241928100586,3.0,18,96.36629888246149,0.22237912992094172,0.3216250538825989,0.21999835968017578
val (no noise),0.2580617070198059,85.28225708007812,3.0,23,96.48507688176446,0.21986836120459124,0.14630255103111267,0.10952994227409363
val (no noise),0.28564509749412537,83.66935729980469,3.0,20,97.06665870539481,0.1846322122091052,0.14303064346313477,0.10001420974731445
val (no noise),0.48238271474838257,76.81451416015625,3.0,25,96.02542821189061,0.1882206695096287,0.021277470514178276,0.08342386037111282
