phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.6577552556991577,65.34252166748047,2.994473457336426,724,,,,
train,0.438316285610199,77.25508880615234,2.9999656677246094,141,,,,
train,0.35760074853897095,81.7959976196289,3.0,126,,,,
train,0.35385754704475403,81.86900329589844,3.0,128,,,,
train,0.33022409677505493,82.96299743652344,3.0,110,,,,
val,0.513343870639801,71.06855010986328,3.0,24,97.39564687813012,0.13217076857007118,0.007384718395769596,0.01644124649465084
val,0.38196101784706116,81.1491928100586,3.0,41,97.59279963964886,0.13199617278571657,0.015779942274093628,0.05585092678666115
val,0.4087534248828888,79.23387145996094,3.0,52,95.07731171162087,0.13120263694368517,0.030645349994301796,0.048334937542676926
val,0.35672080516815186,82.15725708007812,3.0,50,96.87688004280285,0.13409334061468267,0.0247686505317688,0.03190105780959129
val,0.3615151643753052,81.45161437988281,3.0,54,97.67039607736618,0.1276765334611227,0.006446551531553268,0.05379820615053177
val (no noise),0.4453197419643402,75.30242156982422,3.0,9,97.39564687813012,0.16057508666637696,0.008206753060221672,0.025230493396520615
val (no noise),0.2792606055736542,85.38306427001953,3.0,21,97.59279963964886,0.1842321404876922,0.020445844158530235,0.0525638684630394
val (no noise),0.3048596680164337,84.67742156982422,3.0,28,95.07731171162087,0.1907645666441121,0.04075219854712486,0.05418367683887482
val (no noise),0.25286808609962463,86.39112854003906,3.0,27,96.87688004280285,0.19727206383277623,0.027464132755994797,0.047714050859212875
val (no noise),0.25846877694129944,86.79435729980469,3.0,30,97.67039607736618,0.18823807464644826,0.011630753986537457,0.049095723778009415
