phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.6555547714233398,64.25,2.216796875,100000,10,0.9189453125,,,,,
train,0.6809775829315186,59.15625,1.7470703125,100000,4,0.6611328125,,,,,
train,0.8181362748146057,50.375,1.5068359375,100000,7,0.50390625,,,,,
train,0.8163170218467712,50.0625,1.4990234375,100000,3,0.498779296875,,,,,
train,0.8189075589179993,50.15625,1.4990234375,100000,4,0.49853515625,,,,,
train,0.8156298398971558,49.8125,1.4990234375,100000,4,0.498779296875,,,,,
train,0.8151860237121582,49.90625,1.4990234375,100000,4,0.498779296875,,,,,
train,0.8149026036262512,50.1875,1.4990234375,100000,3,0.498779296875,,,,,
train,0.801393449306488,51.75,1.6845703125,100000,7,0.638671875,,,,,
train,0.8663135766983032,48.34375,1.7421875,100000,4,0.66552734375,,,,,
val,0.6812993884086609,59.1875,1.7646484375,6,3,0.69775390625,0.7859366764378677,0.852930774018416,0.32002532657341237,0.16820290684700012,0.12369371205568314
val,0.6682690978050232,60.375,1.7646484375,6,3,0.66748046875,0.7885260243042611,0.8166347637846147,0.32731764959725435,0.16834807395935059,0.15197205543518066
val,0.836663007736206,48.375,1.501953125,3,3,0.501953125,0.8491929463985731,0.8118505895632286,0.35761037781903143,0.332268089056015,0.026088882237672806
val,0.835960328578949,49.1875,1.501953125,3,3,0.501953125,0.8491929463985731,0.8227006268682107,0.35761037781903143,0.332268089056015,0.026088882237672806
val,0.8319177031517029,51.0,1.501953125,3,3,0.501953125,0.8491929463985731,0.8691608123754127,0.35761037781903143,0.332268089056015,0.026088882237672806
val,0.8318386077880859,48.90625,1.501953125,3,3,0.501953125,0.8491929463985731,0.8687428599179396,0.35761037781903143,0.332268089056015,0.026088882237672806
val,0.8330442905426025,48.09375,1.501953125,3,3,0.501953125,0.8491929463985731,0.8722073027736081,0.35761037781903143,0.332268089056015,0.026088882237672806
val,0.8313921689987183,49.8125,1.501953125,3,3,0.501953125,0.8491929463985731,0.8695088517112093,0.35761037781903143,0.332268089056015,0.026088882237672806
val,0.7488673329353333,54.9375,2.00390625,4,3,0.8701171875,0.8227683939342253,0.8706387439502208,0.36631462005278065,0.4577868580818176,0.06405659019947052
val,1.0406758785247803,38.59375,1.501953125,2,2,0.501953125,0.8995410337186523,0.9004633628372334,0.3009724688440193,0.9961947798728943,0.9961947798728943
