epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
1,train,0.9725886583328248,45.46875,2.912109375,98689,10,1.8759765625,,,,,
2,train,1.133898377418518,36.5,3.25,98383,7,2.23828125,,,,,
3,train,1.0469752550125122,38.46875,3.248046875,98446,5,2.248046875,,,,,
4,train,1.487269639968872,24.390625,3.25,98397,4,2.25,,,,,
5,train,1.6128875017166138,20.125,3.251953125,98450,3,2.251953125,,,,,
6,train,1.612759709358215,20.15625,3.251953125,98495,2,2.251953125,,,,,
7,train,1.6127129793167114,20.015625,3.25,98393,2,2.25,,,,,
8,train,1.6126856803894043,20.125,3.25390625,98485,2,2.25390625,,,,,
9,train,1.612679958343506,20.15625,3.251953125,98441,2,2.251953125,,,,,
10,train,1.6126738786697388,20.328125,3.25,98405,2,2.25,,,,,
1,val,1.051154613494873,39.3125,3.251953125,7,3,2.251953125,0.7474174887010193,0.947476565860382,0.2573986158681227,0.596682608127594,0.5551436543464661
2,val,1.0592436790466309,34.78125,3.2734375,7,3,2.2734375,0.7464146961127673,0.9404660429897328,0.2542078377474417,0.5896241068840027,0.5455490350723267
3,val,1.058711290359497,36.40625,3.26171875,7,3,2.26171875,0.7467043488627885,0.9462138447353368,0.2477036332289405,0.5755811333656311,0.5359693169593811
4,val,1.611675262451172,19.859375,3.224609375,4,2,2.224609375,0.8440053573601962,0.6939306010646595,-0.0111814119485046,0.0005965605960227,0.000336142751621
5,val,1.6129745244979858,20.265625,3.23046875,4,2,2.23046875,0.8431949309254769,0.6511415554089566,0.011241673975902,0.0088768573477864,0.0010073345620185
6,val,1.6124277114868164,21.171875,3.26171875,4,2,2.26171875,0.8450449297050313,0.5994929423943275,-0.0086565414412311,0.0004069228016305,0.0003485211636871
7,val,1.6127787828445437,21.171875,3.2890625,4,2,2.2890625,0.848949369979777,0.5023050010953924,-0.0060441293738271,0.0073487083427608,0.0011827944545075
8,val,1.612370252609253,23.078125,3.244140625,4,2,2.244140625,0.8438341496245161,0.3253060569602045,-0.0077147740163602,0.0011257730657234,0.0002762425574474
9,val,1.6124544143676758,21.875,3.267578125,4,2,2.267578125,0.8445851437663575,0.3211570428650042,-0.0070718063793277,0.0028331559151411,0.000695165595971
10,val,1.6124411821365356,21.265625,3.2578125,4,2,2.2578125,0.8425904433761374,0.2629018429380556,-0.0039640855593618,0.0017422656528651,0.000641910417471
1,val (no noise),1.0460777282714844,39.125,4.0,2,3,3.0,0.8995410337186523,0.947476565860382,0.3028638514381367,0.9961947798728944,0.9961947798728944
2,val (no noise),1.048398494720459,36.0,4.0,2,3,3.0,0.8995410337186523,0.9404660429897328,0.3028638514381367,0.9961947798728944,0.9961947798728944
3,val (no noise),1.0476253032684326,35.28125,4.0,2,3,3.0,0.8995410337186523,0.9462138447353368,0.3028638514381367,0.9961947798728944,0.9961947798728944
4,val (no noise),1.613131046295166,19.5625,4.0,1,2,3.0,1.0,0.6939306010646595,-0.0547495252281364,,
5,val (no noise),1.6138737201690674,20.46875,4.0,1,2,3.0,1.0,0.6511415554089566,-0.0547495252281364,,
6,val (no noise),1.6131222248077393,21.375,4.0,1,2,3.0,1.0,0.5994929423943275,-0.0547495252281364,,
7,val (no noise),1.613497614860535,21.671875,4.0,1,2,3.0,1.0,0.5023050010953924,-0.0547495252281364,,
8,val (no noise),1.6131477355957031,22.484375,4.0,1,2,3.0,1.0,0.3253060569602045,-0.0547495252281364,,
9,val (no noise),1.613193154335022,21.671875,4.0,1,2,3.0,1.0,0.3211570428650042,-0.0547495252281364,,
10,val (no noise),1.6132057905197144,21.265625,4.0,1,2,3.0,1.0,0.2629018429380556,-0.0547495252281364,,
