phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.974019467830658,48.75,3.4375,100000,10,1.953125,,,,,
train,0.7266970276832581,59.96875,3.431640625,100000,10,1.8095703125,,,,,
train,0.5354154706001282,72.125,4.12890625,100000,10,2.484375,,,,,
train,0.2452697455883026,89.9375,5.453125,100000,10,3.3515625,,,,,
train,0.16900740563869476,92.6875,5.63671875,100000,10,3.4765625,,,,,
train,0.217575803399086,90.5,6.12890625,100000,10,3.791015625,,,,,
train,0.20980440080165863,91.625,8.6484375,100000,10,5.34375,,,,,
train,0.17194557189941406,93.125,9.0546875,100000,10,5.29296875,,,,,
train,0.1833583414554596,92.5,8.4375,100000,10,4.953125,,,,,
train,0.1471920758485794,94.0625,8.1171875,100000,10,4.703125,,,,,
val,0.7298938035964966,59.6875,3.689453125,139,10,1.8251953125,0.6357455101807789,0.9252801360620994,0.2596946287857204,0.1547345221042633,0.14692576229572296
val,0.6804927587509155,63.40625,2.755859375,94,10,1.4453125,0.654763086428389,0.8862179286510703,0.30648071443160396,0.21993352472782135,0.10572424530982971
val,0.2767317593097687,89.625,4.9296875,194,10,3.158203125,0.43104217316455296,0.9129761504367302,0.3523404410757475,0.23466694355010986,0.05238425359129906
val,0.1653500646352768,93.875,5.59765625,255,10,3.6015625,0.3390795386665709,0.8347855246492556,0.3570978506794545,0.20438754558563232,0.05238378047943115
val,0.12805283069610596,94.75,5.23828125,245,10,3.203125,0.34811773662701817,0.8751637407396489,0.37563850094837914,0.1984339952468872,0.0548173151910305
val,0.15282878279685974,94.5625,6.26953125,302,10,3.98046875,0.2969873083575354,0.87820886532022,0.3921178868362797,0.19579418003559113,0.05297016352415085
val,0.14500485360622406,94.5625,8.140625,333,10,4.87109375,0.2685173325095669,0.9076439981241871,0.4108741173299589,0.12527936697006226,0.040584199130535126
val,0.14722061157226562,94.25,9.34375,414,10,5.56640625,0.2125516145772034,0.9195843078020043,0.4358074828903485,0.11595700681209564,0.03823880851268768
val,0.19726406037807465,92.25,7.7890625,382,10,4.4765625,0.24006264236731112,0.9116237600094854,0.37337008398752897,0.11588529497385025,0.030784716829657555
val,0.11668439209461212,95.6875,8.3359375,384,10,4.9765625,0.21977211120043316,0.9273919051645497,0.41326104106637496,0.11760915815830231,0.03377776965498924
val (no noise),0.7270123362541199,59.78125,3.689453125,21,3,1.9140625,0.7120670386944226,0.9252801360620994,0.26852536396676985,0.17161813378334045,0.26491546630859375
val (no noise),0.6734052300453186,63.8125,2.755859375,23,4,1.5224609375,0.7034359607863079,0.8862179286510703,0.3151488415259237,0.2296348214149475,0.07761577516794205
val (no noise),0.25231093168258667,90.75,4.9296875,45,4,3.296875,0.5222759257891496,0.9129761504367302,0.36438157913717567,0.2593535780906677,0.09462162107229233
val (no noise),0.15444719791412354,94.25,5.59765625,78,4,3.767578125,0.42841766319493213,0.8347855246492556,0.3713972743411683,0.22987666726112366,0.08431912213563919
val (no noise),0.1148046925663948,95.375,5.23828125,63,4,3.3515625,0.44799081204918245,0.8751637407396489,0.3938555474020364,0.22439122200012207,0.1113639771938324
val (no noise),0.13556934893131256,95.1875,6.26953125,75,4,4.1796875,0.41726031336608826,0.87820886532022,0.4104720827724436,0.22935283184051514,0.11432503908872604
val (no noise),0.13241088390350342,95.4375,8.140625,83,4,5.0390625,0.399232850877966,0.9076439981241871,0.4285114722596666,0.15471932291984558,0.09941551834344864
val (no noise),0.12163195759057999,95.5625,9.34375,97,4,5.78515625,0.3734339802100075,0.9195843078020043,0.4537113147737544,0.14770808815956116,0.11506738513708115
val (no noise),0.1775749921798706,93.375,7.7890625,100,6,4.703125,0.3806460291231719,0.9116237600094854,0.39207589833018164,0.15030592679977417,0.04436469078063965
val (no noise),0.1007467657327652,96.5,8.3359375,112,5,5.1875,0.34687079901490314,0.9273919051645497,0.430720969617464,0.1572476029396057,0.08714240044355392
