epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
1,train,1.6106964349746704,20.125,1.0185546875,100000,10,0.0055999755859375,,,,,
2,train,1.6105067729949951,20.234375,1.0,100000,1,0.0,,,,,
3,train,1.610464572906494,20.1875,1.0,100000,1,0.0,,,,,
4,train,1.6104364395141602,20.265625,1.0,100000,3,7.998943328857422e-05,,,,,
5,train,1.6104084253311155,20.234375,1.0,100000,1,0.0,,,,,
6,train,1.6104114055633545,20.078125,1.0,100000,1,0.0,,,,,
7,train,1.6104143857955933,20.203125,1.0,100000,1,0.0,,,,,
8,train,1.6103979349136353,20.125,1.0,100000,1,0.0,,,,,
9,train,1.6103953123092651,20.1875,1.0,100000,1,0.0,,,,,
10,train,1.6103923320770264,20.28125,1.0,100000,1,0.0,,,,,
1,val,1.6101890802383425,21.46875,1.0,1,1,0.0,1.0,0.4781870182988629,-0.0547495252281364,,
2,val,1.6104447841644287,20.0625,1.0,1,1,0.0,1.0,0.3982629251105666,-0.0547495252281364,,
3,val,1.6101988554000854,21.671875,1.0,1,1,0.0,1.0,0.3237785582243417,-0.0547495252281364,,
4,val,1.61013925075531,21.0625,1.0,1,1,0.0,1.0,0.1538770869911719,-0.0547495252281364,,
5,val,1.6103477478027344,21.578125,1.0,1,1,0.0,1.0,0.2870590329970635,-0.0547495252281364,,
6,val,1.6104302406311035,19.15625,1.0,1,1,0.0,1.0,0.2540931000672725,-0.0547495252281364,,
7,val,1.6102592945098877,20.765625,1.0,1,1,0.0,1.0,0.3277342967360145,-0.0547495252281364,,
8,val,1.6102690696716309,20.359375,1.0,1,1,0.0,1.0,0.285082425473906,-0.0547495252281364,,
9,val,1.610241174697876,21.0625,1.0,1,1,0.0,1.0,0.2900495801227092,-0.0547495252281364,,
10,val,1.6103614568710327,20.96875,1.0,1,1,0.0,1.0,0.2433998097394267,-0.0547495252281364,,
1,val (no noise),1.6101890802383425,21.46875,1.0,1,1,0.0,1.0,0.4781870182988629,-0.0547495252281364,,
2,val (no noise),1.6104447841644287,20.0625,1.0,1,1,0.0,1.0,0.3982629251105666,-0.0547495252281364,,
3,val (no noise),1.6101988554000854,21.671875,1.0,1,1,0.0,1.0,0.3237785582243417,-0.0547495252281364,,
4,val (no noise),1.61013925075531,21.0625,1.0,1,1,0.0,1.0,0.1538770869911719,-0.0547495252281364,,
5,val (no noise),1.6103477478027344,21.578125,1.0,1,1,0.0,1.0,0.2870590329970635,-0.0547495252281364,,
6,val (no noise),1.6104302406311035,19.15625,1.0,1,1,0.0,1.0,0.2540931000672725,-0.0547495252281364,,
7,val (no noise),1.6102592945098877,20.765625,1.0,1,1,0.0,1.0,0.3277342967360145,-0.0547495252281364,,
8,val (no noise),1.6102690696716309,20.359375,1.0,1,1,0.0,1.0,0.285082425473906,-0.0547495252281364,,
9,val (no noise),1.610241174697876,21.0625,1.0,1,1,0.0,1.0,0.2900495801227092,-0.0547495252281364,,
10,val (no noise),1.6103614568710327,20.96875,1.0,1,1,0.0,1.0,0.2433998097394267,-0.0547495252281364,,
