phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.5221014618873596,75.75,3.072265625,99326,10,1.71484375,,,,,
train,0.2530207931995392,88.0625,3.25,99248,10,1.78515625,,,,,
train,0.216299369931221,89.3125,3.25,99289,10,1.802734375,,,,,
train,0.2576850950717926,87.625,3.22265625,99273,10,1.7861328125,,,,,
train,0.20957839488983154,89.0625,3.24609375,99243,10,1.826171875,,,,,
train,0.20598195493221283,89.3125,3.25,99292,10,1.810546875,,,,,
train,0.22568511962890625,88.6875,3.248046875,99284,10,1.8095703125,,,,,
train,0.21904008090496063,88.5625,3.248046875,99290,10,1.8310546875,,,,,
train,0.27191874384880066,86.625,3.220703125,99312,10,1.78515625,,,,,
train,0.22693689167499542,88.25,3.25,99266,10,1.8193359375,,,,,
val,0.2985217273235321,86.375,3.23046875,71,10,1.7392578125,0.43422832113833854,0.939358738043565,0.24989337713473989,0.04712354764342308,0.027093086391687393
val,0.2553672194480896,87.875,3.220703125,76,10,1.724609375,0.41668719650497055,0.8680155617139251,0.2412884747600356,0.03801882266998291,0.021755553781986237
val,0.23663392663002014,87.3125,3.25390625,77,10,1.78125,0.4151707172826664,0.9407779428073142,0.2577798117698859,0.04104006290435791,0.016793284565210342
val,0.24037767946720123,86.875,3.244140625,67,10,1.7529296875,0.4292947836659635,0.9288419556173204,0.24546494807430447,0.02534584514796734,0.030671080574393272
val,0.2813304662704468,86.875,3.240234375,74,10,1.7998046875,0.4205193120886964,0.9182676803905252,0.2546473770526631,0.005808722693473101,0.03360086679458618
val,0.22072099149227142,88.4375,3.259765625,68,10,1.798828125,0.4218240524161224,0.8949979588228377,0.2445758170440768,0.024358520284295082,0.0058645629324018955
val,0.23261238634586334,87.625,3.26171875,64,10,1.8427734375,0.43186857183233296,0.8923375444014757,0.25463938164581534,0.025955231860280037,0.005695228930562735
val,0.22588840126991272,87.8125,3.26953125,57,10,1.9248046875,0.44645541942882894,0.9400889461362503,0.2551385496449403,0.01346109714359045,0.005528150126338005
val,0.2553631663322449,87.125,3.248046875,58,10,1.8125,0.4456186317403871,0.9353996376332581,0.23847122095272028,0.03887639567255974,0.04325089231133461
val,0.2203754186630249,88.1875,3.234375,64,10,1.83203125,0.4311023267509221,0.9133217720711655,0.23643345627643217,0.012372146360576153,0.008412808179855347
val (no noise),0.21809713542461395,88.6875,3.802734375,33,10,2.13671875,0.541421721132666,0.939358738043565,0.4094891032760308,0.06882212311029434,0.029043737798929214
val (no noise),0.15866951644420624,91.25,3.802734375,37,10,2.140625,0.5173669532680001,0.8680155617139251,0.3922350319908126,0.031352266669273376,0.0219914261251688
val (no noise),0.13466553390026093,91.125,3.802734375,37,10,2.17578125,0.5101108731315751,0.9407779428073142,0.4023340891441135,0.03995756432414055,0.01724989153444767
val (no noise),0.16600793600082397,90.4375,3.818359375,27,10,2.16015625,0.5446734079345612,0.9288419556173204,0.38035093403049164,0.02419091761112213,0.030599789693951607
val (no noise),0.183904767036438,90.625,3.818359375,33,10,2.236328125,0.5262698079374795,0.9182676803905252,0.3919056750372106,0.01596924476325512,0.03362783417105675
val (no noise),0.12611068785190582,91.4375,3.818359375,30,10,2.2265625,0.5250315022233678,0.8949979588228377,0.3899749670445156,0.03331104293465614,0.006137335207313299
val (no noise),0.13785217702388763,92.0625,3.818359375,28,10,2.263671875,0.5357595454443791,0.8923375444014757,0.40120619183998363,0.028436968103051186,0.006186069454997778
val (no noise),0.13462969660758972,91.75,3.818359375,26,10,2.36328125,0.5480485039187313,0.9400889461362503,0.4017673337899839,0.020227722823619843,0.005887479986995459
val (no noise),0.16378901898860931,90.3125,3.818359375,23,10,2.232421875,0.5590766492921269,0.9353996376332581,0.3651575622847851,0.05698596313595772,0.038953747600317
val (no noise),0.1373015195131302,91.75,3.818359375,29,10,2.265625,0.5339845779766573,0.9133217720711655,0.38807017206674876,0.01083108689635992,0.009049882180988789
