epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
1,train,0.4739095568656921,77.375,3.322265625,100000,10,1.8505859375,,,,,
2,train,0.2657530605792999,85.1875,3.359375,100000,10,1.8759765625,,,,,
3,train,0.2489024549722671,85.75,3.357421875,100000,10,1.8349609375,,,,,
4,train,0.2367438524961471,86.0625,3.37890625,100000,10,1.9189453125,,,,,
5,train,0.2587711811065674,84.125,3.373046875,100000,10,1.8720703125,,,,,
6,train,0.2257553339004516,86.9375,3.42578125,100000,10,2.009765625,,,,,
7,train,0.2134673595428466,86.6875,3.373046875,100000,10,1.974609375,,,,,
8,train,0.2080458849668502,86.8125,3.373046875,100000,10,1.9765625,,,,,
9,train,0.216916799545288,86.375,3.361328125,100000,10,1.9638671875,,,,,
10,train,0.2359832376241684,86.1875,3.50390625,100000,10,2.060546875,,,,,
1,val,0.2907624840736389,85.0625,3.390625,84,10,1.9091796875,0.5489506956822741,0.9394593540345088,0.4303066093600656,0.0931785404682159,0.0486968345940113
2,val,0.2430126219987869,86.0625,3.390625,95,10,1.8681640625,0.5378725881572328,0.9498019634692016,0.4343239034437755,0.101004771888256,0.0621428415179252
3,val,0.2387607544660568,86.3125,3.390625,100,10,1.9111328125,0.536964444400889,0.938172660059512,0.4185405728521361,0.0857689380645752,0.0443627387285232
4,val,0.33137246966362,82.875,3.412109375,89,10,1.7412109375,0.5540717074351056,0.8605374033315095,0.3803941374263397,0.1298091262578964,0.063752070069313
5,val,0.228282943367958,86.875,3.388671875,91,10,1.9072265625,0.550914168409931,0.908081218681138,0.3791176106663089,0.07747682929039,0.0455607920885086
6,val,0.2231063246726989,86.0,3.388671875,109,10,1.9580078125,0.5258140516685933,0.9152190269139868,0.3262315680550187,0.0542608983814716,0.0179192926734685
7,val,0.2108900994062423,87.625,3.388671875,107,10,1.9619140625,0.5318046923662783,0.902475996333296,0.3303506603916416,0.052911814302206,0.0227593742311
8,val,0.2709012329578399,86.1875,3.388671875,100,10,1.8896484375,0.5403209915900791,0.8913999121442401,0.3341436718814365,0.0642502009868621,0.0224022585898637
9,val,0.2131472378969192,87.125,3.388671875,100,10,1.96875,0.5371098197070316,0.8839467359214452,0.3273958743872778,0.0524846613407135,0.0215330235660076
10,val,0.21351158618927,85.375,3.580078125,101,10,2.13671875,0.5326715439489593,0.9114179037755474,0.3884654970847708,0.0493209213018417,0.0122896200045943
1,val (no noise),0.2369617521762848,87.0,3.390625,15,6,1.9833984375,0.6192030845123876,0.9394593540345088,0.449630321402191,0.1165251433849334,0.0906005799770355
2,val (no noise),0.1979678571224212,87.875,3.390625,15,6,1.9482421875,0.6136131952728741,0.9498019634692016,0.4540167541553737,0.1157397329807281,0.0923700481653213
3,val (no noise),0.1993411034345626,87.5,3.390625,15,7,1.9921875,0.6136131952728741,0.938172660059512,0.4373346088682524,0.0922346413135528,0.0592261999845504
4,val (no noise),0.2595756947994232,85.5625,3.412109375,17,7,1.8076171875,0.6247929272247048,0.8605374033315095,0.3978433970856455,0.1413224041461944,0.0866124406456947
5,val (no noise),0.2049664855003357,87.8125,3.388671875,14,7,1.9892578125,0.6262573695303174,0.908081218681138,0.3937682698792384,0.0796813294291496,0.0495790801942348
6,val (no noise),0.1843547970056533,87.625,3.388671875,15,7,2.046875,0.6119829194326858,0.9152190269139868,0.3417514955073127,0.0570173859596252,0.0132197989150881
7,val (no noise),0.1825582683086395,87.8125,3.388671875,15,7,2.046875,0.6119829194326858,0.902475996333296,0.3417514955073127,0.0570173859596252,0.0132197989150881
8,val (no noise),0.2489531338214874,87.5,3.388671875,15,7,1.98046875,0.6202800862419975,0.8913999121442401,0.34945711200872,0.0601083189249038,0.0145892081782221
9,val (no noise),0.1834943145513534,87.875,3.388671875,15,7,2.046875,0.6119829194326858,0.8839467359214452,0.3417514955073127,0.0570173859596252,0.0132197989150881
10,val (no noise),0.1852584481239318,86.0625,3.580078125,15,7,2.23828125,0.6119829194326858,0.9114179037755474,0.4036983261612558,0.0559705682098865,0.0117484778165817
