phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.8225557208061218,57.8125,2.201171875,100000,10,1.10546875,,,,,
train,0.6197605729103088,62.84375,1.947265625,100000,10,0.732421875,,,,,
train,0.539271891117096,66.4375,2.150390625,100000,9,0.7724609375,,,,,
train,0.5083614587783813,69.5625,2.33203125,100000,10,0.97998046875,,,,,
train,0.4710078537464142,72.25,2.283203125,100000,9,0.8662109375,,,,,
train,0.314791202545166,80.875,2.443359375,100000,8,1.037109375,,,,,
train,0.32057416439056396,81.25,2.546875,100000,7,1.1572265625,,,,,
train,0.34874266386032104,77.875,2.55078125,100000,8,1.0517578125,,,,,
train,0.2829664349555969,82.5625,2.498046875,100000,10,1.08203125,,,,,
train,0.2835254669189453,82.1875,2.49609375,100000,8,1.232421875,,,,,
val,0.5430029630661011,66.9375,2.115234375,6,4,0.92724609375,0.7600961815333814,0.8927829655804983,0.22808678764656648,0.21982041001319885,0.1730756312608719
val,0.51976478099823,68.75,2.115234375,6,4,0.75,0.7600961815333814,0.9396947655064662,0.29719261451881956,0.3215029835700989,0.11519656330347061
val,0.6491183042526245,61.40625,2.353515625,5,5,0.75,0.7955399541035968,0.9616564720075479,0.23878237743986297,0.05422211438417435,0.022918639704585075
val,0.4411942958831787,72.5,2.294921875,12,6,0.974609375,0.7006310699128102,0.9118463944693737,0.30641318957835284,0.1008734405040741,0.12259946018457413
val,0.39742547273635864,75.9375,2.23828125,10,6,0.810546875,0.7001524506857155,0.8953421424119488,0.30124807332217474,0.13888314366340637,0.1372942179441452
val,0.22352342307567596,85.0625,2.54296875,13,6,1.1259765625,0.6390015146255434,0.9307798512315145,0.36505402144759297,0.19133108854293823,0.12056691944599152
val,0.3119700253009796,78.9375,2.6015625,9,6,1.2392578125,0.6903669439213245,0.918011638534274,0.3674935320184562,0.0923348143696785,0.0881817489862442
val,0.34950414299964905,79.4375,2.482421875,11,6,1.02734375,0.6736535950080488,0.9055469467122532,0.3313995020541439,0.15904946625232697,0.07350938022136688
val,0.25410643219947815,82.5625,2.482421875,12,6,1.099609375,0.6614747445949287,0.9026051661975153,0.3157179139148941,0.1363348662853241,0.08386300504207611
val,0.2568042278289795,81.875,2.482421875,13,6,1.2392578125,0.6564114535461183,0.9151345062129919,0.30044972268438674,0.10370784252882004,0.02774960733950138
