phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.7334721684455872,67.6875,6.79296875,100000,11,3.59375,,,,,
train,0.30612295866012573,87.625,8.609375,100000,11,4.61328125,,,,,
train,0.2723490595817566,88.4375,8.7265625,100000,10,4.53515625,,,,,
train,0.20527008175849915,91.4375,9.3828125,100000,10,4.75,,,,,
train,0.1862005591392517,92.0,9.453125,100000,10,4.75,,,,,
train,0.18883277475833893,91.8125,9.1015625,100000,10,4.6015625,,,,,
train,0.21171607077121735,90.8125,9.46875,100000,11,4.7109375,,,,,
train,0.18170912563800812,92.0,9.234375,100000,9,4.625,,,,,
train,0.17228080332279205,92.25,8.984375,100000,10,4.39453125,,,,,
train,0.17770443856716156,91.875,9.28125,100000,9,4.53125,,,,,
val,0.41833484172821045,80.9375,7.75,641,8,4.31640625,0.10146183012608812,0.8804595562706148,0.35693168140738496,0.1317010223865509,0.07919999212026596
val,0.23965635895729065,91.3125,9.53125,872,8,4.86328125,0.027630812328433674,0.9336653220169451,0.3712263833672712,0.07611611485481262,0.10573796927928925
val,0.21406452357769012,92.8125,8.7734375,828,9,4.52734375,0.04404337210075249,0.9224519107684339,0.349634996388359,0.06704400479793549,0.09623341262340546
val,0.2349812239408493,89.8125,9.7890625,906,8,4.9609375,0.019232588621949986,0.9014714295961886,0.34145182328981377,0.041460562497377396,0.09618396311998367
val,0.1886800080537796,91.8125,8.859375,821,8,4.4765625,0.043050406843678446,0.9569146365090084,0.3447276041785831,0.02420184016227722,0.10501827299594879
val,0.19801656901836395,90.9375,9.484375,859,8,4.8046875,0.03166535746490795,0.9475003830894577,0.3403201804396006,0.0463370755314827,0.10340293496847153
val,0.1770891547203064,93.0625,9.0,814,8,4.51171875,0.04480666020517743,0.9174097656210247,0.34041005104072664,0.11675260215997696,0.10443563759326935
val,0.17323841154575348,93.125,9.5234375,876,8,4.6171875,0.028007174919726485,0.9393116393556011,0.3316522730839034,0.1052234023809433,0.09677566587924957
val,0.1371784806251526,94.125,9.2421875,843,8,4.53515625,0.03801424971165357,0.9450492419258381,0.33476298924835324,0.1200304627418518,0.11066592484712601
val,0.20178048312664032,90.4375,8.9921875,810,8,4.41015625,0.046028479528631205,0.9559748402412936,0.3397046570585132,0.07682345807552338,0.12310381978750229
val (no noise),0.4220554530620575,80.25,7.75,52,7,5.70703125,0.48784819925476663,0.8804595562706148,0.38607121975482517,0.22094754874706268,0.08285075426101685
val (no noise),0.22118070721626282,92.5625,9.53125,75,7,6.45703125,0.4217982150475582,0.9336653220169451,0.4147754733338495,0.1360931098461151,0.10430889576673508
val (no noise),0.19793932139873505,92.5625,8.7734375,89,8,5.9453125,0.3924433395691892,0.9224519107684339,0.38402609258506243,0.1040724515914917,0.08943189680576324
val (no noise),0.21256032586097717,90.0,9.7890625,79,7,6.44140625,0.4087766701633694,0.9014714295961886,0.39969905888067614,0.07410186529159546,0.09411045908927917
val (no noise),0.1756238043308258,92.125,8.859375,84,7,5.68359375,0.39282648978465595,0.9569146365090084,0.3842228220773315,0.034925784915685654,0.11320534348487854
val (no noise),0.16903464496135712,92.4375,9.484375,87,7,6.31640625,0.3990685407923329,0.9475003830894577,0.3878439965107731,0.0813620537519455,0.09705605357885361
val (no noise),0.1636240929365158,94.0625,9.0,91,7,5.80078125,0.3887439361293389,0.9174097656210247,0.38191909150159764,0.1289806216955185,0.08700212836265564
val (no noise),0.15376007556915283,94.25,9.5234375,90,7,5.890625,0.3892875673256285,0.9393116393556011,0.3865601229029517,0.13144485652446747,0.09066957235336304
val (no noise),0.12812690436840057,94.125,9.2421875,86,7,5.84765625,0.3927856642309796,0.9450492419258381,0.3705375137586002,0.15477801859378815,0.09694825857877731
val (no noise),0.17226532101631165,92.3125,8.9921875,97,7,5.6875,0.3984192998910504,0.9559748402412936,0.3787136300643583,0.07732323557138443,0.11702243238687515
