epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y
1,train,baseline,4.050629138946533,35.0,35.0,1.5,1.060546875,1.060546875,91,10,3.310546875,4.484375,3.3149056040930076,3.3149194705006146,3.3149467959019896,3.323304250357418,3.281814170898168,3.2823797380696833,3.283472276076261,3.335268193342375,0.26171875,0.477783203125,,,3.310546875,0.31407275189001316,0.14421718890197485,7.162105003080282,1.0490467688076737,0.1464718498760489,0.030466151464365154,0.006863123783241863,0.03415150683698265,0.007048393468065782,0.7072928131264007,0.21691603838913667,0.7075949950529568,0.21697537772254893,6.836197971389932,0.633054696847791,0.09260333002308865,0.03933463911781754,0.008164433646740606,0.061431430585741076,0.011912858339877683,0.3095650651641968,0.08964179907906698,0.2800326621384741,0.0812890092344002
2,train,baseline,2.4946234226226807,50.125,50.125,1.4873046875,0.9990234375,0.9990234375,3,3,1.509765625,4.16796875,1.5094972276370786,1.509552020828344,1.509589225447703,1.5333198238577976,1.5087855213685124,1.5107856047652823,1.512090813633648,1.6373773347902087,0.6376953125,0.76171875,,,1.509765625,0.32206837496859747,0.14880314331146285,7.162105003080282,1.5006782846748197,0.2095303383613347,0.0010341676827891888,0.00047398276611082475,0.0011961074838762187,0.0004621657673552358,0.9941615942292739,0.9907484989147802,0.9946626303485617,0.9907531928320412,7.027311998392332,1.5008382328681884,0.21357216432279394,0.0011177524428154229,0.0005243470694981458,0.0013076691550004682,0.0005205194009746355,0.9216546904022609,0.9890016014048086,0.912428452051163,0.9888931039413176
3,train,baseline,2.4011893272399902,50.75,50.75,1.4755859375,0.9990234375,0.9990234375,3,3,1.5068359375,4.16796875,1.5064502012638636,1.5065067628215985,1.5065449827673063,1.5305286458509344,1.5048010656055204,1.5068217437730005,1.5081357070266952,1.6339593785456916,0.638671875,0.76220703125,,,1.505859375,0.2954956306655931,0.1364617782111323,7.162105003080282,1.5005298487060226,0.2095096131738747,0.0008384687627849274,0.0003847751999055238,0.0009129458570500404,0.0003531303454867156,0.9943305736797532,0.9936443195763279,0.9948371412273982,0.9936531022929032,6.995624560330732,1.5004286047601028,0.21448100763846123,0.0007853095886485306,0.00037124992146453985,0.0008684037368160702,0.00034693206498998875,0.9208258530556162,0.993788946276167,0.9199378203197952,0.9937763614452192
4,train,baseline,2.398170232772827,51.0,51.0,1.462890625,1.0009765625,1.0009765625,5,3,1.517578125,4.1796875,1.5170711376212922,1.5171271580901056,1.517165355162088,1.5408960535139642,1.5210802636200524,1.5230363091784138,1.5243310848494245,1.6483137509400947,0.63671875,0.7607421875,,,1.517578125,0.2969437769105308,0.13756022228650233,7.162105003080282,1.4969479111492185,0.20900948959913465,0.003311083798495318,0.0015102899214347251,0.004305728426214905,0.001656985756831041,0.9934062913569086,0.979761083280717,0.9918676984126327,0.9777605348763238,7.038735050939,1.4999422108099103,0.21309826267857762,0.0025481479515061523,0.0011963506241479324,0.003434457173649541,0.0013598387270051685,0.927290023497398,0.9818144950800699,0.9285798059562236,0.9817566916130722
5,train,baseline,2.3793230056762695,51.28125,51.28125,1.451171875,0.9990234375,0.9990234375,3,3,1.5068359375,4.16796875,1.5065623913259378,1.5066186713293837,1.506656727946934,1.5306250697586228,1.5034357698055751,1.5054660837634277,1.5067846525475865,1.6328286488172303,0.638671875,0.76220703125,,,1.5068359375,0.3056928285787813,0.1415843889908394,7.162105003080282,1.5003934158441647,0.2094905639052869,0.0008369779396559807,0.0003839598131453608,0.0009901228071864665,0.0003828723227084429,0.9943705039847179,0.992945131670297,0.9948714622811234,0.9929486590345246,7.043322790978669,1.5003174044529344,0.21301272836374796,0.0008440263843620954,0.0003942974655401191,0.0009474553716550815,0.00037809164404556736,0.9323737287733023,0.9932487394837539,0.9431368501814994,0.9933222998745215
6,train,baseline,2.368919849395752,52.40625,52.40625,1.439453125,0.9990234375,0.9990234375,3,3,1.505859375,4.16796875,1.5072928468733293,1.5073484376673791,1.507386089872348,1.5312617314304233,1.5035417685169983,1.5055720706134461,1.5068913503986345,1.6329335204621385,0.638671875,0.7626953125,,,1.5068359375,0.287783165831356,0.13380587177954653,7.162105003080282,1.5003878924013827,0.20948979270146068,0.0005934106137512885,0.0002725123589513816,0.0007300635925293619,0.000282561238841382,0.9942668496028864,0.9951304041088377,0.9947673916378736,0.9951324280543089,7.000485912418349,1.5003535796983791,0.21432134832767277,0.0007637094657857446,0.0003596651003328989,0.0008404800181045502,0.000338804177419368,0.9051806726765488,0.9934101885994178,0.9124379057458585,0.9934622591428767
7,train,baseline,2.360818862915039,53.21875,53.21875,1.427734375,0.9990234375,0.9990234375,3,3,1.505859375,4.16796875,1.5050077448031993,1.5050648981469832,1.5051034712748987,1.5292120093510957,1.5061611748233121,1.5081805179113985,1.5094956745078378,1.635220990658651,0.638671875,0.7626953125,,,1.505859375,0.3097488997282801,0.14268509161076826,7.162105003080282,1.5004294471631656,0.2094955947333724,0.0006903532902065024,0.000316982529742717,0.0007698980098265196,0.00029793989010531204,0.9943360617573909,0.9948653235718646,0.9948370807184501,0.99486795657699,7.041839542672232,1.500353586688808,0.21306273418997204,0.0005770485088900656,0.0002743719586534834,0.0006723316587509132,0.000268662662659955,0.9238055602914885,0.9953830162413848,0.9350459363758388,0.9954492867717434
8,train,baseline,2.3530147075653076,53.84375,53.84375,1.416015625,0.9990234375,0.9990234375,3,3,1.505859375,4.16796875,1.5049493119728026,1.5050070018915895,1.5050458802749846,1.5291971720058437,1.5020585630335699,1.5040985141309882,1.5054216283671937,1.631686136315374,0.638671875,0.7626953125,,,1.505859375,0.3128587705282646,0.1467662904023102,7.162105003080282,1.5002376255367826,0.20946881187745217,0.0007191995150428454,0.00033018815990891877,0.0007628301478908028,0.00029517504051563924,0.9943367028462795,0.9946073595451195,0.9948370681696383,0.9946094675776584,7.0377930862869835,1.5003170226722056,0.21318004156665915,0.00061811661634259,0.00029241209555015934,0.000722679908003343,0.0002890445317735905,0.9281937644321898,0.9945566399890103,0.9343347530943467,0.9945922234273251
9,train,baseline,2.3447999954223633,54.46875,54.46875,1.404296875,0.9990234375,0.9990234375,3,3,1.5078125,4.16796875,1.5071877904337763,1.507245126589702,1.5072838331100287,1.5313741940135746,1.503224541839106,1.5052631795561668,1.5065861592173875,1.6327556798525957,0.63818359375,0.76220703125,,,1.5068359375,0.32720419866702993,0.1501925922620182,7.162105003080282,1.5007161771371365,0.20953562904924009,0.0010679620329359096,0.0004899487210469943,0.0008566052829692694,0.00033125701988556157,0.9943366938397009,0.9930260869908998,0.9948370591630624,0.9930289823855901,7.058242888560439,1.5005290059245147,0.2125924298179762,0.0008336635665129322,0.00039355286297704906,0.0008736831607194517,0.0003482213445805606,0.9352303016179286,0.9926260686386968,0.9411449622239383,0.9926720707962365
10,train,baseline,2.3320083618164062,55.40625,55.40625,1.392578125,0.9990234375,0.9990234375,4,4,1.50390625,4.16796875,1.504408430037598,1.5044655644945937,1.5045041551400389,1.528672841125562,1.5006932672336244,1.5027428541214156,1.504070562970241,1.6305554065869123,0.63916015625,0.7626953125,,,1.5048828125,0.3058127092206554,0.1410715296338057,7.162105003080282,1.5000998462051431,0.20944957460969635,0.0005666579653986759,0.0002602860867168804,0.0006839491593062519,0.00026476416407064234,0.9943708454084446,0.9957294342418853,0.9948718037048501,0.995731575466088,7.063514210628242,1.5002210558646565,0.2123901801750922,0.0005999390667446036,0.00028541477214256283,0.0006029614510438819,0.00023990689155207424,0.9391271109307926,0.9957332502528287,0.9484503215515607,0.9957750149468457
