epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
1,train,-0.21024970710277557,20.125,1.21875,1.560546875,4.13671875,13212,10,,1.4208984375,,0.38159350959684213,0.29091182072705435,0.29091182072705435,0.38159350959684213,,,
2,train,-0.21363283693790436,20.109375,1.4716796875,1.2490234375,3.234375,10648,10,,0.96435546875,,0.46185707882474547,0.23494250605823824,0.23494250605823824,0.46185707882474547,,,
3,train,0.11926329135894775,37.625,0.8095703125,0.6787109375,2.9453125,9075,10,,0.7421875,,0.5747895274876436,0.5651667515456272,0.5651667515456272,0.5747895274876436,,,
4,train,-0.3083615005016327,45.90625,0.25537109375,0.38134765625,3.123046875,1797,10,,1.4189453125,,0.6897985321972893,0.7703021798376394,0.7703021798376394,0.6897985321972893,,,
5,train,-0.40095195174217224,39.78125,0.12890625,0.330810546875,2.3515625,523,10,,1.158203125,,0.839540541802295,0.9437005229056674,0.9437005229056674,0.839540541802295,,,
6,train,-0.3498603105545044,53.90625,0.381591796875,0.347900390625,3.0703125,1300,10,,1.1953125,,0.6867131837434703,0.7636557583474491,0.7636557583474491,0.6867131837434703,,,
7,train,-0.5691177845001221,58.6875,0.062408447265625,0.33642578125,2.99609375,231,10,,1.4296875,,0.7996861067742256,0.9002446721402018,0.9002446721402018,0.7996861067742256,,,
8,train,-0.5948976874351501,58.9375,0.034393310546875,0.33642578125,3.009765625,24,6,,1.458984375,,0.8080166358649795,0.911677179962453,0.8794575916815304,0.7581714730147605,,,
9,train,-0.5845094323158264,57.8125,0.0279693603515625,0.32275390625,2.921875,249,10,,1.37890625,,0.7878827277778895,0.858268502179148,0.858268502179148,0.7878827277778895,,,
10,train,-0.6118738651275635,60.90625,0.0740966796875,0.309326171875,3.275390625,365,10,,0.93798828125,,0.7254103721795195,0.7462033575794399,0.7462033575794399,0.7254103721795195,,,
11,train,-0.610413134098053,58.6875,0.09942626953125,0.307861328125,3.228515625,213,10,,1.076171875,,0.7266675088470038,0.6553597127243777,0.6553597127243777,0.7266675088470038,,,
12,train,-0.6044613718986511,58.125,0.11114501953125,0.289794921875,3.173828125,244,10,,1.2119140625,,0.7504718110316267,0.6978371128970617,0.6978371128970617,0.7504718110316267,,,
13,train,-0.5429708957672119,50.84375,0.10870361328125,0.295166015625,3.103515625,236,10,,1.15625,,0.7369350153544869,0.6974594237064277,0.6974594237064277,0.7369350153544869,,,
14,train,-0.6129811406135559,58.78125,0.17724609375,0.278564453125,3.158203125,139,10,,1.544921875,,0.7570578229632237,0.7300057051649608,0.7300057051649608,0.7570578229632237,,,
15,train,-0.6025418639183044,57.15625,0.136474609375,0.28466796875,3.396484375,138,10,,2.0859375,,0.78396391091582,0.7933400765335293,0.7933400765335293,0.78396391091582,,,
16,train,-0.6186243891716003,58.96875,0.128662109375,0.28759765625,3.404296875,32,10,,2.00390625,,0.7925482871734536,0.8035920472201874,0.8035920472201874,0.7925482871734536,,,
17,train,-0.5959056615829468,56.28125,0.10333251953125,0.271240234375,3.404296875,50,9,,2.05859375,,0.7839179696468984,0.7937183465030696,0.7820401266214563,0.7745748544067873,,,
18,train,-0.6185786128044128,58.84375,0.109619140625,0.26123046875,3.408203125,54,10,,2.00390625,,0.7918934556354211,0.8024531533380983,0.8024531533380983,0.7918934556354211,,,
19,train,-0.5821034908294678,53.90625,0.10113525390625,0.28662109375,3.349609375,156,10,,1.75,,0.7581875251680052,0.7179325057323729,0.7179325057323729,0.7581875251680052,,,
20,train,-0.5932899713516235,55.0625,0.0841064453125,0.3173828125,3.21484375,292,10,,1.71875,,0.7423886658140645,0.72798961958717,0.72798961958717,0.7423886658140645,,,
21,train,-0.5894895792007446,55.4375,0.1256103515625,0.30517578125,3.279296875,583,10,,1.255859375,,0.6998500029416346,0.648020237521024,0.648020237521024,0.6998500029416346,,,
22,train,-0.6198047399520874,57.875,0.06134033203125,0.311767578125,2.97265625,115,10,,1.38671875,,0.7710539831808032,0.80040044423747,0.80040044423747,0.7710539831808032,,,
23,train,-0.6259207129478455,58.8125,0.043609619140625,0.2841796875,3.26171875,62,10,,1.482421875,,0.7700686612322076,0.7906123620584151,0.7906123620584151,0.7700686612322076,,,
24,train,-0.6254903674125671,59.25,0.056121826171875,0.275634765625,3.189453125,37,10,,1.439453125,,0.7727927814571266,0.8018708078176158,0.8018708078176158,0.7727927814571266,,,
25,train,-0.5098263621330261,44.875,0.1790771484375,0.28076171875,2.68359375,355,10,,1.0400390625,,0.7575508760994331,0.737542068758852,0.737542068758852,0.7575508760994331,,,
26,train,-0.615385115146637,58.0,0.1514892578125,0.306884765625,2.779296875,276,10,,0.97607421875,,0.738011371337217,0.6484671287418874,0.6484671287418874,0.738011371337217,,,
27,train,-0.6229228377342224,58.8125,0.1114501953125,0.29638671875,3.11328125,249,10,,1.28125,,0.7169971784806626,0.7114191401731444,0.7114191401731444,0.7169971784806626,,,
28,train,-0.6254055500030518,59.21875,0.08892822265625,0.2958984375,3.166015625,300,10,,1.5908203125,,0.7409011020613931,0.7894598014934661,0.7894598014934661,0.7409011020613931,,,
29,train,-0.6258715391159058,59.03125,0.064697265625,0.285888671875,3.197265625,232,10,,1.7509765625,,0.7707472937680966,0.8771370275313305,0.8771370275313305,0.7707472937680966,,,
30,train,-0.6269474029541016,59.21875,0.05511474609375,0.280517578125,3.21875,220,10,,1.9208984375,,0.7747301352261369,0.8715675103801532,0.8715675103801532,0.7747301352261369,,,
31,train,-0.6280975937843323,58.96875,0.035125732421875,0.284423828125,2.892578125,80,10,,1.634765625,,0.7928941040122864,0.8358359778256962,0.8358359778256962,0.7928941040122864,,,
32,train,-0.6322711110115051,59.5,0.0703125,0.27294921875,2.7890625,67,10,,1.619140625,,0.8050661504262486,0.8427802194915537,0.8427802194915537,0.8050661504262486,,,
33,train,-0.6583085656166077,61.96875,0.08843994140625,0.2548828125,2.955078125,40,10,,1.7744140625,,0.7974108373279317,0.8326685951864621,0.8326685951864621,0.7974108373279317,,,
34,train,-0.6601265668869019,62.25,0.0750732421875,0.2474365234375,2.91796875,46,10,,1.736328125,,0.807845020271087,0.8873733321040855,0.8873733321040855,0.807845020271087,,,
