phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.6394433975219727,67.28455352783203,2.995739698410034,833,,,,
train,0.45801061391830444,77.65095520019531,2.999997615814209,80,,,,
train,0.3283725380897522,84.59998321533203,2.9999990463256836,86,,,,
train,0.28352636098861694,86.63697814941406,2.9999992847442627,95,,,,
train,0.2897680401802063,86.44000244140625,2.9999990463256836,97,,,,
val,0.5803807377815247,69.85887145996094,3.0,24,98.41095687920955,0.1938193607802661,0.6248232126235962,0.45992162823677063
val,0.4027424454689026,81.25,3.0,40,97.92620107917134,0.18162426761921913,0.4235606789588928,0.27326443791389465
val,0.30293723940849304,84.2741928100586,3.0,53,96.36818583795814,0.20220469583690825,0.24279829859733582,0.16590595245361328
val,0.32157057523727417,84.77822875976562,3.0,50,96.4660825873042,0.20544935028830974,0.19814535975456238,0.14992685616016388
val,0.300988107919693,84.67742156982422,3.0,55,95.84618097226584,0.18303625487680864,0.12119831144809723,0.12858735024929047
val (no noise),0.5633703470230103,71.06855010986328,3.0,11,98.41095687920955,0.20004544888470116,0.7148748636245728,0.5735673308372498
val (no noise),0.3489243984222412,83.66935729980469,3.0,25,97.92620107917134,0.19259283833131396,0.4686729907989502,0.308870404958725
val (no noise),0.27212461829185486,85.68548583984375,3.0,34,96.36818583795814,0.21640362804048666,0.27301472425460815,0.18540193140506744
val (no noise),0.2753019630908966,87.09677124023438,3.0,32,96.4660825873042,0.2169883933978823,0.21908147633075714,0.17539294064044952
val (no noise),0.27791884541511536,86.49193572998047,3.0,34,95.84618097226584,0.19059417465730563,0.13007475435733795,0.14253833889961243
