phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.6530389785766602,67.07372283935547,4.199497699737549,3644,,,,
train,0.3118917942047119,84.99600219726562,4.231597423553467,1559,,,,
train,0.25944411754608154,87.06941986083984,4.007615089416504,1563,,,,
train,0.25856897234916687,87.14665222167969,4.541385173797607,2855,,,,
train,0.24268661439418793,87.86714935302734,4.525557041168213,2980,,,,
val,0.49787116050720215,74.79838562011719,4.943548202514648,90,94.43693507023062,0.21652823391201892,0.32779550552368164,0.22398753464221954
val,0.2448018342256546,86.99596405029297,4.003024101257324,99,96.36275149329174,0.19140243671618365,0.2909310460090637,0.17983746528625488
val,0.2899715304374695,85.28225708007812,4.197580814361572,116,96.2508631955375,0.19033824906409047,0.25418466329574585,0.15418116748332977
val,0.19599564373493195,90.32257843017578,4.735887050628662,158,98.05944086380637,0.19946067362301823,0.20900698006153107,0.12559573352336884
val,0.27212223410606384,85.98789978027344,4.677419185638428,141,93.2777259433593,0.18324180218282898,0.23531191051006317,0.13376569747924805
val (no noise),0.493344247341156,75.20161437988281,4.943548202514648,32,94.43693507023062,0.2216885610760509,0.37007108330726624,0.28667762875556946
val (no noise),0.2331082671880722,87.3991928100586,4.003024101257324,39,96.36275149329174,0.2012672949665044,0.320020467042923,0.1894402951002121
val (no noise),0.28831347823143005,85.08064270019531,4.197580814361572,49,96.2508631955375,0.202102233791335,0.271913081407547,0.17224670946598053
val (no noise),0.18733082711696625,90.5241928100586,4.735887050628662,58,98.05944086380637,0.20621143206941556,0.23311352729797363,0.12777327001094818
val (no noise),0.26061883568763733,86.69355010986328,4.677419185638428,58,93.2777259433593,0.1899113044022741,0.25653162598609924,0.1328960508108139
