phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.5755513906478882,72.87349700927734,8.313947677612305,54142,,,,
train,0.252564936876297,88.51931762695312,10.964550971984863,59481,,,,
train,0.19542013108730316,90.94783782958984,10.999980926513672,48554,,,,
train,0.18697382509708405,91.33399200439453,11.0,42370,,,,
train,0.19961826503276825,90.70800018310547,11.0,33704,,,,
val,0.26508769392967224,87.29838562011719,11.0,381,96.15730927129906,0.2516493577394266,0.2016177475452423,0.05993715673685074
val,0.2229524403810501,89.91935729980469,11.0,421,96.28627286040513,0.25181612593551184,0.22946830093860626,0.09251933544874191
val,0.23001952469348907,88.00403594970703,11.0,430,97.69731780750834,0.2500103098247058,0.2562068700790405,0.11991222202777863
val,0.21345171332359314,89.41532135009766,11.0,482,96.65371579553694,0.2702205339608113,0.27239105105400085,0.15944047272205353
val,0.19998855888843536,88.30644989013672,11.0,455,95.73425124170369,0.26582880942965303,0.1976839303970337,0.1424228847026825
val (no noise),0.24753472208976746,87.6008071899414,11.0,97,96.15730927129906,0.2561031738266363,0.2394741028547287,0.06372039765119553
val (no noise),0.21513015031814575,90.32257843017578,11.0,134,96.28627286040513,0.2580171619302892,0.27101579308509827,0.10116015374660492
val (no noise),0.22686392068862915,87.6008071899414,11.0,151,97.69731780750834,0.252412471738122,0.2903134524822235,0.13159288465976715
val (no noise),0.2011978179216385,89.91935729980469,11.0,183,96.65371579553694,0.2745180909092642,0.3106490671634674,0.17542888224124908
val (no noise),0.19614888727664948,88.60887145996094,11.0,145,95.73425124170369,0.26923501914535425,0.22771160304546356,0.14701730012893677
