phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.44708505272865295,79.45973205566406,4.417501926422119,19053,,,,
train,0.21068008244037628,90.70610046386719,5.031609535217285,11727,,,,
train,0.1854141801595688,91.55948638916016,5.020298480987549,8460,,,,
train,0.18634101748466492,91.451171875,5.161441326141357,7064,,,,
train,0.190591499209404,91.2722396850586,5.034178733825684,7030,,,,
val,0.23069758713245392,90.32257843017578,4.979838848114014,289,95.62964182089435,0.22522732935990983,0.1540692299604416,0.0753999575972557
val,0.17541871964931488,92.94355010986328,4.708669185638428,258,96.88724444157735,0.2631218995999827,0.20967622101306915,0.07046246528625488
val,0.24732455611228943,89.01210021972656,5.387096881866455,269,94.36414239117184,0.21668732619039935,0.16153483092784882,0.1301102191209793
val,0.14936107397079468,93.8508071899414,5.165322780609131,305,96.09024796923836,0.26498146818273044,0.20320291817188263,0.08441240340471268
val,0.17671449482440948,91.33064270019531,5.015120983123779,279,95.55880709111045,0.26543726684124164,0.2233390510082245,0.0820838212966919
val (no noise),0.22164957225322723,90.7258071899414,4.979838848114014,169,95.62964182089435,0.22696383137708095,0.16686013340950012,0.0811832919716835
val (no noise),0.17417192459106445,93.1451644897461,4.708669185638428,153,96.88724444157735,0.2666791758895722,0.2240012139081955,0.07550410181283951
val (no noise),0.2423589527606964,89.31451416015625,5.387096881866455,148,94.36414239117184,0.2187537958045994,0.1735786646604538,0.14220751821994781
val (no noise),0.14447572827339172,93.95161437988281,5.165322780609131,177,96.09024796923836,0.27175118930110975,0.21724183857440948,0.0896710678935051
val (no noise),0.16605563461780548,91.83467864990234,5.015120983123779,148,95.55880709111045,0.2731288807775692,0.24154193699359894,0.08499319851398468
