epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_attr,mutual_info_msg_attr,proficiency_msg_attr,entropy_shape,mutual_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_nn,time_entropy_msg_nn,time_entropy_msg_mc_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,mutual_info_msg_attr_nn,proficiency_msg_attr_nn,entropy_shape_nn,mutual_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn
1,train,sent,1.1659060716629028,43.8125,43.75,1.1328125,2.009765625,2.009765625,1441,11,7.41796875,8.6796875,1.216898645972833,7.291680003020678,1.7924285971093923,0.87255859375,0.1456298828125,,,3.587005285426218,0.17130136660731926,10.086951803081298,2.632286462076869,0.2609595558167309,2.5634801773639495,0.242907407519394,0.09475688935078014,0.0243377685546875,2.9309686518053804,0.36118173772615236,0.12322947824900013,0.034912109375,2.320875273285566,0.7139256778462642,0.3076105321401393,0.07330322265625,2.320484517015999,0.20370288223955946,0.08778463322888656,0.0209197998046875,1.271115473011929,0.11228826387538948,0.08833836599386254,0.0129241943359375,1230,10,0.935546875,6.96875,8.3828125,6.878386804319596,1.2546823758166283,1.737510073930025,0.169189453125,,,2.437885962928986,0.2416870835235156,2.5634801773639495,0.201792470962312,0.07871817100213238,0.02117919921875,2.9309686518053804,0.3165943817941548,0.10801697984696733,0.031982421875,2.320875273285566,0.6930270424771683,0.29860589685893757,0.07464599609375,2.320484517015999,0.16677845090091736,0.07187225326346251,0.0179595947265625,1.271115473011929,0.09147817309804207,0.07196684726154977,0.01110076904296875,0.17879029155723566
2,train,sent,0.7394860982894897,64.125,64.3125,0.97607421875,2.505859375,2.505859375,696,11,6.25,10.7578125,1.2365722770337015,6.228833230760294,1.8381626280024648,1.7197265625,0.419189453125,,,2.686070273482666,0.2416432166478454,10.086951803081298,2.480139656333627,0.24587602922579738,2.5634801773639495,0.11222050848010667,0.043776624243493885,0.01273345947265625,2.9309686518053804,0.38856140943367556,0.13257098781808346,0.042327880859375,2.320875273285566,1.1498392634831731,0.4954334585397145,0.1341552734375,2.320484517015999,0.06592429804578614,0.028409712524417426,0.007694244384765625,1.271115473011929,0.033097837804967334,0.026038419410111865,0.00440216064453125,476,10,1.94921875,5.36328125,10.3828125,5.3436585516193995,1.1607047279831022,1.712468617130071,0.4833984375,,,2.342813568558589,0.23226179863801086,2.5634801773639495,0.09851283609663941,0.03842933406176797,0.01242828369140625,2.9309686518053804,0.3707300605134618,0.12648721448627717,0.044708251953125,2.320875273285566,1.144049998067147,0.4929390265973075,0.14892578125,2.320484517015999,0.05232619432441954,0.022549684749333224,0.00681304931640625,1.271115473011929,0.02505792813805474,0.01971333735610941,0.0037784576416015625,0.2519754423049295
3,train,sent,0.642795741558075,68.4375,68.5,1.0166015625,2.669921875,2.669921875,546,11,6.1171875,11.3671875,1.2490789662115276,6.099748653583799,2.314614178147167,1.9697265625,0.4619140625,,,2.7855387192242906,0.16350384695049372,10.086951803081298,2.5795100678955816,0.25572741084255096,2.5634801773639495,0.12798601274908172,0.04992666371256708,0.014739990234375,2.9309686518053804,0.4197150604008968,0.14320011923101467,0.04638671875,2.320875273285566,1.1556659111685814,0.4979439974525445,0.136962890625,2.320484517015999,0.12217297318585185,0.05264976874009003,0.0144805908203125,1.271115473011929,0.030357737386817796,0.023882753401533726,0.004108428955078125,325,10,2.236328125,5.109375,10.9609375,5.095845952089353,1.1670632679015398,1.7001984561793506,0.5341796875,,,2.4391810617315715,0.24181547699935135,2.5634801773639495,0.11202077468439509,0.04369870915077139,0.0146026611328125,2.9309686518053804,0.40319195619204073,0.1375626982375563,0.050140380859375,2.320875273285566,1.1482286795266123,0.4947395031276769,0.154541015625,2.320484517015999,0.10987919223898324,0.04735183166844877,0.0147857666015625,1.271115473011929,0.021596921320409024,0.01699052665076507,0.0033855438232421875,0.1729847334345816
4,train,sent,0.5811305642127991,71.5,71.75,1.083984375,2.732421875,2.732421875,664,11,6.55078125,11.5703125,1.32929618912749,6.524475433835991,1.9673188000451773,1.9609375,0.43359375,,,3.0718461840718323,0.15154658051376466,10.086951803081298,2.748179336315676,0.2724489409651169,2.5634801773639495,0.1547878821947739,0.060381930611979114,0.0169830322265625,2.9309686518053804,0.45584481167512525,0.15552701711577155,0.048065185546875,2.320875273285566,1.1611973132353066,0.500327323316883,0.130859375,2.320484517015999,0.12776210058480864,0.055058372356262424,0.01439666748046875,1.271115473011929,0.03897425890770467,0.030661462105684646,0.00498199462890625,415,10,2.22265625,5.55078125,11.15625,5.535460710212817,1.1700028399936855,1.730469238013029,0.50244140625,,,2.5770277464087314,0.2554813185110607,2.5634801773639495,0.13227899091397166,0.051601331690419146,0.01629638671875,2.9309686518053804,0.42963725475332915,0.1465854145143063,0.0506591796875,2.320875273285566,1.153598079891574,0.49705302700669185,0.146484375,2.320484517015999,0.11128925048311444,0.047959488489165016,0.01413726806640625,1.271115473011929,0.02684171952028347,0.02111666492162319,0.003932952880859375,0.16004567606003264
5,train,sent,0.5606974363327026,72.875,72.8125,1.150390625,2.685546875,2.685546875,597,11,6.50390625,11.4453125,1.3688201010227203,6.4776974744379245,1.974603301146999,1.9462890625,0.431640625,,,3.043009266433577,0.15475758228929895,10.086951803081298,2.801566516516469,0.2777416380299016,2.5634801773639495,0.16066950561273963,0.06267632066418301,0.0177154541015625,2.9309686518053804,0.4520109234617147,0.15421895528745788,0.04791259765625,2.320875273285566,1.1924690249052965,0.513801425966837,0.1351318359375,2.320484517015999,0.1607524152463391,0.06927536644504609,0.018218994140625,1.271115473011929,0.040012418375217074,0.03147819314983791,0.005146026611328125,366,10,2.201171875,5.51953125,11.0390625,5.507554668983921,1.1863059480674565,1.712493194034323,0.5,,,2.6419709872852124,0.2619196600580722,2.5634801773639495,0.14024340803954338,0.0547082085041738,0.0173492431640625,2.9309686518053804,0.4290254605588162,0.14637668004212553,0.05078125,2.320875273285566,1.1841953154233167,0.5102365168236296,0.1510009765625,2.320484517015999,0.1450547277911438,0.06251053464371971,0.01849365234375,1.271115473011929,0.028037117761646968,0.022057097373862154,0.00412750244140625,0.1677257761501133
6,train,sent,0.516661524772644,74.75,74.625,1.3974609375,2.734375,2.734375,729,11,7.0625,11.6015625,1.3095379390288144,7.030258889312295,1.8580782550852746,1.8857421875,0.39111328125,,,3.2868219129629415,0.19070094711609445,10.086951803081298,2.967751875431003,0.2942169183880142,2.5634801773639495,0.19367087918416814,0.07554998119132005,0.0201263427734375,2.9309686518053804,0.4947894046709713,0.16881429433446765,0.049530029296875,2.320875273285566,1.204133725641472,0.5188274180442407,0.1282958984375,2.320484517015999,0.18205463363393015,0.0784554399302958,0.0194091796875,1.271115473011929,0.054147667742485694,0.04259854347786508,0.006500244140625,497,10,2.13671875,6.11328125,11.1875,6.090224877979274,1.1628979791421443,1.7155264259781688,0.45361328125,,,2.7845957958077294,0.2760591951036297,2.5634801773639495,0.16444520624185088,0.06414920142310264,0.018951416015625,2.9309686518053804,0.4617638686642005,0.1575465054461668,0.051055908203125,2.320875273285566,1.1962863288650532,0.5154461950777391,0.141845703125,2.320484517015999,0.16026564874201554,0.06906559710560248,0.019012451171875,1.271115473011929,0.03732459290775658,0.029363652398405115,0.005054473876953125,0.2051556693540042
7,train,sent,0.4983913004398346,76.4375,76.625,1.4462890625,2.736328125,2.736328125,686,11,7.00390625,11.609375,1.3289156260434538,6.974931736094557,2.1674548760056496,1.923828125,0.396728515625,,,3.2376128695230975,0.15843020917028625,10.086951803081298,2.9237210252712185,0.2898517889594851,2.5634801773639495,0.1828372939499543,0.07132385713938603,0.01910400390625,2.9309686518053804,0.4887981397325465,0.1667701697974364,0.0491943359375,2.320875273285566,1.2005411910545192,0.5172794957460006,0.1287841796875,2.320484517015999,0.1861642213424748,0.08022644407982113,0.01995849609375,1.271115473011929,0.0521362997841095,0.041016179010528196,0.006298065185546875,473,10,2.16796875,6.046875,11.1953125,6.032671634668338,1.165113542927429,1.7388592581264675,0.4599609375,,,2.750938867308599,0.2727225152863583,2.5634801773639495,0.15532042177141836,0.06058967147198142,0.018035888671875,2.9309686518053804,0.4566797710076944,0.15581189199222403,0.050872802734375,2.320875273285566,1.1922165627357506,0.5136926471054946,0.1424560546875,2.320484517015999,0.16584741713002948,0.07147102939661029,0.0198211669921875,1.271115473011929,0.035903231001754854,0.028245451938903363,0.00490570068359375,0.16606343646970573
8,train,sent,0.47662532329559326,77.875,77.8125,1.5,2.685546875,2.685546875,732,11,6.8828125,11.4453125,1.3136642060708255,6.854537840642557,1.9473112730775028,1.8916015625,0.3984375,,,3.3218162017596873,0.16297891280276086,10.086951803081298,2.9729681726106634,0.29473405153998056,2.5634801773639495,0.19959693913251986,0.07786170569798095,0.0211334228515625,2.9309686518053804,0.48537152443634834,0.16560106302651018,0.0494384765625,2.320875273285566,1.213348179203896,0.5227976674016651,0.1318359375,2.320484517015999,0.1793810998891674,0.07730329531344622,0.0194854736328125,1.271115473011929,0.057612791974841926,0.04532459339695352,0.0070648193359375,494,10,2.13671875,5.9375,11.0390625,5.920085503286658,1.1684740199707448,1.7319566649384797,0.462158203125,,,2.7988866870906115,0.2774759651608155,2.5634801773639495,0.17107710943751364,0.06673627163110496,0.0201263427734375,2.9309686518053804,0.4523209948042508,0.15432474670980734,0.051025390625,2.320875273285566,1.205638598865728,0.5194758256694061,0.14599609375,2.320484517015999,0.15611844774752193,0.06727838371801795,0.0189056396484375,1.271115473011929,0.04009362906204483,0.03154208245694809,0.00556182861328125,0.1731277163454283
9,train,sent,0.4540030062198639,78.75,79.1875,1.607421875,2.8359375,2.8359375,840,11,7.12890625,11.796875,1.347012781072408,7.0982293166112695,1.9698851159773767,1.998046875,0.395751953125,,,3.590144969148783,0.15731030128207554,10.086951803081298,3.1234989880013755,0.3096573721158486,2.5634801773639495,0.21040743426427522,0.08207882242360037,0.0217132568359375,2.9309686518053804,0.5151106786164066,0.1757475905786694,0.05120849609375,2.320875273285566,1.2093017219581874,0.5210541625729975,0.1279296875,2.320484517015999,0.2010456229675226,0.08663950200626849,0.021270751953125,1.271115473011929,0.06717489591242387,0.0528472017992605,0.00799560546875,630,10,2.25390625,6.1328125,11.3671875,6.108717583284178,1.1763181830756366,1.721910177031532,0.460693359375,,,2.930124171531907,0.2904865839288368,2.5634801773639495,0.17608404011736312,0.06868944869253171,0.0202484130859375,2.9309686518053804,0.4744672737355673,0.16188070569888593,0.0523681640625,2.320875273285566,1.1998440362551905,0.5169791113145953,0.1419677734375,2.320484517015999,0.17662308206565847,0.07611474274897767,0.020904541015625,1.271115473011929,0.0470524188867687,0.03701663608521515,0.00635528564453125,0.16673850901508283
10,train,sent,0.4398762285709381,80.125,80.625,1.6630859375,2.787109375,2.787109375,837,11,7.0234375,11.7265625,1.3130360019858927,6.986240653381642,1.990070056868717,1.9638671875,0.40087890625,,,3.6064343255407882,0.16079864238841074,10.086951803081298,3.1112483612914135,0.30844286976180546,2.5634801773639495,0.21367303604534005,0.0833527163315388,0.0222930908203125,2.9309686518053804,0.5132358693308143,0.17510793539694733,0.051544189453125,2.320875273285566,1.2226090454727636,0.5267879146913255,0.130859375,2.320484517015999,0.18880044368675364,0.08136250955448712,0.02020263671875,1.271115473011929,0.06238917470569305,0.04908222425918621,0.0075225830078125,593,10,2.2265625,6.0390625,11.3046875,6.020609868547716,1.1640693449880928,1.7286645739804953,0.465576171875,,,2.9262335433781006,0.29010087492281,2.5634801773639495,0.1808169569079663,0.07053573439132346,0.021026611328125,2.9309686518053804,0.47469253608684436,0.16195756163903335,0.05291748046875,2.320875273285566,1.2155737258223152,0.523756592960499,0.1453857421875,2.320484517015999,0.16496646714225793,0.07109138885976914,0.0197296142578125,1.271115473011929,0.04174368525013339,0.03284019912936867,0.005710601806640625,0.16570328301676063
