epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_attr,mutual_info_msg_attr,proficiency_msg_attr,entropy_shape,mutual_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation
1,train,baseline,1.0896074771881104,46.8125,46.8125,0.75439453125,1.490234375,1.490234375,512,10,4.5390625,6.296875,0.011205731891095638,4.533466731139649,1.8024912029504776,1.005859375,0.279052734375,,,1.8759159222811626,0.16363586815247247,10.086951803081298,1.6408184075376218,0.16266741822206338,2.5634801773639495,0.023408551387767318,0.009131551550298527,0.0032958984375,2.9309686518053804,0.15627351829149294,0.05331804493890905,0.0209197998046875,2.320875273285566,0.6149808728563215,0.2649779934040655,0.08966064453125,2.320484517015999,0.018604084522602093,0.00801732758231277,0.002712249755859375,1.271115473011929,0.006038702886711711,0.004750711493113136,0.0010395050048828125
2,train,baseline,0.7234714031219482,64.9375,64.9375,0.8720703125,1.8271484375,1.8271484375,163,10,3.861328125,7.59765625,0.008664346998557448,3.8616955593141387,1.607350419042632,1.38671875,0.491943359375,,,2.157429129570636,0.1855148483737159,10.086951803081298,2.0692216943499706,0.20513845359287608,2.5634801773639495,0.037285783450029086,0.014544986062022295,0.00580596923828125,2.9309686518053804,0.2841257669517252,0.0969392036235915,0.041839599609375,2.320875273285566,1.1423910594729594,0.4922242365294039,0.184814453125,2.320484517015999,0.021914212920963738,0.009443809152902289,0.0035457611083984375,1.271115473011929,0.007307335417635841,0.005748758136285596,0.0014238357543945312
3,train,baseline,0.6463073492050171,70.375,70.375,0.9677734375,1.9677734375,1.9677734375,88,10,3.794921875,7.98046875,0.011371816974133253,3.793828708321553,1.6476073591038585,1.5107421875,0.5244140625,,,2.305286058923488,0.21171609247356177,10.086951803081298,2.222967490304928,0.22038050083929914,2.5634801773639495,0.07159191504918905,0.027927625764911385,0.011260986328125,2.9309686518053804,0.3983661903965636,0.13591622351579336,0.059234619140625,2.320875273285566,1.192218181071044,0.51369334440074,0.1949462890625,2.320484517015999,0.020758331458795354,0.008945688414025403,0.0033931732177734375,1.271115473011929,0.010422892298438846,0.00819979971901501,0.0020580291748046875
4,train,baseline,0.565183699131012,73.125,73.125,1.048828125,1.9921875,1.9921875,54,10,3.548828125,7.98828125,0.008977004094049335,3.5469808279823436,1.615032799076289,1.6064453125,0.5556640625,,,2.4126074262158674,0.2261185055144918,10.086951803081298,2.3225181806218673,0.2302497549271921,2.5634801773639495,0.09297416767197353,0.03626872893067569,0.0152130126953125,2.9309686518053804,0.47346980111832027,0.16154038386820632,0.07305908203125,2.320875273285566,1.256337068263417,0.5413203728457467,0.214111328125,2.320484517015999,0.04043466479943625,0.017425095708646553,0.00688934326171875,1.271115473011929,0.009692592769412922,0.007625265347802088,0.002010345458984375
5,train,baseline,0.49984210729599,76.0625,76.0625,1.1220703125,2.044921875,2.044921875,30,10,3.482421875,8.0859375,0.008582934038713574,3.4822163813042644,1.5849961349740624,1.6962890625,0.5693359375,,,2.4845057286800403,0.1963476558114007,10.086951803081298,2.377261118036179,0.23567685901998542,2.5634801773639495,0.10290946872623064,0.04014443709568818,0.0170135498046875,2.9309686518053804,0.48228880624628223,0.16454928849177836,0.0751953125,2.320875273285566,1.2946544357425767,0.5578302507871474,0.2230224609375,2.320484517015999,0.03838522466056382,0.016541900787997877,0.00661468505859375,1.271115473011929,0.010640800358499902,0.008371230296871732,0.0022373199462890625
6,train,baseline,0.4811345040798187,77.125,77.125,1.328125,2.212890625,2.212890625,32,10,3.6875,8.5,0.00972905196249485,3.687629679197479,1.6500358320772648,1.8544921875,0.56591796875,,,2.4589295040250634,0.20778451204018578,10.086951803081298,2.375332366960348,0.2354856465393982,2.5634801773639495,0.10476053132349161,0.04086652678204746,0.016754150390625,2.9309686518053804,0.481251816590774,0.16419548407463816,0.07269287109375,2.320875273285566,1.259755992637393,0.5427934913770739,0.2095947265625,2.320484517015999,0.04707964763618744,0.02028871440035678,0.00783538818359375,1.271115473011929,0.010561493457839966,0.008308838718495287,0.00212860107421875
7,train,baseline,0.4379645586013794,79.75,79.75,1.4052734375,2.291015625,2.291015625,28,10,3.83984375,8.7265625,0.00886273686774075,3.8417605310281977,1.6030690209008753,1.9326171875,0.56005859375,,,2.51199279668316,0.23054972497200824,10.086951803081298,2.4685095044215344,0.24472303948824953,2.5634801773639495,0.10702830537514929,0.04175117339319842,0.0167083740234375,2.9309686518053804,0.49537306740999076,0.16901343080037967,0.07318115234375,2.320875273285566,1.3234145572687912,0.570222179753455,0.21484375,2.320484517015999,0.04918951958243234,0.02119795207497745,0.00798797607421875,1.271115473011929,0.011222076621258292,0.008828526486793052,0.0021953582763671875
8,train,baseline,0.4128566384315491,81.3125,81.3125,1.447265625,2.322265625,2.322265625,29,10,4.0078125,8.78125,0.010996812023222446,4.007471130569119,1.8302514299284667,1.9462890625,0.54345703125,,,2.561249988752908,0.267967599771768,10.086951803081298,2.4902931773970494,0.24688262876762535,2.5634801773639495,0.10996099688011451,0.042895200770847554,0.0167388916015625,2.9309686518053804,0.5013524246243533,0.1710534926108939,0.072265625,2.320875273285566,1.3137101655968655,0.5660408298189592,0.20751953125,2.320484517015999,0.04615078171500553,0.01988842475637485,0.007293701171875,1.271115473011929,0.012028277546034971,0.009462773289616064,0.0022792816162109375
9,train,baseline,0.39703577756881714,81.5625,81.5625,1.5712890625,2.306640625,2.306640625,30,10,4.19140625,8.75,0.00898042507469654,4.189207124982209,1.6220657129306346,1.93359375,0.52099609375,,,2.547088235422624,0.227484221911357,10.086951803081298,2.491913987636625,0.24704331261654397,2.5634801773639495,0.1100798388362394,0.04294156038664419,0.01629638671875,2.9309686518053804,0.4919484982480986,0.16784502213801383,0.069091796875,2.320875273285566,1.3070801758783617,0.5631841533767487,0.2008056640625,2.320484517015999,0.052205591510264604,0.022497711631964602,0.00801849365234375,1.271115473011929,0.011481338645082495,0.009032490665759323,0.002101898193359375
10,train,baseline,0.3956546485424042,81.5625,81.5625,1.6875,2.341796875,2.341796875,35,10,4.296875,8.8203125,0.010231138905510306,4.2953114130383145,1.6983667849563062,1.953125,0.5126953125,,,2.509926425766011,0.25417125343214275,10.086951803081298,2.479161052121748,0.24577901238354583,2.5634801773639495,0.10594217869807032,0.041327481145967605,0.01544189453125,2.9309686518053804,0.49063669759867956,0.16739745657001942,0.06787109375,2.320875273285566,1.3155662857634942,0.5668405798908366,0.1988525390625,2.320484517015999,0.04576963872541295,0.0197241732878571,0.006916046142578125,1.271115473011929,0.011438050299483749,0.008998435265980282,0.0020542144775390625
