epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,5.639641284942627,74.25,75.75,1.5,3.35546875,4.35546875,1860,10,6.47265625,10.0625,6.4633473086988324,6.463462650461942,6.466679240005856,6.497846283801195,6.412702772839195,6.414731982864756,6.467784853765642,6.551353535430114,0.3564453125,,,5.4765625,0.08645629800775077,0.39499383200868476,0.1442960710883471,0.15480377384548472,8.593257268391513,2.9693081269991772,0.34553930299761326,3.467733417061257,1.438633738879851,0.4148628414750019,8.57894378497004,2.890711030562257,0.336954187253991,2834,10,5.94921875,11.90625,5.94188323267373,5.942000861083001,5.943974619426121,5.977508670611039,5.894578001517751,5.89666154372677,5.930010057604807,6.03856388977946,0.50048828125,,,0.33047555916000076,0.5706701894697384,0.23524453280235869,0.182474110647647,8.593257268391513,3.2826671735150184,0.3820049919359005,3.467733417061257,1.5873831765373438,0.45775813351955336,8.57894378497004,3.182048563931837,0.37091379121829154
2,train,received,2.786911964416504,86.3125,87.8125,1.4736328125,3.580078125,4.67578125,349,10,6.3046875,10.3828125,6.305562059142053,6.3056810533396295,6.309795564942775,6.34106597047394,6.286699652986356,6.288764795175546,6.355711960906525,6.427911099281558,0.392822265625,,,5.171875,0.09556317103679614,0.2605506772678533,0.16985953210017446,0.1522916069999069,8.594839577169589,3.1215816008044444,0.36319253812442054,3.4736802177367148,1.573207899625844,0.4528937037995028,8.588060344135542,3.057108607727308,0.3559719523646443,302,10,5.5703125,12.4375,5.5664646166467024,5.566587306129879,5.568602456179023,5.603662568420627,5.497552955078088,5.4997086044177586,5.532646430757883,5.647316328887116,0.55224609375,,,0.29850183824266097,0.4753619474040472,0.2873282638539669,0.2016628311419353,8.594839577169589,3.453685481904337,0.4018324543343819,3.4736802177367148,1.7187937464655607,0.49480482909432727,8.588060344135542,3.375693181773179,0.39306817214882644
3,train,received,2.2888803482055664,88.25,89.625,1.4482421875,3.626953125,4.74609375,409,10,6.40234375,10.390625,6.395180873240926,6.395297066791282,6.39929867514294,6.429979638258948,6.3605811806132335,6.362620931281883,6.428738943712337,6.500070789359978,0.384033203125,,,5.265625,0.0779647442120983,0.2358622935233716,0.147892700089087,0.14187522513470033,8.59665379986507,3.202445449874859,0.3725223237354427,3.466921362420605,1.5945212287604784,0.45992425615537574,8.587684679728593,3.1386651653659348,0.3654844445761753,354,10,5.67578125,12.4140625,5.660336582721258,5.660456005399782,5.662351818789334,5.69674315226454,5.618945068357682,5.621072510115183,5.653418080375836,5.766592193964579,0.54296875,,,0.268484018023338,0.44383189354375907,0.2648769716687729,0.20142777918007265,8.59665379986507,3.544479232215254,0.41230917456172156,3.466921362420605,1.743716719433496,0.5029582552215816,8.587684679728593,3.465858591979761,0.40358475202996125
4,train,received,2.062317371368408,89.25,90.5625,1.4228515625,3.626953125,4.73828125,540,10,6.58203125,10.375,6.575589155856667,6.575701270163741,6.579834684034298,6.60933249851894,6.532631774929547,6.534641007711353,6.603184831591888,6.669660508809671,0.36572265625,,,5.45703125,0.09097310099646609,0.24300601643347675,0.14188005764305697,0.11453699546862077,8.596894493239674,3.326856377628266,0.38698350668888637,3.4788972307768997,1.6474723314379807,0.47356165536113604,8.590587469438375,3.2687512443852684,0.3805038079193167,498,10,5.91796875,12.3984375,5.903579469407654,5.903694257123496,5.905739449386091,5.938707267174462,5.839346336077934,5.841432733868215,5.8764438374182655,5.983757236059114,0.52294921875,,,0.26939353157983686,0.43231798782546454,0.24145687571266128,0.16909168579152517,8.596894493239674,3.6953564549081177,0.4298478314249441,3.4788972307768997,1.8230476726583094,0.5240303325232721,8.590587469438375,3.6290863326026175,0.42244914512696013
5,train,received,1.861749291419983,90.1875,91.5,1.3974609375,3.623046875,4.7421875,711,10,6.84375,10.375,6.830452239657523,6.830561564427964,6.834989334519758,6.863259357759611,6.768511222601827,6.770478174728467,6.8438902865938935,6.902137027947311,0.34033203125,,,5.77734375,0.05869211734566182,0.2578747458322625,0.15901108669734715,0.14011045550606377,8.593192643612271,3.4150577588317708,0.39741431391862786,3.4555549001655876,1.713394504690652,0.49583773205529086,8.588464894441321,3.3521206049533436,0.39030497838128486,698,10,6.30859375,12.3984375,6.305863110668564,6.305973531625117,6.308235753087772,6.339565443986941,6.2155660433233875,6.217593882892726,6.256409671355077,6.355007074055354,0.491455078125,,,0.2828713716301431,0.4701263893883184,0.2661470454430962,0.18712593334155964,8.593192643612271,3.8426264061434807,0.4471709835342616,3.4555549001655876,1.9152163673557112,0.5542427837751718,8.588464894441321,3.7612416331520766,0.4379410848598159
6,train,received,1.6741586923599243,91.5625,92.9375,1.373046875,3.625,4.74609375,744,10,6.87109375,10.3359375,6.85854906909429,6.858657668118651,6.863111422075568,6.891160053006044,6.794833546155429,6.796789285346099,6.870046975719293,6.9277318819540845,0.335205078125,,,5.83203125,0.06992454523238292,0.2805425575232422,0.1363495510149554,0.1315864436643045,8.597383025625875,3.499892197374277,0.4070880856351623,3.4669967775561346,1.740813877395639,0.5021100361745153,8.592651433055373,3.4440695456018373,0.40081569378605597,728,10,6.359375,12.375,6.34724189154838,6.347351380669094,6.349707940056362,6.380693215197028,6.28272390951629,6.284739160405789,6.325858770926883,6.421176611279121,0.486328125,,,0.27765316867341633,0.5057228924649744,0.24268444233901446,0.17964672742877266,8.597383025625875,3.970316338287911,0.4618052175241871,3.4669967775561346,1.9621191568556684,0.5659420192016315,8.592651433055373,3.896903154673147,0.4535157960303165
7,train,received,1.5402724742889404,92.5625,93.875,1.349609375,3.6328125,4.75,826,10,7.02734375,10.390625,7.024713116422774,7.024819726155809,7.029549778099488,7.056686375354426,6.970919183712776,6.972853687305519,7.052815037515337,7.101813120083965,0.32373046875,,,6.0234375,0.0779071718890273,0.240175834261568,0.1592962939982375,0.12546283200539338,8.594193232471914,3.5515141573885547,0.4132457883271315,3.479237904459545,1.7462595937064505,0.5019086482899506,8.5922037759461,3.499491074723796,0.40728678764819704,761,10,6.546875,12.3828125,6.54105658737233,6.541164341228395,6.543692203175378,6.573898220210945,6.46964837042413,6.471632811897446,6.515521155215132,6.605557876656444,0.47119140625,,,0.2814635971609543,0.4577437703004393,0.24991310939344083,0.1749429389461386,8.594193232471914,4.033191140895348,0.469292583003198,3.479237904459545,1.9729251061595567,0.5670566831979905,8.5922037759461,3.9648669431902777,0.4614493611394477
8,train,received,1.4049755334854126,93.0,94.375,1.326171875,3.630859375,4.75,959,10,7.203125,10.3671875,7.185954741594071,7.186058677738202,7.190934859662954,7.217157449193349,7.088303162160671,7.090202286919967,7.1704190589967185,7.216761971644856,0.305419921875,,,6.25,0.10571473901674273,0.276344199228332,0.14940572996994736,0.12708911331201456,8.593223583337746,3.615173506546512,0.4207005056351996,3.460627455200471,1.7582726260137003,0.508079141362486,8.592760994338619,3.561501976896011,0.41447702074368453,929,10,6.84375,12.40625,6.830059610284634,6.8301627932150035,6.832892764662933,6.86158681175791,6.75336219886735,6.755297298403519,6.803017617876421,6.885258643163653,0.4482421875,,,0.28755634013988796,0.4754746248636314,0.24033464574496932,0.16393486017275438,8.593223583337746,4.143720451219171,0.48220791778929645,3.460627455200471,2.0127157682472694,0.5816042883271509,8.592760994338619,4.086698009329582,0.4755977749203221
9,train,received,1.3173249959945679,93.625,94.875,1.302734375,3.630859375,4.74609375,1125,10,7.30859375,10.390625,7.295765180655645,7.295868032069739,7.301076417103092,7.3265745847326675,7.221911828471914,7.223796358284308,7.3113454954560195,7.348934628915074,0.296630859375,,,6.3984375,0.06764770420881482,0.25816882640326455,0.1418520961107388,0.130468571875558,8.598415192076715,3.6577883754696963,0.42540262289733144,3.4696319059191576,1.7770613004592857,0.5121757433195253,8.596361258558222,3.5960062951549254,0.41831726087300874,1127,10,7.01953125,12.4609375,7.003982742635483,7.004085161215647,7.006985586244573,7.035071453382303,6.900074191098445,6.901981150558913,6.951969426386981,7.029762966203088,0.4365234375,,,0.27237625883939137,0.4934112855605195,0.23638500451187253,0.1753675289319899,8.598415192076715,4.23980834954792,0.4930918378371433,3.4696319059191576,2.058253831026983,0.5932196517779371,8.596361258558222,4.161002262637364,0.4840422752702282
10,train,received,1.18574857711792,94.125,95.3125,1.2802734375,3.63671875,4.7578125,1176,10,7.39453125,10.390625,7.383541036617784,7.383642650520611,7.3888796028756065,7.413984227871807,7.3114104775356825,7.313275895587782,7.401847862707249,7.436977180994079,0.288330078125,,,6.5234375,0.0965331012874727,0.2517193871212455,0.1578788851013582,0.12736260392566054,8.597229928360905,3.633143344723992,0.42259464676393327,3.457310228085396,1.7951770963758094,0.519240964201801,8.596592356962278,3.5826629197543483,0.4167538451271093,1128,10,7.171875,12.453125,7.147181418961868,7.147282878400178,7.150271097516478,7.177889644755992,7.085589306760886,7.0874678327758005,7.138897566453258,7.2128634017385265,0.424072265625,,,0.28420153387387737,0.4596771839504057,0.23399030286244255,0.16882817748387371,8.597229928360905,4.225631220998136,0.4915107838466022,3.457310228085396,2.0998882349859063,0.6073762828477187,8.596592356962278,4.176606257387872,0.4858444001948387
