epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected
1,train,baseline,5.651711940765381,72.5625,72.5625,1.5,3.107421875,3.107421875,592,10,4.1015625,8.6796875,4.0993061435932665,4.099413155436651,4.100448911687634,4.131552806654042,4.096260196865805,4.098149903167335,4.1155439807329754,4.22413398537666,0.52734375,,,4.10546875,0.24930602790581102,0.2512717282557963,0.29823192058170844,0.24969659012650655,8.597267500617487,3.272402498062694,0.3806328578036752,3.4635215887976587,1.6438312102504566,0.47461266462643964,8.578384794601101,3.2188076297868955,0.3752230410336322
2,train,baseline,2.760260581970215,85.875,85.875,1.4736328125,3.345703125,3.345703125,84,10,4.2734375,8.734375,4.273846980190564,4.273953557791673,4.275174780976436,4.30582348208228,4.2663824964545825,4.268268114314797,4.288704437103134,4.393134331177212,0.5107421875,,,4.26953125,0.27121425943149996,0.27586744529380675,0.30332727818632765,0.24355452861427157,8.597088797290382,3.762772548887649,0.43767985158808576,3.4945096005835325,1.808318543360893,0.5174741952515827,8.586022824112554,3.7291401323459814,0.4343268366202396
3,train,baseline,2.149911403656006,88.8125,88.8125,1.4482421875,3.408203125,3.408203125,103,10,4.66015625,8.9765625,4.658395729081013,4.6584999761302095,4.660169292307895,4.689316785914491,4.64498807208567,4.64681532482791,4.674179532988308,4.766914327537243,0.480712890625,,,4.6640625,0.33041076684684356,0.31521683013918556,0.2832929028550737,0.22026127321012545,8.592920848204654,4.161662079995617,0.4843128609598593,3.4845400220578884,2.023609655520568,0.580739392491027,8.589589568365689,4.145485369895943,0.48261739829376854
4,train,baseline,1.633041262626648,91.0625,91.0625,1.4228515625,3.4375,3.4375,90,10,4.74609375,8.984375,4.746541430471989,4.746643982674221,4.748455264726198,4.77719042531847,4.744811359390704,4.746635603223137,4.776659307107578,4.865966322635303,0.4716796875,,,4.75,0.2813515820444797,0.27722497330735857,0.27425380893391477,0.21160250833835748,8.596334454707826,4.352456577138372,0.506315406883073,3.4704289585659307,2.113169108772384,0.6089071794875752,8.591815952897615,4.3337242457887655,0.5044014291678588
5,train,baseline,1.3573641777038574,92.4375,92.4375,1.3974609375,3.46484375,3.46484375,149,10,5.3046875,9.0390625,5.306376770075178,5.306463022576764,5.30852626568482,5.333304030704608,5.286990592842061,5.28864810532138,5.324505316505513,5.39729147159633,0.412841796875,,,5.30859375,0.30891549531602186,0.3023970866266474,0.262262769498893,0.2065370367866842,8.593151147421695,4.570834075382981,0.5319159406097986,3.4809447444030046,2.1661200128807288,0.6222793442394119,8.588163398190291,4.540519277157712,0.5286950267055347
6,train,baseline,1.1568751335144043,93.625,93.625,1.373046875,3.484375,3.484375,183,10,5.48046875,9.078125,5.4790042023198335,5.479094421058831,5.481577140000256,5.5062432329237705,5.452223707901234,5.453895862175218,5.495266752157421,5.562069951105615,0.39599609375,,,5.484375,0.27966113579650936,0.2850398504026188,0.2716096724764833,0.19660008500537013,8.595226255364356,4.889360799407965,0.5688460843432099,3.4697103323475553,2.269611574256705,0.654121340648376,8.591985309784572,4.868256500426747,0.5666043789533445
7,train,baseline,0.948348343372345,94.875,94.875,1.349609375,3.486328125,3.486328125,192,10,5.84765625,9.078125,5.848909423074385,5.848990465174911,5.851784022665936,5.873947541227657,5.8280934203333175,5.829654184853612,5.877193449636973,5.930496525440845,0.355712890625,,,5.8515625,0.2675272298982646,0.2701074724705907,0.2859844379050985,0.21432480499707146,8.596665263658238,5.091632811731847,0.5922799894578128,3.473619137698377,2.3202574835023646,0.6679654249716535,8.594823348564978,5.069583183233616,0.5898414635921576
8,train,baseline,0.8020250201225281,95.6875,95.6875,1.326171875,3.5,3.5,247,10,6.1484375,9.109375,6.146694927992389,6.146770003190816,6.149873559770842,6.170159870031829,6.131720158387914,6.133207161581983,6.186850502326684,6.228664680288684,0.3251953125,,,6.1484375,0.2622296621009207,0.26354423469606425,0.2762212744746647,0.21191268392257864,8.594047899820927,5.440689739555909,0.6330764970101314,3.4887727655604026,2.484877761325428,0.7122498162835439,8.592082951024725,5.418843784700216,0.6306787091777255
9,train,baseline,0.7304239869117737,96.1875,96.1875,1.302734375,3.5546875,3.5546875,293,10,6.375,9.2890625,6.371264964667095,6.3713370635623,6.3748512348171005,6.393821897575987,6.348698690378872,6.350142799478076,6.410452825283231,6.442200346963096,0.313720703125,,,6.375,0.29382593106286,0.28433737626143957,0.26937977578518923,0.2140548656241659,8.595665172242645,5.697532586459048,0.6628378923899543,3.4599446396475892,2.579066278596403,0.7454068047918513,8.593593792350426,5.674620444737883,0.6603314727057658
10,train,baseline,0.6448941826820374,96.5625,96.5625,1.2802734375,3.587890625,3.587890625,320,10,6.44140625,9.3203125,6.441297350975515,6.441368680143353,6.445153868926786,6.463647582313285,6.432963020841047,6.434382452432063,6.49885939551705,6.524817818568574,0.308837890625,,,6.4453125,0.2729196213996439,0.2662376623691064,0.26913690160319437,0.19699046535219536,8.600328237591516,5.822161408123165,0.6769696745613556,3.489979171370565,2.627457832113725,0.7528577401457341,8.59808221951338,5.809732800952481,0.6757010054832077
