epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,5.378660678863525,74.5,75.8125,1.5,4.30859375,4.30859375,3551,11,7.80859375,12.8671875,7.795599717407501,7.795706934165302,7.801923254555797,7.827380265132558,7.695946302581007,7.697877987294779,7.798688929667261,7.826020251051675,0.393310546875,,,5.734375,0.09428378935889536,0.18160877891176175,0.25713699294881914,0.22403569877554008,8.595138618454833,3.1303609376601464,0.3642013324763456,3.474017096829976,1.7552126755102986,0.505240079880989,8.566131097011606,3.0619254116671124,0.3574455465356233,2809,10,5.41796875,12.796875,5.406841986826342,5.406968390346395,5.408185029475922,5.445615840053499,5.365977009745587,5.36819844566207,5.3891220339494605,5.5225406100869945,0.57666015625,,,0.12445815586410673,0.23920932892562757,0.3326741384679971,0.25806401484080976,8.595138618454833,3.1763193280163318,0.36954835390279556,3.474017096829976,1.8121747211283692,0.5216366732282262,8.566131097011606,3.0798073179787036,0.35953305910215755
2,train,received,3.3425469398498535,84.3125,86.1875,1.4736328125,4.87109375,4.87109375,932,11,7.9765625,12.8671875,7.969983475437662,7.970094022906974,7.980161940480278,8.002242150019098,7.887892725534805,7.8898151495292606,8.044858637591213,8.016588386255865,0.380126953125,,,5.9296875,0.13267360385291824,0.20263811473151946,0.25898955599901974,0.23072423531949318,8.594363332425637,3.410914225018219,0.39687805752279465,3.4800104668416685,1.8180947763228952,0.522439456330984,8.588666844875636,3.3495702262969305,0.3899988539310297,388,10,5.58203125,12.796875,5.577608872124461,5.5777373636996295,5.580051097060954,5.616639974208493,5.545627142148586,5.547843752477638,5.586082712201947,5.701150899529364,0.56396484375,,,0.1884744618754588,0.2748424131763349,0.3530311640385889,0.27914578684146124,8.594363332425637,3.5282047000125525,0.41052542969657846,3.4800104668416685,1.892776484459378,0.5438996527436291,8.588666844875636,3.4405567640685852,0.40059264449422294
3,train,received,2.537386417388916,87.5625,89.125,1.4482421875,4.9140625,4.9140625,795,11,8.0546875,12.7890625,8.05046591419355,8.050575897421478,8.061354597931194,8.082532664537533,7.979477544931729,7.981395061155973,8.150230691535443,8.107480227487669,0.370361328125,,,5.9453125,0.11248955213583452,0.11662534261652578,0.21711634687120687,0.21799510141770695,8.593492469055526,3.437545242026969,0.4000172519386376,3.4904384265190544,1.8728082256116592,0.5365538642317131,8.583634830324733,3.374201444511016,0.3930970400313924,293,10,5.578125,12.71875,5.573514822943482,5.5736429502356355,5.575974151476503,5.612497885063069,5.538820877388979,5.541043230674957,5.579868234529038,5.694706174258986,0.5615234375,,,0.16204096355210243,0.16613529162865903,0.3129345350872208,0.30840548933677353,8.593492469055526,3.578820828402044,0.4164570855550394,3.4904384265190544,1.9626826173885368,0.5623026043023144,8.583634830324733,3.5000140882924313,0.40775430892369635
4,train,received,2.2999463081359863,88.6875,90.3125,1.4228515625,4.97265625,4.97265625,804,11,8.046875,12.7890625,8.046012188946527,8.046123762018318,8.057050411816675,8.078413984521175,7.973201257773123,7.975126069792349,8.1433057506566,8.101612977776504,0.37060546875,,,5.9453125,0.11632719212055766,0.12717983968613905,0.2285997343097212,0.22656980355677822,8.596589725837049,3.4995955334454667,0.4070911425407953,3.4697279459447,1.847767357071607,0.532539549456958,8.58873570558906,3.444176990047593,0.40101094132007326,334,10,5.5625,12.71875,5.5561663276816144,5.556295862771197,5.558628191902501,5.595463416099067,5.535507698908017,5.537735801951429,5.5763693334650055,5.691719797717027,0.5625,,,0.17075566807809953,0.18109496438904935,0.34322464439596123,0.3269372281472782,8.596589725837049,3.667045037627088,0.42656973923110286,3.4697279459447,1.9491832901691422,0.5617683347327797,8.58873570558906,3.593367676638202,0.418381447492888
5,train,received,2.1403751373291016,89.1875,90.75,1.3974609375,4.98046875,4.98046875,695,11,7.9765625,12.765625,7.973122722428206,7.973234111755322,7.983610298827166,8.005602849891737,7.883811414416354,7.885747036433045,8.045731377352805,8.013240173261204,0.375,,,5.87109375,0.12906368097564427,0.12913540034541643,0.23433943552950703,0.23061179902041057,8.592101814868087,3.4902390614237433,0.40621481642409146,3.454308630982788,1.8725451141790774,0.542089695571388,8.589519511554073,3.439352680651914,0.4004126978261725,262,10,5.453125,12.6875,5.446825584847225,5.446955365518322,5.449153227757284,5.486316868721112,5.435530806681646,5.437768793487839,5.4743662821221735,5.592745195373754,0.5703125,,,0.17371536792027892,0.17287404263190284,0.3395995182491377,0.3303736666448943,8.592101814868087,3.680787585919262,0.4283919889717662,3.454308630982788,1.9766081309560093,0.5722152656618997,8.589519511554073,3.6050395022037005,0.4197021145774722
6,train,received,2.1752023696899414,89.125,90.75,1.373046875,4.99609375,4.99609375,780,11,7.86328125,12.7578125,7.861223694170196,7.861336315586096,7.871563789338603,7.89409852213264,7.775938516014656,7.777890321600119,7.932293344482443,7.906774359844644,0.38330078125,,,5.77734375,0.14324609354694737,0.14324609354694737,0.23341777314043904,0.23341777314043904,8.59079879416372,3.4276869196541595,0.39899513442019,3.4859430611582902,1.8460811945298925,0.5295786999792494,8.586124219591003,3.3733891975170653,0.39288846879480105,310,10,5.328125,12.6796875,5.329948366237209,5.330079067286282,5.332265881650282,5.369769260578952,5.281684567260374,5.283940727387855,5.319717991557392,5.440603741553182,0.57958984375,,,0.2106528491733299,0.2106528491733299,0.3334323597676806,0.3334323597676806,8.59079879416372,3.6254436510838284,0.4220147320347934,3.4859430611582902,1.9503970247387388,0.5595034085527121,8.586124219591003,3.551228393506154,0.41360086375215704
7,train,received,2.0481791496276855,89.625,91.3125,1.349609375,5.0,5.0,842,11,8.046875,12.7578125,8.029920710042056,8.030028877642986,8.040311856270081,8.061651863210791,7.953230683146528,7.955144222727201,8.117341568331488,8.081147120954688,0.369140625,,,5.96484375,0.12107117599696914,0.12107117599696914,0.23828527103213876,0.23828527103213876,8.59265068177734,3.4928430204350107,0.4064919138214678,3.4744488185792517,1.8528749178964041,0.5332860015057207,8.58712800115271,3.4397000688108186,0.40056466706320015,354,10,5.57421875,12.6796875,5.568425863201015,5.568552669607804,5.570800588196824,5.607133836537202,5.515066937894781,5.517286505078188,5.55464327456913,5.670907029044282,0.560546875,,,0.1849312846118969,0.1849312846118969,0.33085667907611627,0.33085667907611627,8.59265068177734,3.6897289020965944,0.4294052020433578,3.4744488185792517,1.9729112111758944,0.5678342995372267,8.58712800115271,3.6219969280006303,0.4217937507760947
8,train,received,1.9339098930358887,90.25,91.75,1.326171875,5.0,5.0,986,11,8.109375,12.7578125,8.097854502408047,8.097962455163279,8.108334073507745,8.129452601035535,8.015617494911483,8.017522415678904,8.178332428288424,8.142757514986842,0.3642578125,,,6.01171875,0.11933182601919637,0.11933182601919637,0.23127055246768286,0.23127055246768286,8.59565570213659,3.5696133204785543,0.41528109596005214,3.479988584998959,1.8535246396601277,0.5326237699887979,8.585786856397737,3.511359229840261,0.4089734917218165,448,10,5.640625,12.6796875,5.6279607471933435,5.6280874240427226,5.630307420149268,5.6665789101879716,5.618488533659888,5.6206956446829555,5.6580110467857105,5.773166275572847,0.55517578125,,,0.1854748169612417,0.1854748169612417,0.3397592861903245,0.3397592861903245,8.59565570213659,3.7974452840503474,0.44178657401394417,3.479988584998959,1.9827616336281917,0.5697609590373943,8.585786856397737,3.715213536044173,0.43271672103946596
9,train,received,2.0193052291870117,89.75,91.5625,1.302734375,5.0,5.0,1225,11,8.40625,12.7578125,8.389546004007158,8.3896505703219,8.40196792293741,8.420008060688447,8.282879014370213,8.284738233231403,8.478384649521074,8.406280586451416,0.341064453125,,,6.375,0.1364260293868552,0.1364260293868552,0.24101422420411106,0.24101422420411106,8.59608773795328,3.8071863719043098,0.4428975701463463,3.4780829095582355,1.9765992943576727,0.5683013734162904,8.593620800882213,3.7433068746941096,0.4355913486792232,590,10,6.02734375,12.6796875,6.017859305499796,6.017982845617134,6.020811803548219,6.055300725973591,5.993558938359692,5.995713820360615,6.0428502714549,6.143656759274649,0.52490234375,,,0.22037704866709826,0.22037704866709826,0.3539970649495305,0.3539970649495305,8.59608773795328,4.082403906810593,0.4749141738963462,3.4780829095582355,2.104881386430488,0.6051843619500826,8.593620800882213,3.9911938117665056,0.46443680774892615
10,train,received,1.6348240375518799,91.6875,93.25,1.2802734375,5.0,5.0,1559,11,8.6796875,12.7578125,8.660738734927058,8.660837525206874,8.674746469129325,8.689656060547561,8.512083760562149,8.513898786318672,8.732847592722331,8.632002726232013,0.319580078125,,,6.703125,0.12008968402945691,0.12008968402945691,0.23177775528418934,0.23177775528418934,8.595299636791427,3.955123044339045,0.4601495249112069,3.484693704900012,2.023894444627553,0.5807955062970521,8.591668646089833,3.8946045604725477,0.45330013538697483,808,10,6.3984375,12.6796875,6.384181785876252,6.384300124926519,6.3876163815807905,6.420098225736922,6.307689582481791,6.309799434475937,6.365664292394232,6.453890612444673,0.495361328125,,,0.18863947662927094,0.18863947662927094,0.34145805700628945,0.34145805700628945,8.595299636791427,4.254852949654371,0.49502089856668235,3.484693704900012,2.1757892199253073,0.6243846387031994,8.591668646089833,4.171119478933814,0.48548421159516425
