epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected
1,train,baseline,4.4024553298950195,78.25,78.25,1.5,3.1484375,3.1484375,579,10,4.80078125,8.5390625,4.798990187373349,4.79907861422648,4.8003095283440045,4.826923112717243,4.7676955914238714,4.769397267363655,4.791239870246989,4.883006490521483,0.437744140625,,,4.80078125,0.3078755221073749,0.23995485821876128,0.43194052226045326,0.36043341782925736,8.596967468217745,3.712498583754895,0.4318381565918082,3.484375560798062,2.0197327160522165,0.5796541391162829,8.585824604382521,3.680341862786066,0.42865327820783616
2,train,baseline,1.952243685722351,89.8125,89.8125,1.4736328125,3.232421875,3.232421875,198,10,5.17578125,8.6015625,5.172280358799075,5.172367849860773,5.173895325440822,5.199395362095019,5.173682217043053,5.175325421139164,5.201882701149762,5.283694402275719,0.39794921875,,,5.1796875,0.2655481281589501,0.20612602346960507,0.4417155780637992,0.3666407428736745,8.593682957665713,4.325519539221368,0.5033371094244209,3.4819312544525336,2.174527740154267,0.6245177119374717,8.584602474288207,4.30315428101011,0.5012642453623815
3,train,baseline,1.5402308702468872,91.9375,91.9375,1.4482421875,3.25390625,3.25390625,207,10,5.3984375,8.75,5.403925702923388,5.404008317784549,5.4058516110455415,5.429991028578985,5.368727941640884,5.370336824744195,5.4027129942986925,5.476282266180481,0.3828125,,,5.40234375,0.29302767085708076,0.219101827266886,0.38775916966259055,0.31812299828076634,8.594712790147684,4.575798285444625,0.5323968813349956,3.4602598676872955,2.2305268576299557,0.6446125270703307,8.591242024878694,4.552526914155266,0.5299032317995425
4,train,baseline,1.081467866897583,94.3125,94.3125,1.4228515625,3.3046875,3.3046875,236,10,5.82421875,8.8359375,5.822027425164201,5.822107544306696,5.8247984338936805,5.846914076569423,5.806692921419414,5.808243559261318,5.854491422581246,5.908733964533875,0.340576171875,,,5.83203125,0.29468741612284155,0.21191099020593904,0.36806169236244485,0.3194037728295596,8.600469700278897,4.975230185792841,0.5784835432454932,3.4790208849229627,2.3558135980701334,0.6771484495190948,8.597770490154053,4.946862026966429,0.5753656756285189
5,train,baseline,1.4560619592666626,94.0625,94.0625,1.3974609375,3.2890625,3.2890625,288,10,5.875,8.7890625,5.878507545268635,5.878574886227146,5.880923340784923,5.901148853318123,5.869006174798442,5.870456352829709,5.9144035111998425,5.9662701125617446,0.3310546875,,,5.87890625,0.29386548071112745,0.20459648661197846,0.33970482906205485,0.31655358896765623,8.594514838585752,4.913678334979743,0.5717225960119815,3.4758656218702813,2.361513634786922,0.6794030298318171,8.590711580433368,4.884952140856439,0.5686318409271996
6,train,baseline,0.8862205147743225,95.5625,95.5625,1.373046875,3.296875,3.296875,291,10,5.95703125,8.8125,5.949371936970042,5.949439064417053,5.951934300750008,5.971811661556949,5.954056220275618,5.955485467256527,6.001747923080534,6.049809808627478,0.323974609375,,,5.95703125,0.2799079591491439,0.20752224231638844,0.35640196925890427,0.303944294519119,8.594372273140834,4.983775042413965,0.5798881970692936,3.490423878104041,2.3798097521749915,0.6818111024004562,8.59134190213673,4.9526128616188485,0.5764655763946605
7,train,baseline,0.7517673373222351,96.1875,96.1875,1.349609375,3.296875,3.296875,306,10,6.01171875,8.796875,6.00473701589002,6.004805385488397,6.007532705795975,6.0273060653839465,5.985951861169861,5.987398598352291,6.037084001237155,6.082394362714449,0.31689453125,,,6.01953125,0.26924784800854107,0.203781514709299,0.33675148547500416,0.3085999752940333,8.595260700946973,5.141742455033779,0.5982066901667443,3.48021081170151,2.417964061488059,0.6947751709057798,8.593211076168949,5.119794014937493,0.595795212005896
8,train,baseline,0.7076519131660461,96.3125,96.3125,1.326171875,3.302734375,3.302734375,304,10,6.1328125,8.8203125,6.128495474500053,6.128565079521914,6.131505717641212,6.150994302872412,6.105399091782006,6.106854525077284,6.159841273931444,6.201130489361538,0.304931640625,,,6.13671875,0.28086078452441726,0.2072150466515659,0.33889796195819283,0.315120528009888,8.598220545268699,5.275029174480187,0.6135024272415124,3.491116821427237,2.436026614935129,0.6977786019601698,8.597396166414399,5.250454452003351,0.6107028628637788
9,train,baseline,0.7062897086143494,96.375,96.375,1.302734375,3.3046875,3.3046875,333,10,6.109375,8.8359375,6.108655448223537,6.108722932980954,6.111543085625953,6.130889356622744,6.0983188901005265,6.099741609733824,6.15083378589334,6.192792533849595,0.308349609375,,,6.1171875,0.27714573445880136,0.20481642870706027,0.3311807431530186,0.3033580709110232,8.593629599678824,5.327778466713439,0.6199683620192983,3.480026057539197,2.454531891175302,0.705319974790923,8.592304076168913,5.3055911093235215,0.6174817676714658
10,train,baseline,0.6117962598800659,96.75,96.75,1.2802734375,3.314453125,3.314453125,342,10,6.140625,8.84375,6.136292835486691,6.136363756022717,6.139429437046778,6.15902775526224,6.125611939355174,6.127061361338907,6.181193046494601,6.220985681839907,0.305908203125,,,6.14453125,0.27874360959692873,0.22051871097149903,0.34634369722929,0.2972508449751019,8.596327694244549,5.512638649821572,0.6412783278972041,3.4865167259166445,2.5103308253390972,0.7200111236176855,8.593965566015708,5.5065064554026435,0.6407410424330503
