epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y
1,train,baseline,1.0802682638168335,33.0,33.0,1.5,3.521484375,3.521484375,1918,10,6.83203125,9.3359375,6.688067238236202,6.688116689384804,6.688235901213809,6.7120574294918836,5.7756665011987955,5.778297237621679,5.784369018621645,5.960165635634921,0.2685546875,,,6.98046875,0.5573550091848757,0.5573562438511578,7.162105003080282,1.9688376008684338,0.27489650040339747,0.5125004727797595,0.0744372100172629,0.5978925602387459,0.08200211380965892,0.857144654911087,0.15020283027102854,0.24938764100012722,0.04369792336978172,6.956641314793943,1.7427424350084264,0.2505149189311116,0.5143296545814895,0.07253836679561523,0.5933128901250946,0.080507964125919,0.5905766621769377,0.10066048980598152,0.26429117207417807,0.04477175172469796
2,train,baseline,0.8715381026268005,41.5625,41.5625,1.4951171875,3.466796875,3.466796875,394,10,3.41796875,8.828125,3.351660999109298,3.351741599984725,3.3518229967452906,3.38774163803474,3.1140840481433534,3.1170510472332285,3.1199827036333296,3.3288481257629363,0.61279296875,,,3.482421875,0.5354894050977106,0.5843295532305371,7.162105003080282,1.330609827321545,0.18578474160170447,0.12847120267408307,0.03058888007936783,0.16576703470954968,0.03598849021963309,0.9939555040160215,0.32895995295950164,0.0974118603493972,0.032234128025489625,6.964693656648505,1.3094404979142413,0.18801121233297144,0.12843518401091902,0.030801966234472216,0.1560265362906712,0.03501169804537682,0.8715151448428688,0.29894559305308716,0.08175738803822163,0.027301459137288812
3,train,baseline,0.6910218596458435,51.28125,51.28125,1.490234375,3.46875,3.46875,92,9,3.01171875,8.828125,3.0039610576283504,3.004049578303017,3.0041531726751303,3.0426628216167284,2.974949028481541,2.977942266065525,2.9814053031544256,3.191804752809909,0.65869140625,,,3.015625,0.5736795291077107,0.6003685171343126,7.162105003080282,1.5610878264078152,0.2179649454645557,0.030573901875150966,0.008453599181384042,0.1347562493802652,0.03349767583945354,0.9943386423071292,0.40780825982629454,0.44866245904190993,0.18397220453785132,6.9886263617222895,1.5578371616807845,0.22291035191311448,0.029951565424573445,0.00836748203652668,0.1323453855760448,0.03387063268126165,0.9030128484315103,0.38316600864536426,0.43395519002395666,0.180369911937639
4,train,baseline,0.662301778793335,53.3125,53.3125,1.484375,3.46875,3.46875,81,6,3.142578125,8.828125,3.1421351032881146,3.1422233548728795,3.142328978768687,3.1806435555882264,3.0909999332995683,3.0939823583419184,3.097491186518772,3.306763871083975,0.6435546875,,,3.146484375,0.5738620483519409,0.5984409052143265,7.162105003080282,1.6404740323802285,0.22904914570153503,0.020837425382101316,0.005673813152033117,0.130712240536063,0.032047194832269164,0.9943389528780013,0.3986702710913928,0.4858890347259406,0.19477323408979286,7.008494156722227,1.6415290714837387,0.23421993865961338,0.020594375727531755,0.005675003238987886,0.1306862041765271,0.032913579598945295,0.904805875911423,0.3767193127749543,0.477642791390819,0.19538122955468412
5,train,baseline,0.6458541750907898,55.875,55.875,1.4794921875,3.46875,3.46875,69,8,2.92578125,8.828125,2.923492439387896,2.9235814977158223,2.923687569040218,2.962427909814452,2.8902043304456506,2.8932095253284325,2.8967446075727596,3.108100195872262,0.66845703125,,,2.92578125,0.5763276895361835,0.5957992274596404,7.162105003080282,1.6534232924145984,0.23085717002242961,0.027097982144537625,0.007867571425376967,0.1682448067404625,0.04369491565742886,0.9942700702501757,0.43880855047317796,0.4543076658159455,0.2004586364336247,7.011324271738436,1.6486347498567007,0.23513885336926896,0.0268229872724568,0.007909387677744625,0.166737229353358,0.044568165870798614,0.9104929383810081,0.4171305138105036,0.44376710814568643,0.2008659727497715
6,train,baseline,0.5972837805747986,59.78125,59.78125,1.474609375,3.466796875,3.466796875,31,9,2.6640625,8.828125,2.6589902659129505,2.6590802672748204,2.659196425505229,2.698433763964794,2.648325770170017,2.6513590357499592,2.6552179204791346,2.8688296634557355,0.6982421875,,,2.666015625,0.57980727187996,0.5943492420151794,7.162105003080282,1.8394581206864795,0.25683205145629173,0.04101575913858291,0.01370080014948977,0.3609046879810158,0.10615289816391028,0.9923380196287139,0.5466662641754292,0.4554622424472683,0.2508390725659667,7.050519000960198,1.8423209622293446,0.26130288592633283,0.04195551226152627,0.014301777718463872,0.3662599081134994,0.10984906699914654,0.934104497992652,0.5328725452653642,0.44721665685202794,0.25413868654761745
7,train,baseline,0.5791789293289185,60.8125,60.8125,1.4697265625,3.474609375,3.474609375,24,6,2.4609375,8.859375,2.4611595182942088,2.46125013163996,2.461362145716032,2.5009524719192218,2.4160239400722365,2.419083165131051,2.4227870652715455,2.63896999517975,0.72216796875,,,2.46484375,0.5795556356207752,0.5935225574494158,7.162105003080282,1.9187581973534242,0.26790422599615665,0.027206900261528943,0.010013948946121974,0.41843820588716607,0.13398249399805107,0.9943390469571511,0.6463135224026204,0.4749821322563559,0.30863461250803526,7.048923033851697,1.9158198525555408,0.27178901562054536,0.027461733390364174,0.010310190574320682,0.4187072134925556,0.13777835918788947,0.9333656155001,0.6331248954743877,0.4695684217414433,0.3181705784427217
8,train,baseline,0.45856502652168274,70.625,70.625,1.46484375,3.92578125,3.92578125,180,10,4.234375,10.9921875,4.22288671751845,4.222971827967296,4.223353375676072,4.259540346912184,4.1747659956022005,4.177625797945775,4.190219825553871,4.379048892188919,0.61474609375,,,4.23828125,0.6402594300852837,0.6089297425628973,7.162105003080282,2.253755631881533,0.3146778259900178,0.06611040320587414,0.015965458299622225,0.4430758027352528,0.09744310380565656,0.9943736165286623,0.3356629131999752,0.7726521248498299,0.2607740278304865,7.097750712176543,2.222314927989811,0.3131012933685202,0.07242252924357118,0.017430023230550894,0.44889802241369825,0.09873339294171044,0.9572370746707666,0.3224045811319611,0.7271899425417114,0.24422652389878605
9,train,baseline,0.38371241092681885,72.0625,72.0625,1.4599609375,4.01171875,4.01171875,79,10,3.73046875,11.15625,3.7190196948336744,3.7191064812426746,3.7195242916841194,3.756608451807505,3.6698202491484877,3.6727395603284636,3.686405407639513,3.8796003506193113,0.66552734375,,,3.732421875,0.6463826476845218,0.6365672997855903,7.162105003080282,2.4256642036638127,0.33868034643733674,0.05279632040417148,0.015178292733875165,0.4204915287229465,0.10824603385807154,0.9943155489980864,0.43231349525397555,0.9673105582825814,0.4204805456002027,7.116833509612713,2.4235937413390465,0.34054383007070443,0.05440737412722285,0.015699326154854566,0.42084689929789754,0.10927453818784881,0.9676229970473269,0.42554505243456703,0.9473932300822687,0.41520332639682583
10,train,baseline,0.3744710385799408,73.375,73.375,1.455078125,3.9765625,3.9765625,47,10,3.326171875,10.953125,3.3271572383844767,3.3272453203229393,3.327593409211828,3.3654665450448955,3.333690303946956,3.3366479932144366,3.3482110680513255,3.5470527406195855,0.6962890625,,,3.333984375,0.6489173861507079,0.6365400339676786,7.162105003080282,2.429089951050853,0.33915866215395457,0.04581525930994346,0.01489959354284849,0.4160952784367531,0.11952933030886105,0.9943737411063669,0.5243173788777236,0.9723655787139736,0.5125774306976237,7.131302216925244,2.422951565738267,0.33976285004268897,0.04445711793827378,0.014506553333418687,0.4136883600043326,0.1193876887527063,0.976219849006787,0.5179091840996637,0.9561545225381378,0.5066855643502196
