epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,messages
1,train,10.172348022460938,70.5625,72.875,1.5,2.671875,3.38671875,471,10,5.01953125,7.37109375,5.022173162364631,5.022264357099425,5.0234061452751115,5.050304067572425,4.983265411893758,4.984987185523888,5.004647019674767,5.097715145256161,0.319091796875,,,4.12109375,-0.021823270977360622,0.2812910466065676,0.1684891473228131,0.22375289264179996,8.59181360881035,2.663362956318643,0.30998844686150273,3.460849924319828,1.363304048621579,0.3939217470949751,8.572626943350295,2.5088034990322496,0.2926528257453574,662,10,4.53515625,8.59375,4.534614920460546,4.53470900703469,4.535620495342063,4.564061228637103,4.523539217632277,4.52531809003797,4.541474232519379,4.6435480343217925,0.471923828125,,,0.22477329050757053,0.5279065115768251,0.3313901712733363,0.30326363242575416,8.59181360881035,3.0601032196347573,0.35616499134674184,3.460849924319828,1.5665101719338788,0.4526374174522318,8.572626943350295,2.8709179715255235,0.33489360851663647,received
2,train,5.818129062652588,83.3125,85.8125,1.4736328125,2.82421875,3.591796875,197,10,5.5078125,7.828125,5.503168130337339,5.503251923816465,5.505054437519483,5.52923009652982,5.489919240243236,5.4915352680651,5.522820633790372,5.596455088673801,0.296630859375,,,4.48828125,0.023103874225277755,0.26619629867318223,0.1429904783399893,0.13063769839168812,8.592099828545644,3.013582123814511,0.35073872323997546,3.4711016036458386,1.4769025942480551,0.4254852674715152,8.58071485239017,2.857550260763273,0.333020069996534,196,10,4.9375,9.1171875,4.934717534628787,4.934802064417556,4.935959322985709,4.9619751447992755,4.910866867750762,4.912549453458568,4.933499407810949,5.024208559304069,0.458251953125,,,0.2609758789282432,0.5329981519654888,0.26545939472135555,0.18572664601542968,8.592099828545644,3.4415424960884176,0.40054731262019755,3.4711016036458386,1.7050684163082583,0.49121823876240206,8.58071485239017,3.2562641396169125,0.3794863476566729,received
3,train,4.430642127990723,86.875,89.375,1.4482421875,2.91796875,3.734375,213,10,5.66796875,7.9609375,5.668564112923735,5.668643340027869,5.670699547761315,5.6934276852853944,5.636236279513886,5.637770612668916,5.673376491473977,5.738343317772197,0.2880859375,,,4.609375,0.03313693590387505,0.19828872141439138,0.15205730673043086,0.14206013560574404,8.597091445829943,3.100152289766169,0.3606047823615871,3.467301279924113,1.549811474211034,0.44697917749015276,8.590860942616018,2.969401861884128,0.34564659836990796,200,10,5.140625,9.3515625,5.144429156947656,5.144507600192632,5.145737352912991,5.170203785814756,5.102081725912275,5.103704683838661,5.1265381985205405,5.211366182981093,0.45068359375,,,0.22095382788998078,0.45963126059326564,0.2758219164924501,0.2094543070111402,8.597091445829943,3.5853101737184225,0.4170375755927888,3.467301279924113,1.7952296977599387,0.5177599385880969,8.590860942616018,3.4265233309518823,0.39885680304219495,received
4,train,3.8013761043548584,88.5625,91.125,1.4228515625,2.93359375,3.751953125,232,10,5.83203125,7.9453125,5.821276897412013,5.821351805521569,5.823362169860412,5.845152089766503,5.802442626682387,5.803936060988284,5.8401404768173295,5.9013149775149305,0.26611328125,,,4.8203125,0.02029524811838462,0.19120199675990424,0.15943064925023578,0.1544010157548473,8.593326506633746,3.1139451679494847,0.36236784038702924,3.4783415344434117,1.5716914715610049,0.4518508191325438,8.587695964599892,2.9745506914351223,0.34637354462672915,212,10,5.4140625,9.3203125,5.415051879419003,5.4151254473400945,5.416423123907098,5.4395908156547,5.369181773496614,5.3707450047913134,5.395043644575364,5.473913121463024,0.418701171875,,,0.230931593017773,0.488719661205548,0.3018793113440528,0.2291565256862047,8.593326506633746,3.6381000527976646,0.4233634146205406,3.4783415344434117,1.844237108754208,0.5302058726815952,8.587695964599892,3.4843067845563214,0.40573243381219987,received
5,train,3.322566032409668,90.0625,92.6875,1.3974609375,2.947265625,3.76953125,256,10,6.03125,7.99609375,6.023080923178786,6.023152898031572,6.025365302049491,6.046048639116461,5.998459804808208,5.999913541291777,6.0396777798235926,6.094201166746724,0.24609375,,,5.24609375,0.023966139914630865,0.18072690852641754,0.1536211569269534,0.14237194138099418,8.596565018369859,3.1390341254245433,0.3651498149222152,3.4791479125987257,1.5538929204231868,0.44663031278325765,8.592448657583683,3.004321125814383,0.3496466776281257,241,10,5.73046875,9.359375,5.725358239458412,5.725427126781088,5.726873417411013,5.748515588405429,5.696481988850711,5.697968226654215,5.725249902628447,5.795513381477005,0.387451171875,,,0.2218203111074239,0.43527903982659727,0.28528696472126785,0.21504565295415698,8.596565018369859,3.7459226637629452,0.43574644707023613,3.4791479125987257,1.8661478518753771,0.5363807169904055,8.592448657583683,3.5851574805739173,0.4172451443640181,received
6,train,3.046114444732666,90.875,93.4375,1.373046875,2.962890625,3.794921875,265,10,6.0859375,8.046875,6.082196392780581,6.08226639724224,6.0845658637900755,6.104715090378822,6.046026998041668,6.047447791739724,6.08784035144723,6.140019217740914,0.24365234375,,,5.2265625,0.0324570387877038,0.20229231115898497,0.1523042636263742,0.13879202564659374,8.595048042841634,3.139367035569818,0.36525299450588095,3.475275836654511,1.5581001127000222,0.4483385451785991,8.59265590906031,3.0173695262096336,0.35115679693725943,262,10,5.8046875,9.40625,5.796754250777898,5.796822308135708,5.79831133852707,5.819599092817174,5.761318508289502,5.762773072141829,5.790301551736028,5.858638860709022,0.38330078125,,,0.23679702164570526,0.4548789012005406,0.28087164552182364,0.20515442871059192,8.595048042841634,3.768791780248071,0.4384840854248511,3.475275836654511,1.8691460217035551,0.537841054798947,8.59265590906031,3.616764836134478,0.420913495712178,received
7,train,2.862558603286743,91.4375,94.125,1.349609375,2.96484375,3.798828125,260,10,6.06640625,7.98828125,6.058442102425667,6.0585177858556785,6.060835618331172,6.081844619966131,6.041375482799168,6.042830327575514,6.082586521940963,6.136756845895568,0.2406005859375,,,5.2265625,0.023263558794778996,0.2089082245846278,0.1471866929220758,0.1462134042779503,8.59625523848982,3.166494635233926,0.36835744721212027,3.4811810861500683,1.5812668744427496,0.45423286962400317,8.590817838246947,3.0266511391096618,0.35231234046597876,244,10,5.796875,9.3359375,5.799640456764403,5.799714380273035,5.801346459533639,5.823385311902414,5.7754137851591985,5.776920269339618,5.8064713213151995,5.874781661106567,0.37890625,,,0.2348781089733277,0.46641273978850073,0.275548567196811,0.20662363173349113,8.59625523848982,3.7981104214887873,0.44183313735063495,3.4811810861500683,1.9130298600445377,0.5495347161500894,8.590817838246947,3.6442978331835416,0.42420848652602805,received
8,train,2.7695987224578857,91.625,94.25,1.326171875,2.966796875,3.796875,284,10,6.1171875,8.03125,6.113114541120861,6.113185162551578,6.115540383254976,6.1356128516608806,6.092936841154831,6.094364024301678,6.135700854654566,6.1867717641185385,0.23876953125,,,5.29296875,0.026563855281567645,0.1646978104045983,0.1695119283224945,0.13921954074088136,8.593001862760136,3.1594350429776137,0.367675358790482,3.4810206869539195,1.563870973203251,0.4492564433944006,8.5888581241769,3.0345206363184065,0.3533089722109265,276,10,5.8828125,9.421875,5.8745402351461395,5.874608795759464,5.87618824764539,5.8972227103127235,5.84058847031068,5.842039705626803,5.871142703940824,5.9371857521626294,0.37548828125,,,0.18587836822794426,0.39076198272585705,0.2676671369598238,0.20477448638276052,8.593001862760136,3.810964285615497,0.4434962713241385,3.4810206869539195,1.8945231133397176,0.544243566388434,8.5888581241769,3.6693905637735194,0.42722682232280673,received
9,train,2.696988105773926,91.9375,94.5625,1.302734375,2.962890625,3.794921875,273,10,6.0625,8.0078125,6.064044269977563,6.06411744613384,6.0664195081499965,6.087061617747386,6.022458317564743,6.0238980899116505,6.063606301954751,6.117377990390621,0.24267578125,,,5.19140625,0.05222079839112927,0.21245189461800024,0.13358973401379481,0.12779266100798253,8.597049774218817,3.1687578497172675,0.36858665855580686,3.498269497757422,1.593985605252838,0.45564974518820467,8.59329747346323,3.0422225579283504,0.3540227214666978,279,10,5.796875,9.359375,5.797558334874923,5.797629963745342,5.799196614163783,5.820874701544452,5.798614419056738,5.800086038274695,5.829173926529328,5.896356611619612,0.380615234375,,,0.22890388697448802,0.4335578874629573,0.259368679490073,0.197111229851148,8.597049774218817,3.8176620477735606,0.4440665284063052,3.498269497757422,1.9266389206022776,0.5507405652530076,8.59329747346323,3.6736144916189932,0.42749765185755534,received
10,train,2.6762425899505615,92.0625,94.6875,1.2802734375,2.96875,3.802734375,291,10,6.09765625,8.0234375,6.098494854483159,6.098565786084565,6.100843485959447,6.120973422834447,6.0503812024371175,6.051798481062112,6.091000991603362,6.144107748439448,0.2396240234375,,,5.2265625,0.05124656415770356,0.20346634856098747,0.15105963461883273,0.1412186933852299,8.596246057639151,3.161842175158502,0.36781662064555437,3.475362926844546,1.5741450854480528,0.4529440862964194,8.594112888864363,3.035652401121446,0.3532246364898031,303,10,5.84765625,9.3828125,5.846523503967855,5.846594656746232,5.84816560683128,5.869544760930661,5.816127832860044,5.8175868185795,5.846216518602685,5.913102807686001,0.376953125,,,0.2210491595859584,0.43288517837600904,0.2733730436194269,0.20394080788934188,8.596246057639151,3.814293223796869,0.44371615216938265,3.475362926844546,1.9053806232954837,0.5482537114549567,8.594112888864363,3.6671957028347535,0.42671020851802444,received
