epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,posdis,bosdis,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_shape_nn,mutual_info_msg_shape_nn,variation_of_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,variation_of_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,variation_of_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,variation_of_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,variation_of_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn,posdis_nn,bosdis_nn
1,train,noise,1.1693236827850342,42.40625,42.34375,1.6044921875,1.6044921875,0.78857421875,0.78857421875,111,11,3.8243429134432745,4.0,4.0078125,0.48779296875,0.0019073486328125,,,0.09357503067963407,0.168746218085289,0.02354329079389572,10.086825667978498,2.563472392503777,0.0157318115234375,6.53125,0.006137847900390625,0.0023975372314453125,2.9309428088276515,0.0692138671875,6.79296875,0.02362060546875,0.00998687744140625,2.3208749086533187,0.29296875,5.734375,0.126220703125,0.04632568359375,2.320484016375942,0.0634765625,6.1953125,0.0273590087890625,0.01004791259765625,1.2708642824277918,0.0025844573974609375,5.265625,0.002033233642578125,0.0004901885986328125,91,10,0.484130859375,3.6756274145450996,3.8828125,3.892578125,0.0021839141845703125,,,2.563472392503777,0.0157470703125,6.4140625,0.00614166259765625,0.00244140625,2.9309428088276515,0.06927490234375,6.67578125,0.02362060546875,0.010162353515625,2.3208749086533187,0.29296875,5.6171875,0.126220703125,0.047210693359375,2.320484016375942,0.0635986328125,6.078125,0.02740478515625,0.01024627685546875,1.2708642824277918,0.00258636474609375,5.1484375,0.0020351409912109375,0.0005016326904296875,0.09348862609972204,0.17419187724590302,0.027286414057016373
2,train,noise,0.7428699135780334,61.90625,62.21875,1.708984375,1.708984375,1.052734375,1.052734375,110,11,4.52267543869014,4.9140625,5.01953125,0.73583984375,0.0212249755859375,,,0.11482590078746154,0.17612309753894806,0.027590027078986168,10.086825667978495,2.563472392503777,0.044891357421875,7.38671875,0.01751708984375,0.006008148193359375,2.9309428088276515,0.1552734375,7.53515625,0.052978515625,0.019805908203125,2.3208749086533187,0.58642578125,6.0625,0.252685546875,0.0810546875,2.320484016375942,0.09442138671875,7.04296875,0.04071044921875,0.01305389404296875,1.2708642824277918,0.0034942626953125,6.17578125,0.0027484893798828125,0.0005650520324707031,90,10,0.73974609375,4.320847049596943,4.7421875,4.86328125,0.0244140625,,,2.563472392503777,0.044952392578125,7.21875,0.0175323486328125,0.006153106689453125,2.9309428088276515,0.15576171875,7.36328125,0.053131103515625,0.020294189453125,2.3208749086533187,0.58837890625,5.88671875,0.253662109375,0.08331298828125,2.320484016375942,0.09716796875,6.87109375,0.0418701171875,0.01375579833984375,1.2708642824277918,0.00354766845703125,6.0078125,0.0027923583984375,0.0005898475646972656,0.1134585713269081,0.1745813637971878,0.03301478922367096
3,train,noise,0.6157674789428711,69.8125,70.375,1.81640625,1.81640625,1.1279296875,1.1279296875,106,11,4.522176029058698,5.04296875,5.265625,0.8134765625,0.04254150390625,,,0.10439618110116121,0.1751781553030014,0.02091033384203911,10.086825667978513,2.563472392503777,0.05474853515625,7.49609375,0.0213623046875,0.007198333740234375,2.9309428088276515,0.1549072265625,7.6640625,0.052886962890625,0.019439697265625,2.3208749086533187,0.60986328125,6.14453125,0.262939453125,0.08282470703125,2.320484016375942,0.1424560546875,7.078125,0.061370849609375,0.0193328857421875,1.2708642824277918,0.0035419464111328125,6.30859375,0.0027866363525390625,0.000560760498046875,87,10,0.8251953125,4.266448177662844,4.84765625,5.09765625,0.0491943359375,,,2.563472392503777,0.054931640625,7.30078125,0.02142333984375,0.007411956787109375,2.9309428088276515,0.15625,7.46484375,0.053314208984375,0.0200958251953125,2.3208749086533187,0.61328125,5.94140625,0.264404296875,0.0855712890625,2.320484016375942,0.150390625,6.8671875,0.0648193359375,0.0209808349609375,1.2708642824277918,0.003597259521484375,6.109375,0.00283050537109375,0.0005879402160644531,0.11016335557913315,0.17642338573932648,0.02389783039689064
4,train,noise,0.553311288356781,72.875,73.4375,1.8984375,1.8984375,1.130859375,1.130859375,109,11,4.450367703534638,4.99609375,5.27734375,0.8349609375,0.05322265625,,,0.1043784364625501,0.1964787244796753,0.0256644394248724,10.086825667978518,2.563472392503777,0.055633544921875,7.44921875,0.021697998046875,0.007358551025390625,2.9309428088276515,0.1627197265625,7.6015625,0.0555419921875,0.020538330078125,2.3208749086533187,0.62744140625,6.0625,0.2705078125,0.08575439453125,2.320484016375942,0.1634521484375,6.98828125,0.0704345703125,0.0223388671875,1.2708642824277918,0.003505706787109375,6.26171875,0.002758026123046875,0.0005593299865722656,90,10,0.8505859375,4.1854542503639065,4.79296875,5.10546875,0.061614990234375,,,2.563472392503777,0.055999755859375,7.2421875,0.0218505859375,0.0076141357421875,2.9309428088276515,0.164794921875,7.39453125,0.05621337890625,0.021331787109375,2.3208749086533187,0.63134765625,5.8515625,0.27197265625,0.0887451171875,2.320484016375942,0.172607421875,6.76953125,0.07440185546875,0.0242767333984375,1.2708642824277918,0.0035858154296875,6.0546875,0.0028209686279296875,0.000591278076171875,0.10701559771941879,0.19655060768127441,0.028742194175720215
5,train,noise,0.5019436478614807,75.375,76.125,1.970703125,1.970703125,1.150390625,1.150390625,103,11,4.4843445946446625,5.0234375,5.34375,0.8603515625,0.0596923828125,,,0.11730504884956663,0.19719423353672028,0.01742592081427574,10.086825667978497,2.563472392503777,0.061431884765625,7.46484375,0.023956298828125,0.00809478759765625,2.9309428088276515,0.18408203125,7.5859375,0.06280517578125,0.0231475830078125,2.3208749086533187,0.646484375,6.05078125,0.278564453125,0.0880126953125,2.320484016375942,0.1676025390625,7.0078125,0.07220458984375,0.0228271484375,1.2708642824277918,0.003833770751953125,6.2890625,0.003017425537109375,0.0006089210510253906,86,10,0.8798828125,4.199663924757148,4.8125,5.16796875,0.0693359375,,,2.563472392503777,0.062164306640625,7.25,0.0242462158203125,0.00843048095703125,2.9309428088276515,0.187744140625,7.3671875,0.0640869140625,0.0242462158203125,2.3208749086533187,0.65087890625,5.83203125,0.280517578125,0.09124755859375,2.320484016375942,0.177001953125,6.77734375,0.07623291015625,0.024810791015625,1.2708642824277918,0.003948211669921875,6.07421875,0.0031070709228515625,0.0006494522094726562,0.12455272638035883,0.19797606766223907,0.018527818843722343
6,train,noise,0.46077147126197815,77.75,78.5,2.0234375,2.0234375,1.1728515625,1.1728515625,95,11,4.456943266223271,5.05078125,5.41015625,0.87939453125,0.06610107421875,,,0.11670593277240492,0.2199641913175583,0.018549397587776184,10.086825667978493,2.563472392503777,0.06707763671875,7.48046875,0.0261688232421875,0.00881195068359375,2.9309428088276515,0.2216796875,7.5390625,0.07562255859375,0.02777099609375,2.3208749086533187,0.658203125,6.0546875,0.28369140625,0.08929443359375,2.320484016375942,0.1866455078125,7.0,0.0804443359375,0.0253143310546875,1.2708642824277918,0.004497528076171875,6.3125,0.0035381317138671875,0.0007114410400390625,81,10,0.9033203125,4.142101446875971,4.828125,5.234375,0.07720947265625,,,2.563472392503777,0.0684814453125,7.25390625,0.0267181396484375,0.0092620849609375,2.9309428088276515,0.2281494140625,7.3046875,0.07781982421875,0.0294036865234375,2.3208749086533187,0.66357421875,5.82421875,0.285888671875,0.09283447265625,2.320484016375942,0.1961669921875,6.7578125,0.08453369140625,0.0274505615234375,1.2708642824277918,0.00466156005859375,6.08984375,0.003665924072265625,0.0007638931274414062,0.11720725414430821,0.22276663780212402,0.01834862120449543
7,train,noise,0.4344893991947174,79.8125,80.3125,2.078125,2.078125,1.212890625,1.212890625,91,11,4.431570891284564,5.12890625,5.53125,0.91845703125,0.072998046875,,,0.12409660000356466,0.19416554272174835,0.014567258767783642,10.086825667978498,2.563472392503777,0.07666015625,7.5390625,0.0299072265625,0.0099639892578125,2.930942808827651,0.265625,7.52734375,0.09063720703125,0.032958984375,2.3208749086533187,0.66943359375,6.109375,0.28857421875,0.08990478515625,2.320484016375942,0.185302734375,7.078125,0.07989501953125,0.0248870849609375,1.2708642824277918,0.005451202392578125,6.38671875,0.0042877197265625,0.0008516311645507812,75,10,0.943359375,4.121897466466594,4.890625,5.34765625,0.08575439453125,,,2.563472392503777,0.07879638671875,7.296875,0.0307464599609375,0.0105743408203125,2.930942808827651,0.27587890625,7.26953125,0.0941162109375,0.0352783203125,2.3208749086533187,0.6767578125,5.859375,0.29150390625,0.09381103515625,2.320484016375942,0.1942138671875,6.82421875,0.08367919921875,0.0269317626953125,1.2708642824277918,0.005672454833984375,6.1484375,0.00446319580078125,0.0009202957153320312,0.13111860983151313,0.19401967525482178,0.01617623306810856
8,train,noise,0.4069697856903076,79.9375,80.6875,2.1328125,2.1328125,1.2421875,1.2421875,89,11,4.516593759131808,5.20703125,5.6171875,0.92919921875,0.07281494140625,,,0.12823166113748993,0.20991480350494385,0.013117047026753426,10.086825667978495,2.563472392503777,0.08087158203125,7.609375,0.03155517578125,0.010406494140625,2.9309428088276515,0.284912109375,7.5703125,0.09716796875,0.035003662109375,2.3208749086533187,0.66796875,6.19140625,0.287841796875,0.0887451171875,2.320484016375942,0.1954345703125,7.13671875,0.084228515625,0.0259552001953125,1.2708642824277918,0.006053924560546875,6.46875,0.004764556884765625,0.0009341239929199219,76,10,0.95458984375,4.196354807936422,4.96484375,5.4296875,0.0859375,,,2.563472392503777,0.083251953125,7.359375,0.032470703125,0.0110626220703125,2.9309428088276515,0.29638671875,7.30078125,0.10107421875,0.03753662109375,2.3208749086533187,0.67578125,5.93359375,0.291259765625,0.0927734375,2.320484016375942,0.20458984375,6.875,0.088134765625,0.0280914306640625,1.2708642824277918,0.0063018798828125,6.22265625,0.0049591064453125,0.001010894775390625,0.1335146059708748,0.20940232276916504,0.015383992344141006
9,train,noise,0.39162111282348633,81.125,81.6875,2.14453125,2.14453125,1.2373046875,1.2373046875,90,11,4.480865403494023,5.18359375,5.60546875,0.927734375,0.07501220703125,,,0.11524657892219368,0.2269078642129898,0.01582980342209339,10.086825667978491,2.563472392503777,0.0828857421875,7.58203125,0.032318115234375,0.0106964111328125,2.9309428088276515,0.29052734375,7.53515625,0.09912109375,0.035797119140625,2.3208749086533187,0.689453125,6.125,0.297119140625,0.09185791015625,2.320484016375942,0.2021484375,7.1015625,0.08709716796875,0.0269317626953125,1.2708642824277918,0.00553131103515625,6.4453125,0.004352569580078125,0.0008568763732910156,75,10,0.953125,4.15796852046104,4.9375,5.41796875,0.0885009765625,,,2.563472392503777,0.08551025390625,7.33203125,0.033355712890625,0.0113983154296875,2.9309428088276515,0.302978515625,7.26171875,0.10333251953125,0.038482666015625,2.3208749086533187,0.697265625,5.86328125,0.300537109375,0.0960693359375,2.320484016375942,0.2113037109375,6.8359375,0.091064453125,0.0290985107421875,1.2708642824277918,0.005779266357421875,6.19921875,0.004547119140625,0.0009307861328125,0.1223722477516467,0.2302239090204239,0.017325162887573242
10,train,noise,0.370569109916687,82.375,83.3125,2.1875,2.1875,1.267578125,1.267578125,94,11,4.557502870026809,5.25390625,5.68359375,0.94921875,0.07574462890625,,,0.11682142152299012,0.2173057645559311,0.018182920292019844,10.086825667978498,2.563472392503777,0.08612060546875,7.64453125,0.033599853515625,0.011016845703125,2.9309428088276523,0.305908203125,7.57421875,0.1043701171875,0.037384033203125,2.3208749086533187,0.6943359375,6.18359375,0.29931640625,0.0916748046875,2.320484016375942,0.200439453125,7.171875,0.08636474609375,0.0264739990234375,1.2708642824277918,0.00605010986328125,6.51171875,0.0047607421875,0.0009274482727050781,75,10,0.97900390625,4.21811543914342,5.0,5.4921875,0.08978271484375,,,2.563472392503777,0.089111328125,7.38671875,0.034759521484375,0.01177978515625,2.9309428088276523,0.319580078125,7.29296875,0.1090087890625,0.040283203125,2.3208749086533187,0.7041015625,5.9140625,0.303466796875,0.09619140625,2.320484016375942,0.208984375,6.90234375,0.090087890625,0.028564453125,1.2708642824277918,0.00632476806640625,6.2578125,0.004978179931640625,0.0010089874267578125,0.12181070792342041,0.21886737644672394,0.020801030099391937
