epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,posdis,bosdis,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_shape_nn,mutual_info_msg_shape_nn,variation_of_info_msg_shape_nn,proficiency_msg_shape_nn,redundancy_msg_shape_nn,entropy_color_nn,mutual_info_msg_color_nn,variation_of_info_msg_color_nn,proficiency_msg_color_nn,redundancy_msg_color_nn,entropy_xpos_nn,mutual_info_msg_xpos_nn,variation_of_info_msg_xpos_nn,proficiency_msg_xpos_nn,redundancy_msg_xpos_nn,entropy_ypos_nn,mutual_info_msg_ypos_nn,variation_of_info_msg_ypos_nn,proficiency_msg_ypos_nn,redundancy_msg_ypos_nn,entropy_rotation_nn,mutual_info_msg_rotation_nn,variation_of_info_msg_rotation_nn,proficiency_msg_rotation_nn,redundancy_msg_rotation_nn,topsim_nn,posdis_nn,bosdis_nn
1,train,noise,1.2115944623947144,41.46875,43.15625,1.65625,1.6513671875,0.8984375,1.1015625,438,10,3.642499339190995,3.6171875,3.7265625,0.509765625,0.0295867919921875,,,0.08198275250652974,0.15724773705005646,0.03750063106417656,10.086825667978504,2.563472392503777,0.0040130615234375,6.171875,0.0015659332275390625,0.0006494522094726562,2.9309428088276515,0.046844482421875,6.453125,0.0159759521484375,0.007152557373046875,2.3208749086533187,0.2169189453125,5.50390625,0.093505859375,0.036529541015625,2.320484016375942,0.0379638671875,5.86328125,0.016357421875,0.0063934326171875,1.2708642824277918,0.0008592605590820312,4.88671875,0.0006761550903320312,0.00017583370208740234,587,10,0.576171875,3.9334331122511728,4.6953125,4.8984375,0.04150390625,,,2.563472392503777,0.00751495361328125,7.2421875,0.0029315948486328125,0.0010356903076171875,2.9309428088276515,0.06854248046875,7.48828125,0.02337646484375,0.0089874267578125,2.3208749086533187,0.322265625,6.37109375,0.138916015625,0.04595947265625,2.320484016375942,0.0728759765625,6.87109375,0.031402587890625,0.0103912353515625,1.2708642824277918,0.0016193389892578125,5.9609375,0.00127410888671875,0.0002713203430175781,0.10964311884103606,0.21014782786369324,0.0413975864648819
2,train,noise,0.7958685755729675,61.9375,63.65625,1.802734375,1.7958984375,1.3466796875,1.6650390625,414,10,4.230053357076588,4.54296875,5.1875,0.9853515625,0.1240234375,,,0.10364029919233624,0.208990216255188,0.03762565553188324,10.086825667978522,2.563472392503777,0.007114410400390625,7.09375,0.0027751922607421875,0.0010013580322265625,2.930942808827651,0.0677490234375,7.33984375,0.0231170654296875,0.009063720703125,2.3208749086533187,0.406494140625,6.05078125,0.1751708984375,0.0592041015625,2.320484016375942,0.0628662109375,6.73828125,0.027099609375,0.00916290283203125,1.2708642824277918,0.002674102783203125,5.80859375,0.0021038055419921875,0.0004601478576660156,537,10,1.166015625,4.308286668842357,5.62109375,6.765625,0.1689453125,,,2.563472392503777,0.012115478515625,8.1640625,0.004726409912109375,0.0014801025390625,2.930942808827651,0.11431884765625,8.328125,0.03900146484375,0.01335906982421875,2.3208749086533187,0.66357421875,6.6171875,0.285888671875,0.08355712890625,2.320484016375942,0.09283447265625,7.7578125,0.040008544921875,0.011688232421875,1.2708642824277918,0.004119873046875,6.88671875,0.0032405853271484375,0.0005974769592285156,0.14343015220776784,0.3071805238723755,0.04412488639354706
3,train,noise,0.6480792164802551,69.5,70.5625,1.970703125,1.9677734375,1.5986328125,1.9921875,463,10,4.899432762981653,5.13671875,5.90625,1.2021484375,0.1300048828125,,,0.09539314589057522,0.1497577279806137,0.05402886122465134,10.086825667978504,2.563472392503777,0.01396942138671875,7.671875,0.005451202392578125,0.0018138885498046875,2.9309428088276523,0.1170654296875,7.8359375,0.039947509765625,0.0145111083984375,2.3208749086533187,0.43994140625,6.578125,0.1895751953125,0.058990478515625,2.320484016375942,0.05218505859375,7.35546875,0.022491455078125,0.006999969482421875,1.2708642824277918,0.00396728515625,6.40234375,0.00312042236328125,0.0006189346313476562,539,10,1.43359375,4.82746559904018,6.26171875,7.5859375,0.1746826171875,,,2.563472392503777,0.02349853515625,8.78125,0.0091705322265625,0.00266265869140625,2.9309428088276523,0.176513671875,8.8359375,0.060211181640625,0.019195556640625,2.3208749086533187,0.76611328125,7.05078125,0.330078125,0.0892333984375,2.320484016375942,0.074951171875,8.4296875,0.032318115234375,0.00873565673828125,1.2708642824277918,0.005649566650390625,7.51953125,0.00444793701171875,0.0007500648498535156,0.14966835894503952,0.2725598216056824,0.06084531545639038
4,train,noise,0.6029564738273621,71.375,73.0625,2.0625,2.0625,1.703125,2.1171875,460,10,5.024004864867788,5.30078125,6.16796875,1.3037109375,0.1407470703125,,,0.11253312137869978,0.14758846163749695,0.04978904128074646,10.086825667978493,2.563472392503777,0.0202178955078125,7.82421875,0.0078887939453125,0.00257110595703125,2.9309428088276523,0.1446533203125,7.94140625,0.049346923828125,0.0175628662109375,2.3208749086533187,0.448486328125,6.7265625,0.1932373046875,0.058837890625,2.320484016375942,0.061614990234375,7.5,0.02655029296875,0.00807952880859375,1.2708642824277918,0.00391387939453125,6.56640625,0.0030803680419921875,0.0005955696105957031,518,10,1.568359375,4.814565047879201,6.390625,7.87109375,0.187744140625,,,2.563472392503777,0.032928466796875,8.890625,0.01284027099609375,0.0036754608154296875,2.9309428088276523,0.2161865234375,8.890625,0.07379150390625,0.023193359375,2.3208749086533187,0.78466796875,7.14453125,0.338134765625,0.09002685546875,2.320484016375942,0.090576171875,8.53125,0.039031982421875,0.01039886474609375,1.2708642824277918,0.00582122802734375,7.65234375,0.004581451416015625,0.0007596015930175781,0.15473595967547674,0.2609453797340393,0.06156831979751587
5,train,noise,0.5345168709754944,76.0,77.4375,2.13671875,2.138671875,1.75390625,2.169921875,445,10,5.08055055295614,5.37890625,6.3125,1.3662109375,0.1480712890625,,,0.118641623556497,0.1422947347164154,0.05678901448845863,10.086825667978502,2.563472392503777,0.0229644775390625,7.89453125,0.0089569091796875,0.00289154052734375,2.9309428088276523,0.155029296875,8.0,0.05291748046875,0.0186614990234375,2.3208749086533187,0.43798828125,6.82421875,0.188720703125,0.056915283203125,2.320484016375942,0.07366943359375,7.55078125,0.03173828125,0.0095672607421875,1.2708642824277918,0.00385284423828125,6.640625,0.0030307769775390625,0.0005793571472167969,497,10,1.634765625,4.844180266396798,6.453125,8.0625,0.1990966796875,,,2.563472392503777,0.038482666015625,8.9375,0.0150146484375,0.004268646240234375,2.9309428088276523,0.2403564453125,8.90625,0.08203125,0.0256195068359375,2.3208749086533187,0.77490234375,7.2265625,0.333984375,0.08831787109375,2.320484016375942,0.11956787109375,8.5390625,0.051513671875,0.0136260986328125,1.2708642824277918,0.006031036376953125,7.71484375,0.0047454833984375,0.0007810592651367188,0.15702903592964437,0.2621995806694031,0.06508731096982956
6,train,noise,0.5001035928726196,76.875,78.0625,2.22265625,2.22265625,1.796875,2.236328125,416,10,5.110877588112756,5.51953125,6.46875,1.431640625,0.146728515625,,,0.09626582781763546,0.1376877874135971,0.04924130439758301,10.086825667978497,2.563472392503777,0.0220489501953125,8.0390625,0.00860595703125,0.002727508544921875,2.9309428088276515,0.1492919921875,8.15625,0.05096435546875,0.017669677734375,2.3208749086533187,0.43359375,6.97265625,0.1868896484375,0.0552978515625,2.320484016375942,0.08673095703125,7.66796875,0.037353515625,0.01105499267578125,1.2708642824277918,0.00382232666015625,6.78515625,0.0030078887939453125,0.0005626678466796875,450,10,1.7255859375,4.889060683346583,6.61328125,8.2578125,0.1993408203125,,,2.563472392503777,0.03814697265625,9.1015625,0.0148773193359375,0.004154205322265625,2.9309428088276515,0.2457275390625,9.0546875,0.0838623046875,0.0257568359375,2.3208749086533187,0.77587890625,7.3828125,0.334228515625,0.08685302734375,2.320484016375942,0.1524658203125,8.625,0.065673828125,0.017059326171875,1.2708642824277918,0.006473541259765625,7.87109375,0.005092620849609375,0.0008211135864257812,0.12490288754256376,0.24061182141304016,0.060951776802539825
7,train,noise,0.47145071625709534,78.0625,79.3125,2.2890625,2.291015625,1.845703125,2.287109375,372,10,5.100936714735954,5.5625,6.55859375,1.50390625,0.152099609375,,,0.10450038894718545,0.20168937742710114,0.06673488765954971,10.08682566797849,2.563472392503777,0.021240234375,8.0859375,0.0082855224609375,0.0026149749755859375,2.930942808827651,0.144775390625,8.203125,0.049407958984375,0.017059326171875,2.3208749086533187,0.440673828125,7.0,0.18994140625,0.055908203125,2.320484016375942,0.0909423828125,7.69921875,0.0391845703125,0.01153564453125,1.2708642824277918,0.0035190582275390625,6.82421875,0.00276947021484375,0.000514984130859375,407,10,1.802734375,4.779602691315062,6.62109375,8.3359375,0.205810546875,,,2.563472392503777,0.035491943359375,9.109375,0.0138397216796875,0.0038623809814453125,2.930942808827651,0.2371826171875,9.078125,0.0809326171875,0.02484130859375,2.3208749086533187,0.77587890625,7.390625,0.334228515625,0.08673095703125,2.320484016375942,0.162109375,8.6171875,0.06982421875,0.01812744140625,1.2708642824277918,0.005695343017578125,7.87890625,0.00447845458984375,0.0007214546203613281,0.13486338074131995,0.311126708984375,0.07463487982749939
8,train,noise,0.45218831300735474,79.25,80.375,2.33984375,2.34375,1.8486328125,2.283203125,374,10,5.1356667856285405,5.6015625,6.5625,1.5,0.14697265625,,,0.11266447543506446,0.23279228806495667,0.06747081875801086,10.08682566797848,2.563472392503777,0.0212860107421875,8.1171875,0.00830078125,0.0026073455810546875,2.9309428088276523,0.142822265625,8.2421875,0.0487060546875,0.0167388916015625,2.3208749086533187,0.449951171875,7.01953125,0.19384765625,0.056793212890625,2.320484016375942,0.09197998046875,7.734375,0.039642333984375,0.0116119384765625,1.2708642824277918,0.003414154052734375,6.86328125,0.002685546875,0.0004968643188476562,413,10,1.791015625,4.850688767618602,6.68359375,8.3515625,0.19970703125,,,2.563472392503777,0.035614013671875,9.171875,0.01389312744140625,0.0038509368896484375,2.9309428088276523,0.2379150390625,9.140625,0.0811767578125,0.024749755859375,2.3208749086533187,0.79248046875,7.41796875,0.34130859375,0.0880126953125,2.320484016375942,0.169189453125,8.6640625,0.07293701171875,0.018798828125,1.2708642824277918,0.005359649658203125,7.94140625,0.004215240478515625,0.0006737709045410156,0.14856035554341615,0.33651214838027954,0.0763886421918869
9,train,noise,0.4286281168460846,80.375,81.6875,2.3828125,2.38671875,1.87109375,2.3203125,355,10,5.032252340480112,5.6171875,6.6484375,1.564453125,0.1552734375,,,0.09502634723279628,0.1352594941854477,0.051318131387233734,10.086825667978504,2.563472392503777,0.021514892578125,8.1328125,0.008392333984375,0.0026302337646484375,2.9309428088276515,0.1373291015625,8.2734375,0.046875,0.0160675048828125,2.3208749086533187,0.449462890625,7.0390625,0.193603515625,0.056640625,2.320484016375942,0.09918212890625,7.73828125,0.042724609375,0.0124969482421875,1.2708642824277918,0.00323486328125,6.87890625,0.002544403076171875,0.0004696846008300781,381,10,1.8837890625,4.65184584505991,6.66015625,8.4375,0.2105712890625,,,2.563472392503777,0.0362548828125,9.1484375,0.0141448974609375,0.003932952880859375,2.9309428088276515,0.22802734375,9.1328125,0.07781982421875,0.023773193359375,2.3208749086533187,0.78271484375,7.4140625,0.33740234375,0.087158203125,2.320484016375942,0.1798095703125,8.6171875,0.07745361328125,0.02001953125,1.2708642824277918,0.0050506591796875,7.921875,0.00397491455078125,0.000637054443359375,0.13452410599822806,0.2363482415676117,0.058470044285058975
10,train,noise,0.4017541706562042,81.8125,82.8125,2.408203125,2.41015625,1.8720703125,2.3203125,370,10,5.1869151487401775,5.640625,6.640625,1.544921875,0.150634765625,,,0.10361691041876285,0.18387846648693085,0.05814972147345543,10.086825667978507,2.563472392503777,0.0236663818359375,8.15625,0.0092315673828125,0.0028839111328125,2.9309428088276515,0.1466064453125,8.28125,0.050018310546875,0.0171051025390625,2.3208749086533187,0.457275390625,7.046875,0.197021484375,0.05743408203125,2.320484016375942,0.107177734375,7.74609375,0.046173095703125,0.013458251953125,1.2708642824277918,0.0033416748046875,6.90625,0.0026302337646484375,0.00048351287841796875,382,10,1.8583984375,4.846910740440206,6.6953125,8.4375,0.2061767578125,,,2.563472392503777,0.04052734375,9.1796875,0.01580810546875,0.004375457763671875,2.9309428088276515,0.24560546875,9.1328125,0.08380126953125,0.0255126953125,2.3208749086533187,0.79541015625,7.42578125,0.3427734375,0.08819580078125,2.320484016375942,0.1929931640625,8.6328125,0.0831298828125,0.021392822265625,1.2708642824277918,0.00531768798828125,7.95703125,0.004184722900390625,0.0006670951843261719,0.13093821395608515,0.2803792357444763,0.06947413831949234
