phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.8363879919052124,61.02830123901367,7.6582350730896,55408,,,,
train,0.467261403799057,79.93025207519531,8.724760055541992,59658,,,,
train,0.42755886912345886,81.35919189453125,8.879195213317871,60402,,,,
train,0.39852046966552734,82.56565856933594,9.214627265930176,62640,,,,
train,0.3932337462902069,83.02205657958984,9.32813549041748,62521,,,,
val,0.542518675327301,73.68951416015625,7.862903118133545,587,96.91698828746951,0.15985488310154325,0.12469510734081268,0.07045267522335052
val,0.4158538579940796,83.7701644897461,8.296370506286621,647,97.82009488219485,0.15578295667992217,0.14003527164459229,0.07051600515842438
val,0.4093810021877289,83.36693572998047,9.398185729980469,781,95.10457970015743,0.09456926812913515,0.10418643802404404,0.04819450527429581
val,0.39221101999282837,81.95564270019531,8.904233932495117,725,93.05727434648476,0.1193456022027867,0.1330602914094925,0.06772465258836746
val,0.3572385013103485,85.98789978027344,9.808467864990234,817,89.26313843466154,0.10171475764028146,0.11039291322231293,0.0737696960568428
val (no noise),0.5318646430969238,75.30242156982422,7.862903118133545,89,96.91698828746951,0.16282500732565594,0.15167585015296936,0.08004333078861237
val (no noise),0.4054814279079437,85.68548583984375,8.296370506286621,107,97.82009488219485,0.166266926351938,0.17015667259693146,0.07206539809703827
val (no noise),0.39645102620124817,83.7701644897461,9.398185729980469,91,95.10457970015743,0.13030690057571492,0.13378405570983887,0.05552537366747856
val (no noise),0.38909250497817993,81.75403594970703,8.904233932495117,92,93.05727434648476,0.14669542275680514,0.1652921438217163,0.07880892604589462
val (no noise),0.35204654932022095,86.49193572998047,9.808467864990234,96,89.26313843466154,0.12783694728295755,0.146020770072937,0.08559497445821762
