epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,mutual_info_msg_target_shape_nn,proficiency_msg_target_shape_nn,mutual_info_msg_target_color_nn,proficiency_msg_target_color_nn,mutual_info_msg_target_x_nn,proficiency_msg_target_x_nn,mutual_info_msg_target_y_nn,proficiency_msg_target_y_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,mutual_info_msg_selected_shape_nn,proficiency_msg_selected_shape_nn,mutual_info_msg_selected_color_nn,proficiency_msg_selected_color_nn,mutual_info_msg_selected_x_nn,proficiency_msg_selected_x_nn,mutual_info_msg_selected_y_nn,proficiency_msg_selected_y_nn,messages
1,train,1.122211217880249,31.5,31.421875,1.5,2.935546875,3.033203125,1424,10,4.9765625,7.7109375,4.966175383073973,4.966204174920625,4.966259914915863,4.98357429223178,4.516165951595612,4.518324864325689,4.521979992688493,4.667607368459261,0.354736328125,,,4.578125,0.5405251557045808,0.5407616449806575,7.162105003080282,1.338543001286011,0.1868924011460778,0.3535710054593544,0.06108420133169755,0.4143873851358215,0.06689669732785726,0.19439362758756396,0.04216934402761909,0.7987113469499336,0.17324371276192066,6.931358308406553,1.1178411802472947,0.16127303343870486,0.3283519699339008,0.054840321387949274,0.3780814261584666,0.05996324057651127,0.1880717152561484,0.039724225406752654,0.5219215621400757,0.1103500900645519,1444,10,4.828125,7.74609375,4.813562241990909,4.813591069846338,4.81364026429645,4.831011995441159,4.395116706760048,4.397287711886593,4.400644857372961,4.547762202462206,0.376953125,,,0.5770919012695624,0.5770919012695624,1.3644111943793078,0.1905042154216534,0.36182567159884016,0.06433114048489401,0.42424759939252965,0.07034908376956463,0.1983146561546434,0.044605169490169,0.8075953458501557,0.18162484564917714,6.931358308406553,1.1385182771941649,0.164256156807438,0.3355145645808486,0.057744214418570534,0.3858050469949603,0.06295610531249682,0.18983648197436054,0.041654803476677486,0.525646030187886,0.11545991435216993,received
2,train,0.8631159663200378,39.96875,40.25,1.4951171875,2.88671875,2.986328125,238,10,2.138671875,7.37109375,2.124467897823223,2.1245273670893168,2.1245608638774773,2.153989005228015,2.007508432122952,2.0102032471748292,2.0116552965561447,2.1986001190749875,0.7099609375,,,1.5166015625,0.4979672817983215,0.5392754349159541,7.162105003080282,1.1525266663003721,0.160920101814298,0.05770033875455205,0.018358714482491323,0.09018080708979781,0.025409335870836526,0.03688484768013822,0.018775525116799648,0.9917861142648183,0.5047210165553464,6.979364846043744,1.138517373685716,0.163126215465163,0.05692213177923655,0.01844179709253794,0.07919153775703869,0.023157587202193453,0.031924492418148986,0.016660894749198008,0.8834655250974528,0.4716226918048647,233,10,1.794921875,7.30859375,1.7769909392477077,1.777052583680111,1.7770670074412889,1.807371413027688,1.6729384831684224,1.6756734016483028,1.6762895274310956,1.8676846275822552,0.75439453125,,,0.5397481491601522,0.5646368491464249,1.1504618489786431,0.16063180426478693,0.054176622741861635,0.01932851960773184,0.08743776225960609,0.027246665203978376,0.034993403668915235,0.021540838309038104,0.992159669256508,0.6105539972194769,6.979364846043744,1.134743248701346,0.16258546067334131,0.05418797880417081,0.019720562848466065,0.07701105566210575,0.024996382891238858,0.030867250516124045,0.01956916607143638,0.8836296005243209,0.5758591342272512,received
3,train,0.7298305034637451,51.0625,51.65625,1.490234375,2.8984375,3.0,187,10,3.0859375,7.41796875,3.078304968516925,3.078370473257803,3.0784515418640277,3.1081595657506367,3.0213322173840194,3.023906499207699,3.027025814234081,3.201311246226553,0.583984375,,,2.4609375,0.5131353938132157,0.560648996979054,7.162105003080282,1.467258723774156,0.2048641737510294,0.07246284248926216,0.01914798408409508,0.31954444108209756,0.07625376651710035,0.14202158360146377,0.054499254058890355,0.9883788895791534,0.37920686274379906,7.01049907725937,1.4238775050895467,0.20310643927025326,0.07486297181884005,0.019769249914598823,0.29675822302836075,0.07233823280178042,0.12089039724837392,0.04656548246325713,0.8964976279978973,0.35078938713495417,166,10,2.763671875,7.35546875,2.753649098868961,2.7537166780848295,2.753785441921783,2.7843566075122066,2.6908381353873674,2.6934573687206806,2.696045511014123,2.874720957769474,0.62451171875,,,0.5564313953194668,0.5883524059494902,1.4733975892326758,0.20572130520272966,0.06874483017893773,0.01991123786294699,0.32264952205358277,0.08361513822390396,0.14233704490888321,0.06258934343977558,0.9886474764678814,0.4346385619060625,7.01049907725937,1.4260003990630952,0.20340925565324583,0.07051322234482349,0.020371651435519507,0.29690808583839967,0.0786121732562991,0.12102090565892532,0.05329817542881529,0.8969782523151508,0.40220371349693795,received
4,train,0.6034721732139587,59.09375,59.71875,1.484375,2.92578125,3.025390625,31,10,2.716796875,7.58984375,2.716543041666829,2.716622593062124,2.716744159356532,2.7502221611136886,2.709216014433068,2.711882758182635,2.715928565306766,2.895509508033228,0.64208984375,,,2.037109375,0.5136737394170984,0.5547177686492164,7.162105003080282,1.7774058519330995,0.24816808063672227,0.020681320410519177,0.006648550919292992,0.3940151817400448,0.11203697168103774,0.3804115651791413,0.1968771199955658,0.9921617625634793,0.5133474852492739,7.045214929932473,1.7335145904958607,0.2460556005368705,0.02325649133154606,0.007513611843853313,0.3768125951582668,0.10877383698971606,0.3677462849570041,0.19153565679379933,0.9263069753239233,0.48455247747456276,22,10,2.34375,7.5390625,2.3419708293393566,2.342051706549117,2.3421570333543777,2.3763629416201004,2.319230305577311,2.321943335316707,2.3253932691301293,2.5097748837567564,0.68896484375,,,0.5557848672971284,0.5756124984467601,1.8025821885276523,0.25168329530946515,0.020840088270384527,0.007692754524959849,0.4080464134108288,0.1309841491494467,0.3877839325345356,0.25334894756291026,0.9926149328284621,0.6482879989109777,7.045214929932473,1.7531284115103656,0.24883959239653303,0.0223166479626693,0.008249679068436634,0.38794596950733773,0.12619865182936207,0.3740238272967735,0.2444769212804558,0.927147303557617,0.6093316189598744,received
5,train,0.4744015336036682,68.375,69.75,1.4794921875,3.181640625,3.298828125,105,10,3.986328125,8.9453125,3.9846299504089444,3.9847053819512457,3.9850755999598473,4.0159966418859065,4.0037375628960055,4.006242365470639,4.0183900827419174,4.175434021922346,0.5546875,,,3.21484375,0.5501156957563311,0.5634663910733573,7.162105003080282,2.1592453827613434,0.30148195004578876,0.02399573136936617,0.006004447597013032,0.656360636146669,0.1490879199719881,0.517907506979352,0.18379176378625528,0.9928919261839306,0.3522886229346199,7.119200471529601,2.0579359523341085,0.28906840881416407,0.038317963502318975,0.009425244118216354,0.6099511912815485,0.1362743416535776,0.4701464547357652,0.1619572800595737,0.9566048102920259,0.33067185284636513,99,10,3.650390625,8.984375,3.6505793572068996,3.650655962199485,3.6509724730816075,3.6825810704371262,3.6592804404599972,3.661828593717623,3.6721439845363806,3.8348571986469,0.59375,,,0.5936402713650706,0.5776748912612164,2.221261218046265,0.31014083388765507,0.02425706338053324,0.0067338060046122855,0.6858121140376916,0.17109107522312306,0.5355582382755824,0.2209527319195298,0.9948327338902301,0.410348630527414,7.119200471529601,2.1105774572919263,0.2964627089421541,0.03940089242377809,0.010711036920554414,0.6371973556739521,0.15583294167596995,0.4865282829347315,0.19337563971768595,0.9593722572132357,0.3828326085793552,received
6,train,0.36895641684532166,73.375,74.9375,1.474609375,3.283203125,3.400390625,41,10,3.5390625,9.3359375,3.5361595407304227,3.536236920690906,3.5366367943340196,3.5684735509875014,3.561957627054181,3.564523868293105,3.577583075448446,3.7390046334045985,0.62109375,,,2.59765625,0.5562159509353041,0.5702767707539314,7.162105003080282,2.46478484788808,0.34414251771344095,0.009259100792457176,0.0028495726901496517,0.7560414094183123,0.20682437238495796,0.7102216159034338,0.3429577474893243,0.9940575206441755,0.47990270870998786,7.124376752350077,2.3658072987077206,0.33207217711041537,0.01863804525320223,0.005607780997145175,0.7003553791290695,0.18773801055610098,0.6680583173618402,0.3095868763110628,0.9646503643490743,0.44937715068393463,30,10,3.12890625,9.3828125,3.126372597785462,3.126451477543341,3.1267826342110547,3.159480489018831,3.1218081354911154,3.124429203196409,3.1351962074291038,3.3037982414002607,0.66650390625,,,0.5985321858834308,0.5849504314429417,2.6171890852202035,0.3654217697303518,0.007906122811998095,0.0029514481185402724,0.8140699669214717,0.2638879558671891,0.7738815846956122,0.5158164227243395,0.9948744851110272,0.6628938001482626,7.124376752350077,2.5051736660480457,0.3516340801631074,0.01741272447766562,0.006303395190955994,0.7618707773136615,0.24038899500359154,0.7261448927996845,0.4547688428717211,0.9655238140560138,0.6089826590265445,received
7,train,0.3498700261116028,74.0,75.5625,1.4697265625,3.28515625,3.400390625,39,9,3.404296875,9.3359375,3.4073421619565822,3.4074197334357783,3.4078010330728588,3.439843845227043,3.398221228165783,3.4008077576249867,3.413210613692864,3.5771041388832776,0.63525390625,,,2.443359375,0.555776488761208,0.5720813135250584,7.162105003080282,2.4672515294473794,0.3444869250571253,0.009317048539870143,0.00299733335047115,0.7582133395197772,0.2157308227500397,0.7116918224362241,0.36874775368455304,0.99404434517258,0.5149089677256473,7.135215194726632,2.3799390651002406,0.33354832337210566,0.019966510359020972,0.0062805673743928925,0.7134156491161541,0.19899052188679434,0.6678589421655658,0.3323784019631616,0.9759172719737936,0.4865153797203341,29,9,2.98046875,9.390625,2.976916665055278,2.976996067665021,2.977313072926245,3.010318560101023,2.9790447980483346,2.981682188845125,2.9919705639958476,3.162567497762335,0.6826171875,,,0.5975312500250965,0.5867108538984395,2.620533308669739,0.36588870276862717,0.0072497010098180326,0.0028559755836112116,0.8170974212173538,0.2774888651665777,0.773781205438171,0.5689525756006992,0.9947411496002143,0.7311526060892689,7.135215194726632,2.521924576667313,0.3534475846686687,0.01765228990651746,0.006763002442981985,0.7764750819564892,0.25743429742334295,0.727088609457943,0.5047943556596232,0.9766089237975537,0.6796326616663039,received
8,train,0.34344419836997986,74.6875,75.9375,1.46484375,3.283203125,3.40234375,45,10,3.44140625,9.3359375,3.4407052510871665,3.4407827351275286,3.4411679094887493,3.473151834626631,3.4245239898665196,3.4271064910492868,3.4395562547181595,3.603070080020169,0.63134765625,,,2.486328125,0.552343358925954,0.5685645473158687,7.162105003080282,2.4561173997075536,0.34293233604523043,0.011888552133404673,0.0037639494473421073,0.7556728221880604,0.21198704701741386,0.7069676715762423,0.35703474599180784,0.9945652300178986,0.5021510092430128,7.117095223967468,2.375559542408727,0.33378217765146845,0.01788754181328578,0.005598469390083979,0.7106860114286633,0.1969736267949559,0.6606563237483876,0.3254238595324711,0.9622829551194396,0.4751918618078679,30,10,3.029296875,9.3828125,3.024815010389104,3.0248943409788267,3.0252189286662445,3.058152699150047,3.011012693758127,3.013650304444782,3.024170400982213,3.1943909527517933,0.67724609375,,,0.5979518672411995,0.5815389242766072,2.6041006620829457,0.3635943149343625,0.00919163811044843,0.0035360259439434624,0.8106921943412333,0.2697266086985785,0.769999785781148,0.5418703603693962,0.9948745194499562,0.6998742601542296,7.117095223967468,2.514225899338962,0.35326573836922637,0.015874282789939187,0.005989304763497776,0.7676881021217303,0.2506010549668676,0.7208901399421226,0.48528380532541304,0.9624953908424123,0.6501581071032038,received
9,train,0.34559565782546997,75.0,76.4375,1.4599609375,3.28125,3.40234375,37,10,3.46875,9.3359375,3.465979050444572,3.466056506902417,3.466442232453922,3.4983904913114636,3.4567903436833185,3.4593703691481608,3.471859494573648,3.63504613289433,0.62841796875,,,2.517578125,0.5635187635365178,0.5714223424517679,7.162105003080282,2.4635465804876593,0.3439696261683033,0.00860652267369666,0.0027073005751179135,0.7535340523974483,0.2101798948101622,0.7112982511965846,0.35554551823455605,0.9945249959476863,0.4969931857730959,7.1283801814321555,2.3718000923428284,0.33272637429199414,0.0179192980383025,0.005523506096388515,0.705908056345157,0.19337015265409624,0.6677728187591185,0.32188459043658596,0.9719117920699922,0.46931174337856146,27,10,3.052734375,9.3828125,3.053430806391442,3.0535100119140957,3.0538351535535586,3.0867051049804637,3.0456390832805296,3.048271236389169,3.058806831552861,3.228563122056984,0.6748046875,,,0.6046426660842348,0.5859537567483437,2.6093408898041575,0.3643259752100717,0.005544607291107617,0.00212054737582706,0.8090013956885027,0.2678026330710105,0.7741216649174172,0.538975610120804,0.994874524970009,0.6924313953801339,7.1283801814321555,2.5073195328358895,0.35173762748610116,0.014928881067952204,0.00554075444538991,0.7637363842783884,0.24630768168783118,0.7262273418218754,0.47628957593804766,0.9722793224342592,0.6391873252094986,received
10,train,0.3337642550468445,75.875,77.125,1.455078125,3.283203125,3.40234375,62,10,3.7578125,9.3359375,3.7559282987383407,3.756003929610793,3.7564082960616108,3.7875781634880634,3.7269630621594736,3.7295038654377546,3.742607946123724,3.9018870611425203,0.59765625,,,2.82421875,0.5399826889706703,0.5664501707537376,7.162105003080282,2.4783939370858423,0.34604266986031806,0.012927174212030934,0.0037471062346198813,0.7714668586223166,0.2000645574385513,0.7079593276745406,0.31167229734503027,0.9945732569233927,0.43775478474920215,7.128525164790674,2.397033101679995,0.33625933082476295,0.022079569850369296,0.00629302946852137,0.7339555261251363,0.18762505750850905,0.666999897290733,0.2858185731130595,0.9685367531832147,0.41543413210179264,42,10,3.369140625,9.3828125,3.370399922166499,3.3704776108482983,3.3708328142149564,3.4029684471138952,3.3693868910952807,3.3719784061063613,3.3835894771643353,3.54866083275257,0.64111328125,,,0.5866714194113105,0.5825274686009664,2.6258471858646573,0.3666306462604683,0.008330360518837843,0.002857980619790507,0.8258762517869291,0.24868656199964792,0.7739100828276966,0.44571110571212735,0.9948744245032213,0.5728038598380389,7.128525164790674,2.5353449463269273,0.35566191992272733,0.018247149536096074,0.00611361618483023,0.7900241287751406,0.23318864797335143,0.7282952737194366,0.40242956325558643,0.96895354499323,0.5360790013668126,received
