epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,mutual_info_msg_target_shape_nn,proficiency_msg_target_shape_nn,mutual_info_msg_target_color_nn,proficiency_msg_target_color_nn,mutual_info_msg_target_x_nn,proficiency_msg_target_x_nn,mutual_info_msg_target_y_nn,proficiency_msg_target_y_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,mutual_info_msg_selected_shape_nn,proficiency_msg_selected_shape_nn,mutual_info_msg_selected_color_nn,proficiency_msg_selected_color_nn,mutual_info_msg_selected_x_nn,proficiency_msg_selected_x_nn,mutual_info_msg_selected_y_nn,proficiency_msg_selected_y_nn,messages
1,train,1.0581550598144531,32.6875,32.8125,1.5,3.607421875,3.607421875,1929,11,6.70703125,9.7890625,6.496579745356581,6.496640761813287,6.496793222805793,6.524608583512466,5.600579972186984,5.603337377031176,5.610040400824039,5.796103113011245,0.315185546875,,,5.96484375,0.5473354948201185,0.5475450581858118,7.162105003080282,2.0514082685990456,0.28642532715127395,0.4927447321751348,0.07445102183453187,0.5780250490804963,0.08228635491562138,0.9228182806546954,0.1696372141872886,0.23497730384394178,0.04319076209842825,6.970029004006166,1.7320233148543442,0.24849585473156977,0.4984814015475303,0.07210552137815916,0.5676754645137914,0.0783404065159434,0.569077657163815,0.10049232372544224,0.24196796221094363,0.04230776583534822,1795,10,5.625,9.5625,5.480730922393633,5.480796924182358,5.480905373656703,5.511082698381684,4.613132547249575,4.615999918518172,4.620568942982074,4.819012514325236,0.412109375,,,0.58194931322956,0.58194931322956,1.9836885478044506,0.2769700453918652,0.46501054303857714,0.08202100940651637,0.5454526572993004,0.0897777463568868,0.9244302684972112,0.2058413082615823,0.22076222533036916,0.04915126478371608,6.970029004006166,1.6610479285840372,0.2383129148572145,0.47041087183028996,0.07898417722318227,0.5370850073998197,0.08540332952422332,0.5686201626651997,0.12084322981543388,0.22899551661412243,0.04809039250395392,received
2,train,0.8526301980018616,40.21875,40.09375,1.4951171875,3.533203125,3.533203125,357,11,3.998046875,9.2578125,3.917933471253439,3.9180177119152604,3.918155798850747,3.9551937767858782,3.7070920321967025,3.710082623599634,3.7148797596920757,3.923821500483218,0.56787109375,,,2.822265625,0.5273267197959185,0.5470403987513526,7.162105003080282,1.269965313058481,0.1773173267513243,0.12037465391663638,0.024941725121300606,0.1474163788108509,0.02817366769360811,0.9931261459612291,0.2722524311696641,0.06289789908622456,0.017240261634221876,6.9084713856530335,1.2566268808360959,0.18189651670929102,0.11900435737235604,0.024982608664685463,0.13889098545062772,0.02749379443527167,0.9012934856138628,0.25268913130547205,0.05715512630970743,0.015995162060674733,254,10,2.4375,9.0390625,2.3801117329245227,2.38020087661584,2.3802447935172855,2.4201312226539087,2.190392777881037,2.1935514318407456,2.1950358604577014,2.4229774091490324,0.72998046875,,,0.5430940975525166,0.5601138566843921,1.2153049343758133,0.16968543938592553,0.08772034374497473,0.026309814605056603,0.11209300675291445,0.029968900061782794,0.9933146000079276,0.4607835367900555,0.04528859694186327,0.021003810369198888,6.9084713856530335,1.2023485677938655,0.17403974058440885,0.08699349666896872,0.026550983092066025,0.10426271852831803,0.029248640205981537,0.9010756979495227,0.43325334855129344,0.0402437821760806,0.019289938168645975,received
3,train,0.6333121657371521,57.375,57.9375,1.490234375,4.00390625,4.00390625,653,11,6.5625,11.4765625,6.500532204140628,6.500609169190522,6.501103942899037,6.533414420160917,6.194199620138068,6.196910423883527,6.213791195173822,6.3846630149891475,0.42822265625,,,5.1796875,0.36957227913817875,0.31760706208141043,7.162105003080282,1.9661397928408384,0.2745198223141437,0.25451299407408,0.037910199166301624,0.6783662839816795,0.09527941925605878,0.9932562859730165,0.17944512550703112,0.2327320814583791,0.04204237997462279,7.095182999107784,2.008080166009642,0.2830202076905074,0.25447781095917765,0.038226917525264026,0.7232208958874065,0.10281115636340113,0.962619420224053,0.17634589129190073,0.22722048580036613,0.04169644360194863,365,10,4.9375,11.21875,4.89292484604115,4.893007716575449,4.893334562713733,4.928945713801472,4.7011961341906146,4.704076203661427,4.71523830453773,4.907505608811991,0.56005859375,,,0.39148162758326716,0.34684419708495434,1.890484189169218,0.26395650278181587,0.2055131426468968,0.03972524959954761,0.6352066890657699,0.11384562562309579,0.9928881805904499,0.24853639778782788,0.21859916773139698,0.05471214056051522,7.095182999107784,1.9249125359467127,0.2712985043780787,0.20365730143087912,0.0396925813578854,0.6767943924168573,0.12286826295767715,0.9621679479202623,0.2446686744314696,0.21021462731445517,0.05358201690779041,received
4,train,0.4513925313949585,66.3125,66.8125,1.484375,4.453125,4.453125,514,11,6.60546875,12.765625,6.581234686104276,6.5813132572291835,6.582357124913448,6.614540315778993,6.307746072321142,6.310447722367325,6.344659990427953,6.497233375268386,0.482666015625,,,4.859375,0.3845966107920998,0.3290122142654941,7.162105003080282,2.379004295176358,0.33216551476879974,0.15569969454743848,0.02446238318390814,1.0432858491915091,0.1540805232906112,0.9942530866615051,0.19170243047549396,0.2744347649758341,0.052908792606971636,7.1241116268858,2.3459267328807725,0.3292939324571279,0.1552096544205419,0.02433643434155284,1.0221119623341188,0.15085667971967628,0.9736003493026688,0.18728393976657182,0.26660870393434166,0.051276777278401235,203,10,4.609375,12.4609375,4.598599059890886,4.5986845260644245,4.599135636419255,4.635654659973614,4.454113769436079,4.457024614838247,4.471932354041612,4.6632144095659305,0.63037109375,,,0.41207116909554026,0.36100506801251964,2.326718855356156,0.32486522528718575,0.10507540637079948,0.0236537724482387,1.0094635541523846,0.20820519715450383,0.9942510652382683,0.3046295498675591,0.2674556682904603,0.08193342617290776,7.1241116268858,2.287093009825588,0.3210355381286125,0.10633706187365632,0.023817275390128446,0.986671506326811,0.20291774363103862,0.9736304395985558,0.2963360037272827,0.25819513983917197,0.07856374588499998,received
5,train,0.42279574275016785,68.25,68.8125,1.4794921875,4.44921875,4.44921875,544,11,6.4375,12.7109375,6.4097683585070975,6.409847037765889,6.410782912136638,6.443246500429731,6.207472769808151,6.210184206680735,6.241478720894098,6.3979279005851195,0.49365234375,,,4.6796875,0.38524184385917354,0.33708370411834576,7.162105003080282,2.4395986190677315,0.34062592185097923,0.14403971636427393,0.023471108081031797,1.0324947710678671,0.15779961032349085,0.9943393402487466,0.2005334106218574,0.3214234046334292,0.06481652448099672,7.110466397765251,2.4037987805493053,0.3380648534257606,0.14863587616101182,0.024198754786867862,1.0051754709094531,0.15350760043183506,0.9671661881167761,0.19463160442228822,0.30858189321128293,0.06212064971230248,214,10,4.40625,12.40625,4.3836087013786305,4.383694535045127,4.384072592798837,4.420952032511459,4.263138526910753,4.2660703572567185,4.278821254686115,4.474224005786238,0.64501953125,,,0.41508054459122656,0.36636032574597027,2.394074428913182,0.33426966344161907,0.09847728189735783,0.023663000737380334,0.9962296250587475,0.21809655594278532,0.9943735576062522,0.3333206543002126,0.31963368533123404,0.10712535601064033,7.110466397765251,2.347882048696956,0.3302008500363453,0.10063094726638777,0.024054643184065066,0.9657760189826448,0.21044599022183966,0.9672360908506192,0.3213033849918923,0.3037829284988778,0.10097160111393151,received
6,train,0.408486545085907,70.125,71.25,1.474609375,4.44921875,4.44921875,793,11,6.73046875,12.7109375,6.680975537227137,6.681052212899829,6.6819473113007675,6.71360537869973,6.379281522528888,6.381969557551083,6.412911318342881,6.567676722249436,0.470703125,,,5.02734375,0.36987201125095637,0.3244260789303473,7.162105003080282,2.5272431287731987,0.35286317747174617,0.18982177955957802,0.02997505012320338,1.0677566416819761,0.1584481312175411,0.9943037138941726,0.1929099764511062,0.3638701689043584,0.07058946172945076,7.118568425805652,2.488383176511565,0.34956230349502326,0.19357442085724585,0.030537729841715627,1.049507334239511,0.15572590810928422,0.9681134947098027,0.18772166433435425,0.3423473299442339,0.06635344434276014,381,10,4.765625,12.40625,4.742754190110413,4.7428380875418465,4.743214878913807,4.77920072069481,4.54416259303904,4.547059065527343,4.559704277569541,4.752053907067966,0.61572265625,,,0.3993876395561773,0.3492149078741909,2.4638690721556236,0.34401465366620027,0.1342567729591284,0.03017566685761074,1.0176911472550962,0.20960183006147284,0.9943734618999702,0.30401992653782867,0.3684250167401588,0.11262508289693858,7.118568425805652,2.417596740809068,0.3396183890071203,0.1344408438598279,0.030070521200140782,0.9975660353602969,0.20477833419413916,0.9681135204999833,0.29433403751773884,0.34205151639887355,0.10392148694078143,received
7,train,0.3865281045436859,72.0625,72.75,1.4697265625,4.44921875,4.44921875,1091,11,7.015625,12.7109375,6.96313637376527,6.963210978969931,6.964066540814495,6.994883541433287,6.5408954374762835,6.543561061905902,6.572386125231242,6.727328561422608,0.447998046875,,,5.37109375,0.3597703656490402,0.31812842367128885,7.162105003080282,2.6802639333798757,0.37422851692723663,0.22834687056793612,0.035426910457025035,1.102230863026529,0.16086833640671983,0.9943733635694763,0.1887875882759876,0.45757220678328014,0.08686449311810954,7.116465734146459,2.6417605748074973,0.3712180559138668,0.23300427961861203,0.036053992414189266,1.0966936449233238,0.1598249472656036,0.9697852053538343,0.18347810733639747,0.43290308626407636,0.08189692774435822,562,10,5.109375,12.40625,5.074423139706879,5.074505262119669,5.07486890024259,5.110040920160333,4.832964395119912,4.835825693325046,4.848351346511423,5.037642333353111,0.58837890625,,,0.3894993611523841,0.3456461717011065,2.6100890112965978,0.3644304307426447,0.16495554275675417,0.03558025555603103,1.0400632576521502,0.20626619940126026,0.9943733640935086,0.28757968999855077,0.4721544417440411,0.1365305664406804,7.116465734146459,2.5615743031666574,0.3599503459808185,0.16516692058747573,0.03545607375214416,1.0348241485789327,0.20460986990322136,0.9697852044357615,0.27857236827993187,0.4416728465407438,0.1268571496388079,received
8,train,0.3709418773651123,72.625,73.1875,1.46484375,4.44921875,4.44921875,1218,11,7.0546875,12.7109375,6.9937841478722,6.993857904637383,6.994686975137951,7.0252402717247895,6.506778793586384,6.5094466798866355,6.537441025714136,6.693478768554857,0.445068359375,,,5.4140625,0.35694515975369695,0.31273356161201216,7.162105003080282,2.7407828465252475,0.38267839487783134,0.25686611213586374,0.03998833609423578,1.114007704222864,0.1631120824272818,0.9943383111719548,0.18957458478369996,0.4716060606803394,0.089904999079471,7.123219454705568,2.712642708059974,0.38081695015980643,0.2581858438137319,0.040179890161801096,1.1006232372090388,0.16104281753867072,0.9723533581295261,0.18507233146771232,0.4542202735303711,0.08638968255325813,669,10,5.14453125,12.40625,5.106495678328137,5.106577243832554,5.106923844278106,5.141909125087929,4.833605497184159,4.83646472955806,4.848418841949276,5.038156173018756,0.58544921875,,,0.3863405629817183,0.3427456018160765,2.6678053820965086,0.3724890072051635,0.19441300496282032,0.042171761055833736,1.05043545743945,0.20940822848326493,0.9943733303757725,0.289769109568263,0.48413293713798833,0.14105999149219953,7.123219454705568,2.6339737144700903,0.36977292798835487,0.19339370371856024,0.04185671858754586,1.0370953568348895,0.2062238824008028,0.9723533398393709,0.2819611754916552,0.46304849514794455,0.13412235800723032,received
9,train,0.3610440492630005,73.875,74.125,1.4599609375,4.44921875,4.44921875,1181,11,7.0,12.7109375,6.944016469557735,6.9440907138210335,6.944916038213937,6.975661542722161,6.484967329686276,6.487637740811065,6.516176503895978,6.671902327446879,0.448974609375,,,5.34765625,0.3604804165595154,0.3168770362194593,7.162105003080282,2.7579754403374777,0.38507888939792506,0.25537191961392836,0.04014513562380875,1.105476024640483,0.16335318709980556,0.9943733620586475,0.19186046163091214,0.48365158860968815,0.0933096684058586,7.121915113641577,2.7394645390060006,0.3846527928644825,0.2572582743861389,0.040434334098257,1.0965828735674021,0.16229372840346387,0.9731797688652488,0.18787639751320856,0.47237071681956877,0.0912274263573037,656,10,5.0703125,12.40625,5.034700486406698,5.034782475395253,5.0351210167612654,5.0703026503201984,4.7544797834511225,4.757348198535852,4.7688977853742776,4.959882235055378,0.59130859375,,,0.3854508680648585,0.3451096306656829,2.6840534535108507,0.3747576239606221,0.19728588364325716,0.04356282877424609,1.0423818525132784,0.2112245052624178,0.9943733562510406,0.296797375447378,0.49324328978704646,0.1471996678527471,7.121915113641577,2.661072335188419,0.3736456125531887,0.19595369014593267,0.043258018252419504,1.0315131557609467,0.2094745587175656,0.9732138660688889,0.2907369817317286,0.48110665131951613,0.1438090041792551,received
10,train,0.3570207357406616,74.625,75.0625,1.455078125,4.44921875,4.44921875,1164,11,6.95703125,12.7109375,6.904033808762755,6.904108587177621,6.9049379583385,6.935876272833837,6.472839265110848,6.475512235029507,6.503705881221527,6.659972804988895,0.452392578125,,,5.2890625,0.35415315410819687,0.31847511114313437,7.162105003080282,2.75686471798765,0.3849238061717855,0.25163291974459767,0.039807904117845745,1.095428371887703,0.1628318164734943,0.9943384062754159,0.19334732929317644,0.4888052449663336,0.0950380502017275,7.13276064386639,2.7352280026114375,0.3834739645951133,0.25283650762720544,0.04001714963438941,1.0943670008825146,0.16275829475578002,0.9787089249923895,0.19021283450791063,0.47102259068862384,0.09159213297577415,598,10,5.0078125,12.40625,4.974947744524462,4.975030227200888,4.975368549244817,5.010753678921543,4.748091669458542,4.75096065445741,4.762493505666599,4.953552551284214,0.59619140625,,,0.376179074298657,0.34509719328596217,2.6890285671834944,0.37545226801715353,0.19620462665239913,0.04398728296316833,1.034956399009907,0.21266229450216487,0.9943733888076061,0.3029720762640714,0.49773503822730003,0.15162996698367678,7.13276064386639,2.662077278223756,0.37321836679223663,0.19436220050483666,0.04353450831535043,1.0316806972598611,0.21183410075680206,0.9787436794613811,0.29733802132018167,0.4779394978962399,0.14531626771013093,received
