epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,messages
1,train,1.0895377397537231,31.46875,31.46875,1.5,3.466796875,3.466796875,1755,10,5.9609375,9.1640625,5.821185523264061,5.821238638938856,5.821336002290568,5.847021748496424,5.028955066408308,5.031673645034089,5.036589042442446,5.221563966213779,0.349365234375,,,6.10546875,0.5749236508686998,0.5753333675957882,7.162105003080282,1.8506982242273047,0.25840143692829903,0.46887395356663397,0.07639675411166096,0.5476948062389564,0.0837001374323067,0.8170411021660478,0.1647615100635482,0.23911049747778446,0.04821327479567683,6.953011348341067,1.578743820362825,0.22705900239030974,0.46170309781234575,0.07230242960301611,0.540410696138899,0.08049717477781397,0.5230888420946282,0.10184311907252218,0.2171071440723109,0.042146149451313446,baseline
2,train,0.855021595954895,40.15625,40.15625,1.4951171875,3.470703125,3.470703125,16,10,1.5078125,8.8359375,1.5095343144578646,1.5096275151097112,1.5096484422402148,1.5508951324053906,1.5141467895512986,1.5173039721365913,1.5180370545503834,1.7463987855642504,0.82958984375,,,1.515625,0.5820758218960997,0.5820758218960997,7.162105003080282,1.016493543220671,0.14192664625602344,0.009710606138614963,0.003643259164495042,0.012082644767821726,0.003933737292480664,0.9941163693298813,0.668565191230144,0.005572403074541654,0.003746301859961233,6.942296279884221,1.0146101552866844,0.1461490714861287,0.009492177386205114,0.0036660105153797913,0.010598281371104967,0.003613825542012574,0.8659073772735635,0.637097158743209,0.005310844849368834,0.0036943345691849904,baseline
3,train,0.8005368709564209,44.75,44.75,1.490234375,3.466796875,3.466796875,643,10,3.54296875,8.8359375,3.4800198622196077,3.4800989152803474,3.480164237874107,3.5154950001244987,3.193655492078957,3.19660403484616,3.198993977887706,3.407015286416141,0.59912109375,,,3.6015625,0.5621409999201382,0.5902960201530619,7.162105003080282,1.4472349862516585,0.20206838431288437,0.17135382967739865,0.040813713620377064,0.21822600385178426,0.04739285173261745,0.9937869133583135,0.3290668622340688,0.14445209773626733,0.04782364733998121,6.952986230650642,1.4268798048226659,0.20521826988993508,0.17550694168615788,0.042309868988038166,0.21215339996026117,0.04713829161341412,0.8778425272244359,0.29936789853020024,0.12726881485453134,0.04254061559338718,baseline
4,train,0.6319636702537537,54.53125,54.53125,1.484375,3.470703125,3.470703125,307,10,3.828125,8.84375,3.812434262360796,3.8125188161725254,3.812625035632674,3.849247808109258,3.671225353706274,3.674132264751345,3.6777130572961467,3.880248171554078,0.5673828125,,,3.84765625,0.5636421177323694,0.5922361691852079,7.162105003080282,1.6957699270620914,0.2367697661976156,0.07547226080886738,0.01758563468914937,0.20237972872225285,0.04307894338069021,0.9936999641794166,0.31918133612883387,0.46500496033716754,0.14933785980626746,7.00119629534952,1.6858669498323193,0.24079698364580077,0.07602080661835053,0.017911793183658355,0.19158695985800556,0.041580211267203966,0.911658040811707,0.29985660763948735,0.4552408730067352,0.1479847798730301,baseline
5,train,0.45128047466278076,66.5,66.5,1.4794921875,4.109375,4.109375,304,10,5.5,11.546875,5.481924143103426,5.482003954928502,5.482425061568125,5.515920480136909,5.3393440193143045,5.342066995085516,5.3560661216475385,5.530979118713374,0.52392578125,,,5.51953125,0.6148767419284065,0.5683027028939522,7.162105003080282,2.249355457975261,0.31406345718302886,0.08623701000917805,0.015952671383574726,0.4146073765239606,0.07133662623891919,0.9942651849005397,0.2351964765787707,0.8031571613062214,0.18996677624057148,7.102271034816448,2.2108411561550474,0.31128650896553467,0.09072656338127416,0.016728590998972222,0.4142563796366119,0.07132117817277522,0.9602180823425597,0.22693708847133331,0.7499180972779751,0.17672160573445966,baseline
6,train,0.3700040876865387,70.1875,70.1875,1.474609375,4.23046875,4.23046875,179,10,4.9765625,11.765625,4.965151481058189,4.9652336163922985,4.965717327728635,5.000291087810541,4.861842766109495,4.864624315564405,4.880539453467539,5.058815707197423,0.5771484375,,,4.98828125,0.5940741259886837,0.5833950375961896,7.162105003080282,2.41186605130168,0.33675379658136584,0.0569700312756396,0.012056971224102712,0.4119500574633044,0.08028258087155704,0.9943735991166971,0.28037001419154,0.9513432911658279,0.26819946012212065,7.115458569448386,2.4097632222892296,0.33866590589621587,0.05718261329158114,0.012157949682184683,0.41333659910720577,0.08109075770649435,0.9649971140972458,0.27430152162428023,0.9306714696164633,0.26372425400713234,baseline
7,train,0.3618018627166748,70.9375,70.9375,1.4697265625,4.23046875,4.23046875,138,10,4.57421875,11.7578125,4.57034349847956,4.5704273676509315,4.570895466763347,4.606340776950915,4.493989176128981,4.4968151153106115,4.512184884860444,4.695026785180607,0.61083984375,,,4.578125,0.596900059382214,0.5704871501080527,7.162105003080282,2.415049763318587,0.33719831841056797,0.04650720801642905,0.010747770826823325,0.4124438226342839,0.08713607739215483,0.9943736617877139,0.31580182026087156,0.9506235953476869,0.30185926892774123,7.107456458321234,2.409584592946973,0.33902206887611547,0.04607984851913738,0.010694469720328482,0.4139958865032183,0.0881842855196584,0.9592061814601731,0.30766543381765404,0.9241087266336772,0.29543084239569734,baseline
8,train,0.3577324151992798,71.875,71.875,1.46484375,4.265625,4.265625,113,9,4.50390625,12.0,4.5006015191054525,4.500685852934201,4.501197786589744,4.536799701334926,4.449633027293031,4.45246528341108,4.469225761388231,4.65121876383378,0.625,,,4.5078125,0.5700480660837585,0.5629953941410799,7.162105003080282,2.444054732168917,0.3412481010984587,0.05382245144770259,0.01273958178195893,0.42928597362053544,0.09269829451054484,0.9943456215277351,0.32640037536732486,0.9533232960065172,0.31288308057443687,7.12148672558531,2.4423232084858073,0.3429513109546763,0.0490897637088068,0.011671083588779857,0.43231290598827155,0.0939622795233391,0.9668772932649592,0.3198753150201936,0.9332780167351649,0.30774771102253906,baseline
9,train,0.3632151484489441,72.9375,72.9375,1.4599609375,4.3203125,4.3203125,145,9,4.4609375,12.28125,4.454273864162499,4.454358251658908,4.454871646375904,4.490525848111919,4.412912932187233,4.41574808512999,4.432626412043065,4.614812754847571,0.63671875,,,4.47265625,0.5810345797463157,0.5706009782824345,7.162105003080282,2.5278087629534403,0.3529421534404032,0.1281455447437576,0.031253344997356554,0.4286997920577438,0.09513133331443405,0.9942243413752276,0.3402784748249752,0.9948088497896075,0.34042015894279143,7.1282178645207965,2.5029692108512425,0.3511353410379395,0.10023806677904457,0.024420888492379948,0.41900356197053945,0.09304657933354442,0.9736969083906573,0.3328155411538235,0.9791326105770892,0.3339736496647676,baseline
10,train,0.3339904844760895,75.0,75.0,1.455078125,4.32421875,4.32421875,108,9,4.26953125,12.28125,4.265990814767225,4.266075833875702,4.266551273125351,4.302592025781092,4.2070658766271904,4.209924780104957,4.225556809021206,4.411175484856577,0.65283203125,,,4.2734375,0.5781380123919304,0.5664825506430526,7.162105003080282,2.5767870357623908,0.3597806838428318,0.14187421166582936,0.036792273081358316,0.4886248613662669,0.11463963542814666,0.9943737005500282,0.3713585471581028,0.9772721322055196,0.36490353084752025,7.136401752063186,2.577350710050349,0.36115549538746444,0.13876788027340403,0.03609608983546637,0.4851198644807697,0.11436631290919608,0.9799303589619637,0.3674939860372791,0.9640113457967843,0.36141409062498636,baseline
11,train,0.302301287651062,77.125,77.125,1.4501953125,4.3203125,4.3203125,101,10,4.1640625,12.2734375,4.164913926992813,4.16499936379678,4.165480435446697,4.201726007437063,4.091139084764285,4.094011590783654,4.109435359926487,4.296506473225443,0.66064453125,,,4.16796875,0.566917512499793,0.5680553800886491,7.162105003080282,2.6710685484922596,0.372944622753155,0.1529976807417821,0.04181531650453945,0.5950814849812964,0.14638892213511034,0.9943737121550171,0.4008814088359575,0.9462372228099616,0.3813981726383603,7.1387302400630315,2.6652023518551156,0.37334403489542467,0.1450594270743526,0.03980038425607431,0.5851618735689526,0.14449471465082203,0.9819183371002209,0.3972085214497909,0.9329606949847502,0.37747015565188163,baseline
12,train,0.29750508069992065,77.3125,77.3125,1.4443359375,4.3203125,4.3203125,86,10,4.12890625,12.2734375,4.115913951939929,4.115999566474011,4.116489120554359,4.152821182871989,4.089270232839757,4.092143260238415,4.108311481125044,4.294676944622084,0.66357421875,,,4.1328125,0.5680719626822279,0.5677850470158893,7.162105003080282,2.6654123404535897,0.3721548817431813,0.15936706769764974,0.04392156485080413,0.5874648272648173,0.1456057022852128,0.9943737141861995,0.405862753019851,0.9493616601397781,0.38741145595596377,7.140652724999155,2.6618825541561764,0.3727786039554936,0.14939658686127721,0.041257093675720564,0.5794609191148261,0.14402083310296213,0.9841907924742088,0.40231556762089776,0.9364515479942739,0.3831142652479874,baseline
13,train,0.2931419909000397,77.9375,77.9375,1.439453125,4.3203125,4.3203125,73,10,3.837890625,12.2734375,3.8322663384089775,3.832352850329641,3.832784928519772,3.869681155327894,3.8083466228877616,3.811251237596831,3.8253701265777735,4.016717995300512,0.6875,,,3.837890625,0.5806693931975455,0.5646540669539929,7.162105003080282,2.679154853229011,0.37407366299108413,0.15917482896232116,0.047795436684755783,0.5920122403050758,0.15843962787220703,0.9943737308808132,0.4620882797611183,0.9481225691162196,0.440492689066974,7.1387081173016895,2.675166982264602,0.37474105094463084,0.14735703571831316,0.044474658079695986,0.5878743217541906,0.1581781081025935,0.9818324953831112,0.45923011011806675,0.9342628596973235,0.43710034231207456,baseline
14,train,0.2861441969871521,79.0,79.0,1.4345703125,4.3203125,4.3203125,63,10,3.6640625,12.2734375,3.660935800103304,3.6610228678457672,3.661435971791011,3.6986616814223883,3.5933700124747823,3.5962991353819405,3.60970126531549,3.804031339226941,0.70166015625,,,3.669921875,0.5807303349889059,0.5676917265919433,7.162105003080282,2.6823919810244776,0.374525642931908,0.15706424768512584,0.049798762834197666,0.5896224829023211,0.16561685620370012,0.9943737402443205,0.5033385396011184,0.9561435329798931,0.4838642282259262,7.140948265327579,2.6812503574064626,0.3754753931526298,0.15137257559684691,0.048195100027148975,0.5860140283587958,0.16521508195957121,0.9826878713949405,0.4992063390670098,0.942663474963366,0.47883531488410824,baseline
15,train,0.2848351001739502,79.0625,79.0625,1.4296875,4.3203125,4.3203125,52,10,3.56640625,12.2734375,3.559089087047889,3.5591764666015755,3.5595785106020372,3.596993453908171,3.538564445206768,3.5414995303884877,3.5546739756709864,3.7497923107816664,0.70947265625,,,3.572265625,0.5777299029850039,0.5748499663623744,7.162105003080282,2.6809493176439663,0.3743242128523586,0.1508404667497576,0.04929087068880307,0.5924794284208907,0.17092107020212102,0.994373742366804,0.5284194555497533,0.9602061993383701,0.5101267025676653,7.146116733108999,2.6787284530630338,0.37485092297080663,0.14367600713529427,0.047204720860157826,0.5924407196044328,0.1717024527273827,0.9868472236429966,0.5273763652955069,0.9505583349084272,0.5084515847976583,baseline
16,train,0.2828834652900696,78.75,78.75,1.4248046875,4.3203125,4.3203125,43,10,3.47265625,12.2734375,3.4695956419306175,3.4696832799647908,3.470073373463142,3.5076525718274927,3.4831900442443122,3.48613093419707,3.499104393487631,3.694977656524371,0.716796875,,,3.474609375,0.5683520850727075,0.5778549105787485,7.162105003080282,2.6977151040834024,0.3766651149240576,0.1538548508583073,0.05228349149383157,0.5980067506626101,0.17856890325879804,0.994373747610128,0.5636138878299215,0.9677515683296409,0.548368654056717,7.143039570706172,2.6953214807220185,0.37733537019389,0.14666379688684472,0.04998861519429824,0.5991629910590186,0.1794471008064878,0.9840521588437694,0.5591014480739561,0.9544374556123172,0.5424929161594136,baseline
