epoch,phase,loss,accuracy,length,symbol_entropy,symbol_entropy_nn,message_entropy,message_entropy_nn,lexicon_size,actual_vocab_size,H_msg,MI_inp,VI_inp,IS_inp,VInorm_inp,MI_cat,VI_cat,VInorm_cat,IS_cat,max_rep,redundancy,redundancy_adj,redundancy_adj2,topsim,topsim_cat
1,train,0.7178342938423157,54.75,3.873046875,4.28125,4.28125,18.640625,18.34375,18119,10,7.938744112814219,,,,,0.015530057378240869,11.383359239244232,0.9986375815244699,0.0013624184755300917,1.73828125,0.504433928446242,0.3022910136659559,0.3022910136659559,,
2,train,0.40591752529144287,70.5625,4.62109375,3.701171875,3.701171875,17.59375,17.421875,2155,10,5.280918442625884,,,,,0.3741171985919731,8.008359286628433,0.955369132349897,0.044630867650103045,2.751953125,0.6703453380511872,0.6063552891756245,0.6063552891756245,,
3,train,0.3357774615287781,71.9375,4.6953125,3.677734375,3.677734375,17.65625,17.484375,2057,10,5.4466116757551815,,,,,0.39571013325516446,8.130866650431347,0.9535909728729286,0.0464090271270714,2.775390625,0.6600021473074036,0.599186745192805,0.599186745192805,,
4,train,0.29777202010154724,72.375,4.6875,3.689453125,3.689453125,17.6875,17.515625,2084,10,5.73651138980371,,,,,0.414374444319078,8.38343774235205,0.9529002852610489,0.04709971473895114,2.73046875,0.6419055239128173,0.5790771682845615,0.5790771682845615,,
5,train,0.27918320894241333,72.3125,4.6796875,3.693359375,3.693359375,17.640625,17.46875,2297,10,5.9307078272504254,,,,,0.42276595789402016,8.56085115264888,0.9529403409905043,0.04705965900949571,2.6953125,0.6297830566500341,0.5646366254720234,0.5646366254720234,,
6,train,0.2631438076496124,72.5625,4.671875,3.705078125,3.705078125,17.65625,17.484375,2644,10,6.158839369887334,,,,,0.4382549548646075,8.758004701344614,0.9523442169699176,0.047655783030082444,2.65234375,0.6155422333188492,0.5475037965129285,0.5475037965129285,,
7,train,0.2514927089214325,72.5625,4.65234375,3.705078125,3.705078125,17.578125,17.390625,2970,10,6.305904486314442,,,,,0.4572765728968058,8.867026581707325,0.9509586330136625,0.04904136698633754,2.611328125,0.6063618792257202,0.5353433434101242,0.5353433434101242,,
8,train,0.24098509550094604,72.625,4.65234375,3.7109375,3.7109375,17.609375,17.4375,3306,10,6.463589428826986,,,,,0.45165489036683226,9.035954889279818,0.9523952922963013,0.047604707703698734,2.5859375,0.5965185959061347,0.523648831151541,0.523648831151541,,
9,train,0.23322705924510956,72.5,4.6171875,3.716796875,3.716796875,17.53125,17.359375,3657,10,6.581432175212784,,,,,0.4776642463313827,9.101778923736514,0.950136533214801,0.04986346678519904,2.541015625,0.5891624113437361,0.5125734157115642,0.5125734157115642,,
10,train,0.224742591381073,72.5625,4.6015625,3.720703125,3.720703125,17.5,17.3125,3813,10,6.66703023731561,,,,,0.47472460074041045,9.193256277021284,0.9508972342061234,0.049102765793876624,2.521484375,0.5838190604602581,0.5051171412067301,0.5051171412067301,,
11,train,0.21887260675430298,72.5,4.5859375,3.7265625,3.7265625,17.484375,17.28125,4087,10,6.793777187074614,,,,,0.4634957164925311,9.342460995276046,0.9527332487674284,0.047266751232571624,2.505859375,0.5759070422517225,0.4940891620682103,0.4940891620682103,,
12,train,0.21244151890277863,72.5,4.578125,3.728515625,3.728515625,17.453125,17.265625,4324,10,6.872958393666994,,,,,0.4568358814678444,9.4349618719178,0.9538166981516091,0.04618330184839092,2.4921875,0.5709642554665264,0.4873206703561448,0.4873206703561448,,
13,train,0.2073598951101303,72.3125,4.5390625,3.732421875,3.732421875,17.34375,17.140625,4529,10,6.948335597133887,,,,,0.45364849987716127,9.516713838566059,0.954500299539967,0.045499700460033043,2.46484375,0.5662589287705189,0.4791598165322897,0.4791598165322897,,
14,train,0.20337842404842377,72.375,4.5390625,3.728515625,3.728515625,17.3125,17.109375,4747,10,6.993567265991146,,,,,0.5123170103248267,9.444608486527986,0.9485466662890307,0.05145333371096927,2.451171875,0.5634353989871075,0.4754478705587387,0.4754478705587387,,
15,train,0.20158961415290833,72.1875,4.53125,3.7265625,3.7265625,17.28125,17.078125,4891,10,7.044210958180025,,,,,0.48473667789584063,9.55041284357484,0.9516961180440089,0.04830388195599111,2.44921875,0.5602740304846878,0.4713754503085259,0.4713754503085259,,
16,train,0.1976715326309204,72.4375,4.5390625,3.720703125,3.720703125,17.265625,17.0625,4882,10,7.040211453956628,,,,,0.5183166379947703,9.479253419153583,0.9481557383412214,0.051844261658778645,2.447265625,0.5605236944829206,0.4721698956909287,0.4721698956909287,,
17,train,0.196121484041214,72.625,4.53515625,3.7265625,3.7265625,17.28125,17.09375,5163,10,7.102319056676285,,,,,0.5256018059191607,9.526790686024459,0.9477137600486254,0.0522862399513746,2.4453125,0.5566467058489475,0.46741726945712025,0.46741726945712025,,
18,train,0.19350162148475647,72.625,4.53515625,3.720703125,3.720703125,17.25,17.046875,5163,10,7.12457787528397,,,,,0.482931037645276,9.634391041179914,0.9522669107612957,0.04773308923870434,2.44140625,0.5552572272188159,0.4658942870611412,0.4658942870611412,,
19,train,0.1913408488035202,72.75,4.53515625,3.71484375,3.71484375,17.203125,17.015625,5111,10,7.098895885277294,,,,,0.5082924550341055,9.557986216395577,0.9495054258256578,0.05049457417434222,2.431640625,0.5568603929987468,0.4673398861312168,0.4673398861312168,,
20,train,0.19116084277629852,72.875,4.5390625,3.716796875,3.716796875,17.234375,17.046875,5172,10,7.1427638596792775,,,,,0.5059473779111698,9.606544345043432,0.9499680798983788,0.05003192010162116,2.423828125,0.5541219901188351,0.4641966414608081,0.4641966414608081,,
