epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,top_sim,pos_dis,bos_dis
1,train,-0.21104295551776886,21.328125,0.88037109375,1.3837890625,2.474609375,91,10,,1.0048828125,,0.26083207504001116,0.3061160746667367,0.3061160746667367,,,
2,train,-0.42851608991622925,45.625,0.107421875,0.4697265625,2.19140625,74,10,,1.109375,,0.550918600677772,0.717090144741374,0.717090144741374,,,
3,train,-0.5049245953559875,49.75,0.01263427734375,0.431396484375,2.26953125,41,10,,1.21875,,0.5895724058176144,0.7527101307585764,0.7527101307585764,,,
4,train,-0.5699606537818909,55.3125,0.0038661956787109375,0.415283203125,2.51171875,36,10,,1.361328125,,0.5150030351380113,0.590417610940967,0.590417610940967,,,
5,train,-0.5702937245368958,54.0625,0.00765228271484375,0.38916015625,2.5078125,46,10,,1.3896484375,,0.4809182350734924,0.5458834498514351,0.5458834498514351,,,
6,train,-0.6211705803871155,59.1875,0.0135955810546875,0.39404296875,2.201171875,23,8,,1.1982421875,,0.5868271450079402,0.7529465702497102,0.7210531749361674,,,
7,train,-0.6260616183280945,59.1875,0.032989501953125,0.365234375,2.294921875,30,10,,1.2705078125,,0.5332992760900082,0.6716031290932809,0.6716031290932809,,,
8,train,-0.6276658773422241,59.125,0.01503753662109375,0.33642578125,2.59765625,49,10,,1.5615234375,,0.5003375971683148,0.5549645228091022,0.5549645228091022,,,
9,train,-0.6290539503097534,59.1875,0.012237548828125,0.33349609375,2.599609375,33,10,,1.4951171875,,0.4777304222645783,0.5256379562632856,0.5256379562632856,,,
10,train,-0.6267414689064026,58.65625,0.003936767578125,0.30810546875,2.59765625,42,10,,1.5517578125,,0.5046692892459332,0.5664712394443605,0.5664712394443605,,,
11,train,-0.625946044921875,57.53125,0.01462554931640625,0.33935546875,2.599609375,41,9,,1.3173828125,,0.4094193385116105,0.4409345549681838,0.4092992253326483,,,
12,train,-0.6359861493110657,59.5,0.006572723388671875,0.294677734375,2.595703125,29,10,,1.40625,,0.43778079151654437,0.4647911189138223,0.4647911189138223,,,
13,train,-0.6300227046012878,58.78125,0.01024627685546875,0.294677734375,2.32421875,35,10,,1.220703125,,0.4854356731253996,0.5759496425204798,0.5759496425204798,,,
14,train,-0.6141712665557861,55.71875,0.01387786865234375,0.340087890625,2.119140625,25,10,,1.080078125,,0.5337853568551454,0.6010876413102451,0.6010876413102451,,,
15,train,-0.6234376430511475,57.25,0.01171112060546875,0.32421875,2.255859375,38,10,,1.2041015625,,0.47368159674969057,0.48785246411099326,0.48785246411099326,,,
16,train,-0.5912270545959473,53.40625,0.007732391357421875,0.323486328125,2.255859375,33,10,,1.2265625,,0.5221463120059585,0.5699170090850848,0.5699170090850848,,,
17,train,-0.6184679865837097,55.75,0.00966644287109375,0.35400390625,2.150390625,31,10,,1.095703125,,0.5241181738289913,0.5634581383177057,0.5634581383177057,,,
