epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,0.504422664642334,76.0625,76.0625,1.9814453125,1.9814453125,1.529296875,1.529296875,812,10,5.487917782018851,6.1484375,7.12890625,0.94921875,0.1375732421875,,,0.29774362204498706,8.60942438986453,1.98828125,10.78125,0.23095703125,0.134765625,3.4685229195697684,1.2158203125,7.18359375,0.3505859375,0.12646484375
2,train,baseline,0.27518990635871887,87.5625,87.5625,2.146484375,2.146484375,1.6865234375,1.6865234375,292,10,4.9870235565610574,5.9609375,7.32421875,1.1376953125,0.1859130859375,,,0.28203689118406955,8.609080725074275,2.259765625,10.046875,0.262451171875,0.1551513671875,3.4739621107308274,1.3447265625,6.74609375,0.386962890625,0.1424560546875
3,train,baseline,0.20603229105472565,91.375,91.375,2.234375,2.234375,1.7314453125,1.7314453125,322,10,5.094743117949089,6.0546875,7.43359375,1.15625,0.1859130859375,,,0.3051370334619752,8.60958994404203,2.43359375,9.796875,0.28271484375,0.1658935546875,3.472436028545543,1.4228515625,6.6796875,0.40966796875,0.1492919921875
4,train,baseline,0.1552475541830063,93.875,93.875,2.2890625,2.2890625,1.76171875,1.76171875,381,10,5.415340702282519,6.3203125,7.53515625,1.1416015625,0.160888671875,,,0.2921075913177467,8.608893677381054,2.6328125,9.6640625,0.305908203125,0.1763916015625,3.4771532373564162,1.517578125,6.765625,0.436279296875,0.1549072265625
5,train,baseline,0.12780168652534485,95.25,95.25,2.32421875,2.32421875,1.7841796875,1.7841796875,385,10,5.743682762391531,6.4765625,7.62890625,1.1513671875,0.151123046875,,,0.2818688810200061,8.608699137367315,2.80078125,9.484375,0.325439453125,0.1856689453125,3.482851622289633,1.583984375,6.79296875,0.45458984375,0.158935546875
6,train,baseline,0.11022431403398514,96.0625,96.0625,2.359375,2.359375,1.8046875,1.8046875,385,10,5.92359050737452,6.57421875,7.66015625,1.1484375,0.1414794921875,,,0.2921673903288978,8.609551682987917,2.951171875,9.28125,0.3427734375,0.1943359375,3.486228346861246,1.6279296875,6.8046875,0.467041015625,0.1617431640625
7,train,baseline,0.10076814889907837,96.625,96.625,2.380859375,2.380859375,1.8212890625,1.8212890625,394,10,6.056412463225747,6.62890625,7.70703125,1.1533203125,0.1397705078125,,,0.2944387492903185,8.610665281313338,3.0546875,9.1328125,0.354736328125,0.200439453125,3.476648082048605,1.6708984375,6.765625,0.48046875,0.165283203125
8,train,baseline,0.09243810176849365,96.9375,96.9375,2.396484375,2.396484375,1.8369140625,1.8369140625,392,10,6.107886872176093,6.703125,7.72265625,1.1611328125,0.1317138671875,,,0.26901778179636554,8.609862725822758,3.14453125,9.0234375,0.365234375,0.205322265625,3.4833840810827397,1.69140625,6.8046875,0.4853515625,0.166015625
9,train,baseline,0.08669599890708923,97.25,97.25,2.419921875,2.419921875,1.853515625,1.853515625,385,10,6.1715271207620335,6.79296875,7.81640625,1.1630859375,0.1312255859375,,,0.24543510504012278,8.610558449467957,3.24609375,8.9140625,0.376953125,0.2108154296875,3.4834659143339963,1.7197265625,6.8359375,0.49365234375,0.1673583984375
10,train,baseline,0.08148044347763062,97.5,97.5,2.4375,2.4375,1.8720703125,1.8720703125,399,10,6.277181252519685,6.8671875,7.86328125,1.1689453125,0.1263427734375,,,0.2399528531508878,8.60611846438328,3.337890625,8.796875,0.387939453125,0.2156982421875,3.487046967828952,1.7421875,6.87109375,0.49951171875,0.168212890625
11,train,baseline,0.07594036310911179,97.75,97.75,2.451171875,2.451171875,1.8828125,1.8828125,392,10,6.4130972381345535,6.92578125,7.859375,1.171875,0.1187744140625,,,0.25530869464810435,8.610080932856548,3.3984375,8.7421875,0.39453125,0.21875,3.461414490994188,1.7626953125,6.86328125,0.50927734375,0.169677734375
12,train,baseline,0.07296215742826462,97.9375,97.9375,2.462890625,2.462890625,1.8984375,1.8984375,395,10,6.465039517118435,6.9296875,7.8828125,1.177734375,0.1209716796875,,,0.26053676040708,8.608723718921967,3.466796875,8.609375,0.402587890625,0.2230224609375,3.4745498989093777,1.79296875,6.8203125,0.51611328125,0.17236328125
13,train,baseline,0.0701371356844902,98.0625,98.0625,2.46875,2.46875,1.8955078125,1.8955078125,395,10,6.514648363787612,6.9765625,7.90234375,1.173828125,0.11676025390625,,,0.24998368064753804,8.61005233238694,3.525390625,8.5390625,0.40966796875,0.2261962890625,3.4781530812496,1.8095703125,6.8359375,0.5205078125,0.173095703125
14,train,baseline,0.06683100014925003,98.125,98.125,2.478515625,2.478515625,1.90234375,1.90234375,397,10,6.546328788913395,7.015625,7.90625,1.1748046875,0.112548828125,,,0.24846582705179707,8.607869188568007,3.560546875,8.5,0.413818359375,0.2279052734375,3.475931122904577,1.810546875,6.87109375,0.52099609375,0.1724853515625
15,train,baseline,0.06556230038404465,98.25,98.25,2.48046875,2.48046875,1.9111328125,1.9111328125,386,10,6.601199715975575,7.0546875,7.9375,1.171875,0.111083984375,,,0.23517958584008544,8.610122852796236,3.607421875,8.453125,0.4189453125,0.2303466796875,3.486010018901322,1.8388671875,6.86328125,0.52734375,0.1744384765625
1,test,,1.4791663885116577,61.75,61.75,2.091796875,2.091796875,1.634765625,1.634765625,242,10,5.865589705044672,6.02734375,7.13671875,1.037109375,0.1552734375,3.09375,3.001953125,0.3137838032942662,6.65821148275179,2.087890625,8.5078125,0.3134765625,0.16455078125,3.1852953424983985,1.4033203125,6.40625,0.440673828125,0.15234375
2,test,,1.6573933362960815,64.875,64.875,2.21875,2.21875,1.630859375,1.630859375,192,10,5.5889494080498325,5.69140625,7.140625,1.0869140625,0.2032470703125,3.041015625,2.947265625,0.3272131070033748,6.65821148275179,2.30078125,7.75,0.345458984375,0.186279296875,3.1852953424983985,1.55078125,5.7734375,0.48681640625,0.1746826171875
