epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,0.5077757835388184,76.25,76.25,2.0703125,2.0703125,1.8984375,1.8984375,4112,10,6.461528184779947,7.8125,8.9296875,1.0361328125,0.12481689453125,,,0.3630652887674676,8.60973732525866,2.15234375,12.1171875,0.2498779296875,0.1309814453125,3.4776102858192433,1.3056640625,8.6796875,0.37548828125,0.11566162109375
2,train,baseline,0.27845630049705505,87.625,87.625,2.166015625,2.166015625,2.126953125,2.126953125,1954,10,6.357312522806984,7.515625,9.046875,1.2666015625,0.1693115234375,,,0.3819033451242258,8.611266988365221,2.44921875,11.2265625,0.284423828125,0.15185546875,3.473022602501072,1.404296875,8.1796875,0.404296875,0.1278076171875
3,train,baseline,0.21967092156410217,90.625,90.625,2.1953125,2.1953125,2.1484375,2.1484375,1642,10,6.199982965846117,7.46484375,9.125,1.2900390625,0.1820068359375,,,0.40842759501114084,8.612026076866192,2.65234375,10.7734375,0.30810546875,0.1650390625,3.492854305369437,1.5,7.95703125,0.429443359375,0.1368408203125
4,train,baseline,0.17581064999103546,92.875,92.875,2.25390625,2.25390625,2.169921875,2.169921875,1712,10,6.398168409010177,7.53125,9.140625,1.2763671875,0.1759033203125,,,0.36112770853065507,8.607959235174865,2.873046875,10.390625,0.333984375,0.1781005859375,3.4748208122723185,1.603515625,7.80078125,0.46142578125,0.1456298828125
5,train,baseline,0.14244422316551208,94.75,94.75,2.283203125,2.283203125,2.1953125,2.1953125,1824,10,6.719936053875013,7.6484375,9.2109375,1.2607421875,0.16943359375,,,0.36926586418142177,8.607828016603952,3.107421875,10.0390625,0.361083984375,0.191162109375,3.471773164670679,1.67578125,7.765625,0.482666015625,0.1507568359375
6,train,baseline,0.12195084244012833,95.75,95.75,2.32421875,2.32421875,2.216796875,2.216796875,1905,10,6.926786441486488,7.7421875,9.2890625,1.2587890625,0.16650390625,,,0.3872462668908108,8.607482340483754,3.2265625,9.8984375,0.374755859375,0.197265625,3.4786222397691042,1.7021484375,7.81640625,0.4892578125,0.1517333984375
7,train,baseline,0.10875531286001205,96.3125,96.3125,2.353515625,2.353515625,2.240234375,2.240234375,1911,10,7.0334228473904385,7.796875,9.3359375,1.2587890625,0.1649169921875,,,0.3682140510782353,8.612710323984887,3.314453125,9.78125,0.385009765625,0.2020263671875,3.4689137996956916,1.7119140625,7.84375,0.49365234375,0.1519775390625
8,train,baseline,0.09908408671617508,96.8125,96.8125,2.357421875,2.357421875,2.2578125,2.2578125,1836,10,7.139887765320646,7.90234375,9.453125,1.259765625,0.1640625,,,0.3600408725219081,8.610817385685774,3.431640625,9.6484375,0.3984375,0.207763671875,3.4813501813842893,1.74609375,7.890625,0.50146484375,0.1534423828125
9,train,baseline,0.09283890575170517,97.125,97.125,2.359375,2.359375,2.271484375,2.271484375,1707,10,7.239010449071641,7.9140625,9.40625,1.2646484375,0.1583251953125,,,0.35945499784685464,8.61141391004207,3.525390625,9.4765625,0.409423828125,0.2132568359375,3.4749157093150282,1.76953125,7.8515625,0.50927734375,0.1552734375
10,train,baseline,0.08810226619243622,97.3125,97.3125,2.361328125,2.361328125,2.2734375,2.2734375,1689,10,7.307956098368529,7.984375,9.484375,1.2578125,0.157958984375,,,0.3707865117009359,8.606837432075691,3.61328125,9.3671875,0.419921875,0.2177734375,3.4883465885624445,1.798828125,7.875,0.515625,0.15673828125
