epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,temperature_nn,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.6234381198883057,71.0,72.0625,2.234375,2.2421875,1.6962890625,2.361328125,3928,10,6.065338431184065,5.51171875,5.97265625,0.94921875,0.0775146484375,,,0.24728616667641945,8.60942438986453,0.81396484375,12.4921875,0.09454345703125,0.05767822265625,3.4685229195697684,0.51904296875,7.94140625,0.1495361328125,0.05780029296875,6143,10,1.171875,6.722644283932447,8.78125,10.109375,0.131103515625,,,8.60942438986453,1.76171875,13.8671875,0.20458984375,0.10125732421875,3.4685229195697684,1.171875,9.90625,0.337890625,0.095703125,0.37439101038875483
2,train,noise,0.3566038906574249,84.25,85.5,2.517578125,2.521484375,2.12890625,3.005859375,2443,10,6.954555043549762,5.80859375,6.45703125,1.3779296875,0.1005859375,,,0.20538124323159762,8.612714390852771,1.0009765625,12.421875,0.1162109375,0.06939697265625,3.470538068491579,0.58984375,8.1015625,0.169921875,0.06353759765625,2834,10,1.7724609375,7.256234002150812,8.9765625,10.890625,0.1754150390625,,,8.612714390852771,2.09765625,13.3984375,0.2435302734375,0.11920166015625,3.470538068491579,1.3125,9.828125,0.378173828125,0.10540771484375,0.3572228344248013
3,train,noise,0.2919486463069916,87.4375,88.75,2.576171875,2.578125,2.244140625,3.171875,1577,10,6.885844074267999,5.83203125,6.67578125,1.576171875,0.1260986328125,,,0.1918027879334364,8.608966222530182,1.146484375,12.1484375,0.1331787109375,0.07940673828125,3.4890036752768245,0.66748046875,7.98828125,0.19140625,0.07159423828125,1588,10,2.06640625,6.907464324827136,8.7421875,11.21875,0.2210693359375,,,8.608966222530182,2.341796875,12.671875,0.27197265625,0.1348876953125,3.4890036752768245,1.4189453125,9.390625,0.40673828125,0.11602783203125,0.33494548632987176
4,train,noise,0.25684013962745667,89.375,90.875,2.61328125,2.615234375,2.29296875,3.2421875,1223,10,6.760559360316106,5.796875,6.75390625,1.6953125,0.14208984375,,,0.1748166145701727,8.606443313254447,1.2373046875,11.9296875,0.1436767578125,0.08587646484375,3.4825378292707865,0.7177734375,7.84375,0.2060546875,0.07733154296875,1201,10,2.255859375,6.6193482150977445,8.5234375,11.34375,0.248779296875,,,8.606443313254447,2.482421875,12.1640625,0.28857421875,0.14501953125,3.4825378292707865,1.484375,9.03125,0.42626953125,0.12371826171875,0.33458690770018895
5,train,noise,0.2319657802581787,90.5625,92.0625,2.650390625,2.65234375,2.322265625,3.2890625,1028,10,6.625481406522542,5.75390625,6.8046875,1.7880859375,0.1546630859375,,,0.18585990610969014,8.609636018111008,1.314453125,11.734375,0.1527099609375,0.09149169921875,3.484218506811786,0.75927734375,7.71875,0.2178955078125,0.0821533203125,976,10,2.408203125,6.3334396861730715,8.328125,11.40625,0.2705078125,,,8.609636018111008,2.609375,11.7109375,0.30322265625,0.1541748046875,3.484218506811786,1.541015625,8.7265625,0.4423828125,0.1304931640625,0.3426380085574622
6,train,noise,0.21617642045021057,91.375,92.875,2.673828125,2.67578125,2.33984375,3.31640625,871,10,6.526204254275285,5.69140625,6.83984375,1.8603515625,0.167724609375,,,0.18369295788392512,8.6101542832179,1.38671875,11.53125,0.1610107421875,0.096923828125,3.4694839847398735,0.8076171875,7.546875,0.232666015625,0.088134765625,800,10,2.529296875,6.1346488973314255,8.109375,11.4765625,0.29296875,,,8.6101542832179,2.728515625,11.265625,0.31689453125,0.1630859375,3.4694839847398735,1.60546875,8.3671875,0.462646484375,0.1385498046875,0.34783653081444194
7,train,noise,0.20356352627277374,92.0,93.5,2.697265625,2.69921875,2.349609375,3.3359375,720,10,6.354511983078161,5.6796875,6.87890625,1.9482421875,0.174072265625,,,0.18241514588971722,8.61176626112107,1.4609375,11.3671875,0.169677734375,0.10223388671875,3.4833299507450604,0.8505859375,7.4609375,0.244140625,0.09283447265625,664,10,2.673828125,5.824952043616202,8.015625,11.515625,0.304443359375,,,8.61176626112107,2.85546875,10.9140625,0.33154296875,0.1717529296875,3.4833299507450604,1.6767578125,8.140625,0.4814453125,0.1458740234375,0.3509219794030279
8,train,noise,0.18611249327659607,92.8125,94.25,2.720703125,2.72265625,2.3671875,3.357421875,649,10,6.206085032599993,5.62109375,6.890625,2.03515625,0.1839599609375,,,0.19830026910930812,8.60985290285015,1.53125,11.171875,0.1778564453125,0.10760498046875,3.480664587576365,0.888671875,7.32421875,0.25537109375,0.09765625,592,10,2.80859375,5.553954696800806,7.8203125,11.53125,0.32177734375,,,8.60985290285015,2.974609375,10.4765625,0.345703125,0.18115234375,3.480664587576365,1.728515625,7.84375,0.49658203125,0.1529541015625,0.3577828981627568
9,train,noise,0.17372651398181915,93.4375,94.6875,2.732421875,2.734375,2.376953125,3.37890625,622,10,6.170979106232918,5.61328125,6.91796875,2.078125,0.1884765625,,,0.18646641955252896,8.608638989019417,1.5947265625,11.03125,0.1851806640625,0.11212158203125,3.494805736320113,0.92041015625,7.265625,0.263427734375,0.10107421875,553,10,2.876953125,5.476247870921171,7.73828125,11.5625,0.330810546875,,,8.608638989019417,3.083984375,10.1796875,0.3583984375,0.188720703125,3.494805736320113,1.7744140625,7.68359375,0.5078125,0.157958984375,0.3594458155432131
10,train,noise,0.16159981489181519,94.0625,95.125,2.7421875,2.744140625,2.384765625,3.38671875,609,10,6.156925549058224,5.59765625,6.94140625,2.1015625,0.1934814453125,,,0.21325789884254012,8.609593252535888,1.6416015625,10.921875,0.190673828125,0.11553955078125,3.46857725662069,0.93505859375,7.1953125,0.26953125,0.1031494140625,523,10,2.912109375,5.419452351710269,7.66796875,11.59375,0.33837890625,,,8.609593252535888,3.154296875,9.96875,0.3662109375,0.1937255859375,3.46857725662069,1.7880859375,7.5625,0.515625,0.1605224609375,0.36751898712694714
11,train,noise,0.15482749044895172,94.3125,95.5,2.75,2.751953125,2.39453125,3.400390625,582,10,6.169054447270619,5.6015625,6.984375,2.111328125,0.1976318359375,,,0.181588316034444,8.610745418187257,1.6748046875,10.8671875,0.194580078125,0.11785888671875,3.481076498023049,0.9482421875,7.1875,0.2724609375,0.1043701171875,504,10,2.931640625,5.4101278921660905,7.63671875,11.65625,0.3447265625,,,8.610745418187257,3.197265625,9.8515625,0.37109375,0.19677734375,3.481076498023049,1.7939453125,7.53125,0.51513671875,0.161376953125,0.3655977210005965
12,train,noise,0.14817453920841217,94.6875,95.75,2.75390625,2.755859375,2.400390625,3.408203125,591,10,6.158734133454663,5.578125,6.9765625,2.126953125,0.2008056640625,,,0.18852482697636697,8.609446319182817,1.708984375,10.765625,0.198486328125,0.12042236328125,3.476149673024,0.95849609375,7.13671875,0.27587890625,0.10589599609375,504,10,2.951171875,5.405586578631007,7.57421875,11.65625,0.35009765625,,,8.609446319182817,3.25390625,9.671875,0.3779296875,0.201171875,3.476149673024,1.802734375,7.4453125,0.5185546875,0.1632080078125,0.3620106815189897
13,train,noise,0.1430342048406601,95.0,96.0,2.763671875,2.765625,2.408203125,3.4140625,574,10,6.1456430500649555,5.5625,6.96484375,2.14453125,0.2015380859375,,,0.1924900429438361,8.610804451334939,1.73046875,10.7109375,0.2010498046875,0.12213134765625,3.467734961310218,0.97216796875,7.0859375,0.2802734375,0.10760498046875,489,10,2.974609375,5.3710159245567155,7.53515625,11.625,0.351806640625,,,8.610804451334939,3.2890625,9.5703125,0.3818359375,0.2037353515625,3.467734961310218,1.8193359375,7.36328125,0.52490234375,0.1654052734375,0.3516465460536756
