epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,mutual_info_msg_target_shape,proficiency_msg_target_shape,mutual_info_msg_target_color,proficiency_msg_target_color,mutual_info_msg_target_x,proficiency_msg_target_x,mutual_info_msg_target_y,proficiency_msg_target_y,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,mutual_info_msg_selected_shape,proficiency_msg_selected_shape,mutual_info_msg_selected_color,proficiency_msg_selected_color,mutual_info_msg_selected_x,proficiency_msg_selected_x,mutual_info_msg_selected_y,proficiency_msg_selected_y,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_act_nn,redundancy_max_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,mutual_info_msg_target_shape_nn,proficiency_msg_target_shape_nn,mutual_info_msg_target_color_nn,proficiency_msg_target_color_nn,mutual_info_msg_target_x_nn,proficiency_msg_target_x_nn,mutual_info_msg_target_y_nn,proficiency_msg_target_y_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,mutual_info_msg_selected_shape_nn,proficiency_msg_selected_shape_nn,mutual_info_msg_selected_color_nn,proficiency_msg_selected_color_nn,mutual_info_msg_selected_x_nn,proficiency_msg_selected_x_nn,mutual_info_msg_selected_y_nn,proficiency_msg_selected_y_nn
1,train,received,3.9542689323425293,31.96875,32.40625,1.5,2.419921875,2.5625,575,10,4.10546875,6.015625,4.099424559392208,4.099446942334351,4.099490401005013,4.112978766837811,4.057823281051027,4.058978035403705,4.0611577177287295,4.15217607623667,0.3173828125,0.5693359375,,,3.984375,0.5313320578549315,0.5351018962805814,7.162105003080282,0.8411357295890669,0.117442529707022,0.15804663091581084,0.029076041195612037,0.18072814986447305,0.030937002334086496,0.7016920514011193,0.1648246150027811,0.10226429947607851,0.02401864255195756,6.924481922808624,0.7129386987354343,0.1029591392804533,0.15824585872014119,0.028663157066969456,0.2088522044584229,0.03616331550142213,0.5073387375714837,0.11740388052444672,0.11925676809314822,0.02755475159730387,627,10,3.97265625,6.16015625,3.9753997087847153,3.9754217242482692,3.9754577079308593,3.9887348250467998,3.9188109168430048,3.9198977905444345,3.9216429468475056,4.010923828936358,0.355224609375,0.58251953125,,,0.5827865502908903,0.5827865502908903,0.8739742774421368,0.12202757109345053,0.17550978071532874,0.033307849918898756,0.19959768414529577,0.035168282348522456,0.7253725889528067,0.17731392632355802,0.11457502278052711,0.028003897525598443,6.924481922808624,0.7394914477272518,0.10679375814260315,0.17111095133427412,0.03190801407021846,0.2255956982270506,0.040163003951744346,0.5207720325008456,0.125093470428903,0.12941894566313827,0.031037619023323106
2,train,received,2.9158124923706055,39.65625,40.03125,1.4892578125,2.33984375,2.48046875,5,3,1.5029296875,5.703125,1.5038064235170154,1.5038804566020767,1.5039157375969416,1.5343026990362958,1.5089243197812925,1.5113620400377923,1.5125063083131216,1.674308044028793,0.736328125,0.84228515625,,,0.77294921875,0.531880216114223,0.53667221547319,7.162105003080282,0.9964451809918713,0.1391274186238989,0.0023049349172703515,0.0008605732284470576,0.002498999829666282,0.0008101660680993095,0.9889499842799951,0.6593223369939781,0.0013069719823999293,0.0008710532713696056,6.965203999386976,0.9639370308043658,0.13839322306844196,0.008560066412834466,0.003219587000179437,0.01088416759295363,0.003651355252356417,0.84305561285547,0.5927860274039598,0.004154250696531747,0.0028532560775518566,3,3,1.0283203125,5.6953125,1.0273793138341283,1.0274552009375335,1.0274559929936085,1.0587984719208747,1.0262932828725926,1.0287999513706299,1.0288267317696866,1.197409883427313,0.8193359375,0.89208984375,,,0.5831332199055177,0.5831332199055177,1.002143895214098,0.1399230945068657,0.0014503366392677464,0.0006598476692168716,0.0016228063336658494,0.0006231573112226317,0.994233128511703,0.975154592132699,0.0008289613830037013,0.0008126549846619132,6.965203999386976,0.9686365550214173,0.13906793758038807,0.008190621644886598,0.0037564003564697283,0.01046246648241489,0.004180714792502659,0.8481748997805765,0.8985953639816499,0.0039060039585852024,0.003995233581415931
3,train,received,2.857111930847168,40.8125,40.71875,1.4794921875,2.33203125,2.48046875,4,2,1.4912109375,5.703125,1.4912285891095294,1.4913029051141387,1.4913379850355835,1.5218205821363022,1.4891589201850648,1.491612457895627,1.4927436235843101,1.655308733445861,0.73828125,0.84375,,,0.76123046875,0.5284857954985638,0.5340097096128709,7.162105003080282,0.9966072279720517,0.13915004423188856,0.0015921635101774356,0.0005971838896991508,0.0018168530297346663,0.0005913657090369707,0.9885304491554976,0.6644703388496163,0.0009480336926452892,0.000637034720128996,6.932595891839494,0.9946074462506911,0.14346825659079085,0.0022931175424121264,0.0008857008250141895,0.0024516956559379466,0.0008456024289712703,0.8604736865086169,0.6301947964102411,0.0012632171621094201,0.0009008740745265865,2,2,1.015625,5.6953125,1.0155669211524478,1.0156429780668363,1.0156434671336323,1.047051309997935,1.0242690980880025,1.0267763505112233,1.0268020550653523,1.1954398809301399,0.82177734375,0.89306640625,,,0.5826772493626118,0.5826772493626118,1.0016116159026003,0.13984877567025708,0.0010728395933146118,0.0004905906887925971,0.0011980392186456967,0.00046202586621237263,0.9943732907336482,0.9860804143713098,0.0005770900729116235,0.000571993101001867,6.932595891839494,0.998975405890808,0.14409831778406748,0.0018035059388017416,0.0008560899064477184,0.0019444127948231582,0.0008044792660862245,0.8652364861827841,0.979833651849565,0.0008685154910130777,0.0009441945692033774
4,train,received,2.840498685836792,42.28125,42.3125,1.4697265625,2.3359375,2.48046875,4,2,1.4873046875,5.703125,1.4884148977268228,1.4884894199696648,1.4885245879063511,1.5190593218831518,1.4751313027821555,1.477589210954474,1.4786930456043805,1.6415331002808538,0.7392578125,0.84423828125,,,0.75634765625,0.532019207809086,0.535484222871629,7.162105003080282,0.9955182688644979,0.13899799967137383,0.00147300582663501,0.0005528714997249973,0.0016830609395830365,0.0005481455823853053,0.9881921579451616,0.6650641125317927,0.0008599006330971548,0.0005785274647043877,6.949363209434313,0.9905738460947136,0.14254167126420025,0.0023322083794869997,0.0009071902856320703,0.0026196750872706787,0.0009001713049737134,0.8501765472887524,0.6268768543381426,0.0015492131585697066,0.0011005164423577567,3,3,1.0107421875,5.6953125,1.010420475710109,1.0104968647150063,1.0104972375340886,1.0419781153269991,1.0063842723418692,1.0089012972685618,1.0089118552689205,1.1780735964384719,0.822265625,0.8935546875,,,0.5828678986126349,0.5828678986126349,1.001327486964699,0.13980910452081444,0.0009643611920795436,0.0004418179480191879,0.0010325793816052808,0.0003988498302945991,0.9943733352817592,0.9901264278376896,0.0005096084876372586,0.0005071789907027246,6.949363209434313,0.9955897120732968,0.14326344473141145,0.002018918164849559,0.0009652764020582269,0.002281656976368396,0.0009385918352399227,0.8556386867206989,0.9756983857044059,0.0014066217864856512,0.0015150136647177695
5,train,received,2.8323349952697754,41.96875,41.9375,1.458984375,2.33203125,2.48046875,4,2,1.486328125,5.703125,1.4851220714358446,1.4851968142179925,1.4852319245533583,1.515809228857846,1.4823868276162986,1.484844259573865,1.4859720706748354,1.6487424554062122,0.7392578125,0.84423828125,,,0.75537109375,0.5303929902172321,0.5361525234624889,7.162105003080282,0.9959598477118765,0.13905965456852887,0.0011855319335856151,0.0004452838640279924,0.001389859051212916,0.0004529294683971459,0.9886304991259127,0.6661948908049388,0.0006550096618118673,0.0004412334386735674,6.962271132195738,0.9915437432117766,0.14241670920090507,0.002752873589594529,0.0010682734561727667,0.0028587311821635097,0.0009756212258916529,0.8605519402526696,0.6292325058629815,0.0017859489961029595,0.001272742418354732,2,2,1.009765625,5.69140625,1.0098219370250157,1.0098984071678994,1.0098987669388197,1.0413931089094839,1.004085565278339,1.0066029718017295,1.0066115011750831,1.1758108937726555,0.82275390625,0.89404296875,,,0.582809021834946,0.582809021834946,1.0011648104649231,0.1397863910169345,0.0008241270175348703,0.0003777747384117703,0.0009325429593527446,0.00036037366244380287,0.9943387918990538,0.9912581272049417,0.00047440613227855977,0.0004727002557218874,6.962271132195738,0.9959831413062079,0.14305434568620398,0.002283131002883465,0.0010904512191386069,0.002258977101350368,0.0009231706637800645,0.8657161330700607,0.9788371374566122,0.0014481248854085749,0.001573979232889689
6,train,received,2.8174307346343994,43.28125,43.1875,1.44921875,2.33984375,2.48046875,4,2,1.486328125,5.69921875,1.4868778911967704,1.4869525226801137,1.4869876940943632,1.5175502808195858,1.4832065058254664,1.4856639856455494,1.4868057264160903,1.6495661849596766,0.7392578125,0.84423828125,,,0.755859375,0.5378465334871207,0.5411799014809892,7.162105003080282,0.9958270463533756,0.13904111234407898,0.001304402293759388,0.0004898548967097588,0.0015089247060489086,0.0004916641699399924,0.9890295985199042,0.6662771959568773,0.000757678222346847,0.0005102510704038782,6.952218994980232,0.9939538149448455,0.14296929018814256,0.0020555853357944187,0.0008079552545999422,0.002238245189421839,0.0007655370917965381,0.8621352060135701,0.6324831312432081,0.0011595252297942338,0.0008325741706123962,2,2,1.009765625,5.69140625,1.0104368993772372,1.0105131198083541,1.010513492531995,1.0419796292011958,1.009116869351405,1.011631993931022,1.011644574451371,1.1807078940824036,0.82275390625,0.89404296875,,,0.5832171631902158,0.5832171631902158,1.001111403260623,0.13977893410248304,0.0007970899219102989,0.0003655339483978923,0.0008630601334242982,0.00033364020091403786,0.9943037044960032,0.9921253644915234,0.0004387708449380412,0.00043759084268547014,6.952218994980232,0.9979243843858221,0.1435404127957364,0.0016755999271067523,0.0008120963754469091,0.0018436478033212467,0.0007547032887420544,0.8675082849469762,0.9833290471048489,0.000987731143988313,0.0010832538666390825
7,train,received,2.812929630279541,43.78125,43.78125,1.439453125,2.33203125,2.48046875,4,2,1.4853515625,5.69921875,1.4829770470579067,1.4830518623024507,1.4830868374582526,1.5136881883741986,1.4818571471263278,1.484316242561414,1.485455800813476,1.6482885665925788,0.7392578125,0.84423828125,,,0.75341796875,0.5320941249051245,0.5365283891719952,7.162105003080282,0.9966911552809425,0.13916176247797052,0.0011967869813664933,0.00044937118571468154,0.0013736232670469306,0.00044751750944181217,0.9885552644255222,0.6657719168311295,0.0007230730378511296,0.0004868107800093918,6.959398201788611,0.9930571405138979,0.14269296162111772,0.002371204299993046,0.0009277200336929806,0.0022296738580385167,0.0007620841618805891,0.8718562876744942,0.6342273918322285,0.0012225676681838493,0.0008771483766210329,2,2,1.0087890625,5.69140625,1.0088985252980938,1.0089749394244758,1.008975276993258,1.0404703128197377,1.0026106392452814,1.005129677453553,1.0051371959607358,1.1744092348977018,0.82275390625,0.89404296875,,,0.5836149351949801,0.5836149351949801,1.001081384154612,0.1397747427221559,0.0007093460142995056,0.0003254161089654129,0.0008033439705057432,0.00031065200699326016,0.9943733847527785,0.9929933006401065,0.0004047647088052386,0.0004040008319202597,6.959398201788611,0.9978301199272823,0.1433787938259997,0.0018841452655946611,0.000908953086088172,0.0015891914410310903,0.0006505923327445133,0.877319143895317,0.9839822981871054,0.000923528135027496,0.001014059347742576
8,train,received,2.804525852203369,44.15625,44.375,1.4296875,2.33203125,2.48046875,4,2,1.484375,5.69921875,1.484279230223637,1.4843540494135976,1.4843890860285893,1.5149924201263147,1.4853497624722989,1.487805522870439,1.488935600340287,1.6516278384741252,0.73974609375,0.84423828125,,,0.7978515625,0.5302617861552072,0.536191709842979,7.162105003080282,0.9958246634844765,0.13904077963897368,0.0010685469470930187,0.00040134028162949243,0.001202790470890669,0.00039196369418506945,0.9885752604604328,0.6661451236971365,0.0005809234716425138,0.00039131947335173487,6.965257561617651,0.9907478456422165,0.1422413797160603,0.002269555397598211,0.000895964131703198,0.0024771006050414712,0.0008451228583383405,0.8676217989879955,0.6334139702731815,0.0011238680034999504,0.0008011893592445365,2,2,1.0078125,5.69140625,1.0071332991705608,1.007209906094929,1.0072102115452282,1.0387483150726695,1.0078633445364487,1.0103787373273236,1.0103903320462313,1.1794793586267174,0.8232421875,0.89404296875,,,0.5826830123828616,0.5826830123828616,1.0009843172649564,0.13976118987845787,0.000618413190452749,0.0002837637330490697,0.000718241459243707,0.0002777954012884268,0.9943733876117111,0.9934774077253637,0.0003928377268840322,0.000392287417988142,6.965257561617651,0.9960724939926349,0.14300583792931576,0.001830376451017024,0.0008916644298165096,0.002021246706856772,0.0008247528139287623,0.872713255828347,0.9812037473076218,0.0009174947005874401,0.0009946539774387355
9,train,received,2.80599308013916,44.59375,44.59375,1.419921875,2.3203125,2.48046875,4,2,1.4833984375,5.69921875,1.481329368710401,1.4814041950503778,1.4814390227843073,1.5120474330643574,1.4871479701956667,1.4896064857570652,1.4907663079784055,1.6535242898670626,0.73974609375,0.84423828125,,,0.75341796875,0.5279232058433894,0.5335038049014913,7.162105003080282,0.9949366446024228,0.13891679110743557,0.0010130410113271537,0.0003807532353166445,0.0011576953943555068,0.0003774924058018924,0.9892239662451114,0.6674020002469974,0.000542484757961148,0.0003658757751550742,6.992084706983927,0.9878011638628532,0.1412741986486812,0.0025040203186161847,0.000974721175953339,0.0034571223776431736,0.0011700256208497933,0.8842849155501904,0.6344223993574517,0.0017960708046089735,0.001277543412407783,2,2,1.0068359375,5.69140625,1.0064345862255615,1.0065111799702342,1.0065114626424088,1.0380428206438956,1.004085565278339,1.0066029718017293,1.0066115011750831,1.1758108937726555,0.8232421875,0.89404296875,,,0.5839214188647366,0.5839214188647366,1.0008503549534666,0.13974248555739135,0.0006759422695816752,0.0003102722451598221,0.0007239526370446114,0.0002800886640523687,0.9943734037159073,0.9942508054534702,0.00036861197585835725,0.0003683820076890492,6.992084706983927,0.9928707947952469,0.14199925149698694,0.0021487000281155133,0.001029676956366007,0.0029707401963232627,0.0012014878668746046,0.889603480056123,0.9758137559732112,0.00153739596088176,0.0016644088081184318
10,train,received,2.786797523498535,45.0625,45.15625,1.41015625,2.3359375,2.48046875,4,2,1.4833984375,5.69921875,1.484114323090842,1.4841892342255785,1.4842244210109963,1.5148318352851304,1.4779038262364748,1.480364828673052,1.4814969375543352,1.6444346733131283,0.73974609375,0.84423828125,,,0.75244140625,0.5320781902160647,0.5358378504368947,7.162105003080282,0.9952745141030999,0.13896396571609207,0.0010899308337259939,0.000409425571222339,0.0011941107579902521,0.0003891793840830946,0.9882601225613801,0.6660892761390322,0.0006331341844409977,0.00042658965518749725,6.996609932249492,0.992820836153433,0.14190026966877506,0.0017589851798422984,0.0006925197829292676,0.0018651521342105681,0.0006331214493270042,0.892610026452946,0.6424732755148068,0.0009962734619053393,0.0007071384685319145,2,2,1.0068359375,5.69140625,1.0073114533711929,1.0073881360187609,1.007388439300826,1.0389218492971395,1.009772194996203,1.0122844373480688,1.0122970338027066,1.1812526466041275,0.8232421875,0.89404296875,,,0.5836080238593472,0.5836080238593472,1.0008973767211413,0.13974905091319867,0.0006400924429650345,0.0002938026989538073,0.0007304022111833675,0.0002825728268271106,0.9943733945085027,0.9941498640443642,0.00035169793513567527,0.00035144285645573444,6.996609932249492,0.9975816289495554,0.14258071246067325,0.001356950134071333,0.0006586757872129477,0.0014197578230454866,0.0005757090918025035,0.8973468220988474,0.9866653782283235,0.0007364014315820455,0.0007926643255796404
