epoch,phase,loss,accuracy,reinf_sg,baseline,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,redund_smb,redund_smb_adj,top_sim
1,train,-0.101046621799469,48.5625,-0.485595703125,-0.57421875,0.406005859375,0.382568359375,3.263671875,809,10,1.8134765625,,0.5986979813962048,0.5271379448720672,
2,train,-0.09139992296695709,61.0,-0.60986328125,-0.65869140625,0.25048828125,0.170166015625,3.181640625,475,10,1.130859375,,0.566742704083036,0.47973947702031694,
3,train,-0.09888148307800293,71.4375,-0.71435546875,-0.748046875,0.159912109375,0.166259765625,3.529296875,345,10,1.5341796875,,0.5640827440268805,0.5220024880343435,
4,train,-0.11344177275896072,79.4375,-0.79443359375,-0.818359375,0.1705322265625,0.1451416015625,3.640625,378,10,1.490234375,,0.4893997165316941,0.46497106988028136,
5,train,-0.08263474702835083,81.625,-0.81640625,-0.82763671875,0.11859130859375,0.1300048828125,3.638671875,335,10,1.658203125,,0.4852220652847886,0.4543968130682865,
6,train,-0.08086273074150085,84.0,-0.83984375,-0.84814453125,0.1400146484375,0.119140625,3.599609375,360,10,1.6552734375,,0.4484796335336467,0.4206420836373448,
7,train,-0.09769093245267868,86.625,-0.8662109375,-0.86962890625,0.157470703125,0.114013671875,3.4140625,347,10,1.3896484375,,0.41454021398917085,0.37746846108807586,
8,train,-0.08644720166921616,87.9375,-0.87939453125,-0.88818359375,0.11431884765625,0.102783203125,3.341796875,249,10,1.2900390625,,0.4435661557948126,0.39927507413513286,
9,train,-0.07039905339479446,89.5,-0.89501953125,-0.904296875,0.066650390625,0.0950927734375,3.390625,186,10,1.3505859375,,0.4664625079382845,0.4286387460433576,
10,train,-0.06373216956853867,90.875,-0.90869140625,-0.9150390625,0.0672607421875,0.08648681640625,3.357421875,183,10,1.3251953125,,0.4608428800558233,0.41886443458465383,
11,train,-0.06113680079579353,91.1875,-0.912109375,-0.91943359375,0.0673828125,0.0821533203125,3.400390625,248,10,1.4287109375,,0.43465560112654444,0.3926462641046653,
12,train,-0.059553343802690506,91.875,-0.9189453125,-0.921875,0.07086181640625,0.08026123046875,3.4296875,248,10,1.4443359375,,0.42320499836516656,0.38483284867900835,
13,train,-0.05758385732769966,92.25,-0.92236328125,-0.92724609375,0.074462890625,0.076904296875,3.33984375,259,10,1.3515625,,0.41514093263389384,0.3661521660974041,
14,train,-0.05923178791999817,92.625,-0.92626953125,-0.92529296875,0.07568359375,0.07305908203125,3.32421875,270,10,1.3251953125,,0.4099668942723744,0.3581530091868613,
15,train,-0.05712788924574852,93.0,-0.93017578125,-0.927734375,0.0762939453125,0.0706787109375,3.388671875,256,10,1.3408203125,,0.39189768197270247,0.3474784756714787,
16,train,-0.05816406384110451,92.875,-0.9287109375,-0.9326171875,0.07733154296875,0.068115234375,3.396484375,255,10,1.291015625,,0.3849169136521241,0.3418027081178996,
17,train,-0.05115775763988495,93.5625,-0.935546875,-0.93701171875,0.07794189453125,0.06292724609375,3.375,266,10,1.3154296875,,0.37622642642424375,0.33054879442646734,
18,train,-0.056215737015008926,93.6875,-0.93701171875,-0.94287109375,0.07879638671875,0.061981201171875,3.376953125,271,10,1.2998046875,,0.37202801838564725,0.3260770820881812,
19,train,-0.05130354315042496,94.125,-0.94140625,-0.9404296875,0.0706787109375,0.059356689453125,3.373046875,262,10,1.2626953125,,0.36384985624390265,0.31723590185724626,
20,train,-0.04969392716884613,94.25,-0.94287109375,-0.943359375,0.06097412109375,0.058685302734375,3.333984375,245,10,1.275390625,,0.37144110835924093,0.3191877107140243,
21,train,-0.048604704439640045,94.5625,-0.9453125,-0.94775390625,0.06463623046875,0.0574951171875,3.29296875,259,10,1.2724609375,,0.36195875004140565,0.30313744996249714,
22,train,-0.05085247382521629,94.75,-0.94775390625,-0.94921875,0.069091796875,0.055145263671875,3.30859375,268,10,1.28515625,,0.35791563160661055,0.30118045705354546,
23,train,-0.045947350561618805,94.9375,-0.94970703125,-0.951171875,0.059967041015625,0.052825927734375,3.3359375,266,10,1.275390625,,0.35123052650657416,0.298517657212121,
24,train,-0.046551767736673355,95.0625,-0.95068359375,-0.95263671875,0.0689697265625,0.050262451171875,3.341796875,282,10,1.2939453125,,0.3367978922152559,0.28469878863364495,
25,train,-0.04587977007031441,95.3125,-0.953125,-0.95361328125,0.0655517578125,0.04779052734375,3.33984375,286,10,1.2841796875,,0.3336287042898186,0.2810188011409285,
26,train,-0.046122707426548004,95.4375,-0.9541015625,-0.9560546875,0.0667724609375,0.047760009765625,3.306640625,288,10,1.2900390625,,0.3288156810814121,0.26991276332310077,
27,train,-0.046252936124801636,95.375,-0.95361328125,-0.95458984375,0.068359375,0.048248291015625,3.275390625,278,10,1.2646484375,,0.33194499793495114,0.2674584979463541,
28,train,-0.044981684535741806,95.4375,-0.95458984375,-0.953125,0.06549072265625,0.04791259765625,3.255859375,280,10,1.236328125,,0.33040594601089,0.26211296159081887,
29,train,-0.04741708189249039,95.4375,-0.9541015625,-0.9560546875,0.058563232421875,0.04888916015625,3.26953125,272,10,1.23046875,,0.32409210781037623,0.25734017901677564,
30,train,-0.042325057089328766,95.6875,-0.95654296875,-0.95703125,0.05889892578125,0.04620361328125,3.26171875,269,10,1.2734375,,0.32704385667843594,0.25896404982757804,
31,train,-0.04336562380194664,95.25,-0.95263671875,-0.951171875,0.062225341796875,0.048309326171875,3.26171875,260,10,1.271484375,,0.3218417260824187,0.25313870431430574,
32,train,-0.044395461678504944,95.625,-0.9560546875,-0.95849609375,0.06207275390625,0.046295166015625,3.25390625,253,10,1.2392578125,,0.3147585336225084,0.24397555683164407,
33,train,-0.04515984654426575,95.8125,-0.9580078125,-0.95751953125,0.0670166015625,0.0445556640625,3.30078125,274,10,1.25390625,,0.3100318982208021,0.24814838049428756,
34,train,-0.04383700340986252,95.75,-0.95751953125,-0.9580078125,0.06298828125,0.04364013671875,3.291015625,271,10,1.2490234375,,0.3127843047349239,0.24905789955716984,
35,train,-0.041393034160137177,96.0,-0.9599609375,-0.95947265625,0.06634521484375,0.042327880859375,3.29296875,292,10,1.23828125,,0.30118500682254445,0.23669553376858266,
36,train,-0.04165208712220192,96.0,-0.96044921875,-0.9599609375,0.0628662109375,0.042572021484375,3.2421875,308,10,1.232421875,,0.3029102200209969,0.22879351790591884,
37,train,-0.04123207554221153,96.125,-0.9609375,-0.9619140625,0.06561279296875,0.04193115234375,3.2578125,321,10,1.24609375,,0.2933257284441537,0.2216505999172802,
38,train,-0.041422221809625626,96.0625,-0.96044921875,-0.96044921875,0.061737060546875,0.041748046875,3.234375,324,10,1.2109375,,0.30162137734545724,0.2257396441208609,
39,train,-0.04132992774248123,96.0625,-0.9609375,-0.9599609375,0.0648193359375,0.042022705078125,3.255859375,340,10,1.2509765625,,0.2894544274191385,0.21616920623444813,
40,train,-0.04230579733848572,96.125,-0.96142578125,-0.9619140625,0.0662841796875,0.040283203125,3.333984375,334,10,1.27734375,,0.280345270223165,0.22167985671041557,
1,val,-0.034445710480213165,54.0,-0.5400390625,-0.57421875,0.0882568359375,0.2171630859375,3.333984375,6,5,1.4560546875,0.796255284406219,0.7755093049583981,0.6129338632809826,0.3252148484276296
2,val,-0.05270954221487045,62.90625,-0.62890625,-0.65869140625,0.173095703125,0.2340087890625,3.224609375,5,5,1.068359375,0.7823619833996002,0.7590948237260291,0.5614415996128437,0.31615668698512733
3,val,-0.11854740977287292,69.5625,-0.69580078125,-0.748046875,0.31591796875,0.23388671875,3.51171875,16,10,1.1904296875,0.6665341598042666,0.6301281004208332,0.6002228673228684,0.1568920623017465
4,val,-0.09002789109945297,72.3125,-0.72265625,-0.818359375,0.1746826171875,0.187744140625,3.6328125,15,7,1.59765625,0.6561690965264125,0.6176037341576472,0.5178443490819402,0.2813981219427931
5,val,-0.07380497455596924,68.8125,-0.68798828125,-0.82763671875,0.092529296875,0.1845703125,3.728515625,19,9,1.7060546875,0.6627478180716309,0.626703425456184,0.5899353371309801,0.1822166868616107
6,val,-0.07156649976968765,78.125,-0.78125,-0.84814453125,0.1661376953125,0.1650390625,3.470703125,21,7,1.638671875,0.6170822332959268,0.5733619546322086,0.46685079129363405,0.21252714160260222
7,val,-0.08020137250423431,75.9375,-0.75927734375,-0.86962890625,0.1422119140625,0.1666259765625,3.34765625,20,9,1.2041015625,0.6317619203310292,0.5905704941296611,0.5394190816467364,0.2697332033872013
8,val,-0.083204485476017,79.5625,-0.79541015625,-0.88818359375,0.121337890625,0.1566162109375,3.34765625,27,7,1.3125,0.5699751287909249,0.5177587163108819,0.39443628440866374,0.24415598715148862
9,val,-0.07223006337881088,79.25,-0.79296875,-0.904296875,0.0889892578125,0.1619873046875,3.306640625,25,7,1.298828125,0.5820935913025425,0.5320826711646777,0.40659890956577827,0.26763926834336144
10,val,-0.08269369602203369,79.375,-0.79345703125,-0.9150390625,0.1298828125,0.1552734375,3.40234375,33,8,1.3671875,0.5576502593504679,0.5050567682255078,0.4182950457222011,0.2757490013085347
11,val,-0.07552452385425568,80.25,-0.80224609375,-0.91943359375,0.1153564453125,0.1483154296875,3.470703125,33,10,1.4755859375,0.5417128846672558,0.48449353530937167,0.46147465213392425,0.2564278207053683
12,val,-0.10121877491474152,79.0625,-0.79052734375,-0.921875,0.129150390625,0.1500244140625,3.375,33,10,1.4345703125,0.5437008671869306,0.48703686134805113,0.4536636724662789,0.21814241079601562
13,val,-0.10180799663066864,76.0,-0.76025390625,-0.92724609375,0.11328125,0.1688232421875,3.224609375,31,9,1.2578125,0.5515521001876498,0.49620403777487376,0.4184570522439589,0.2897984426976308
14,val,-0.08345037698745728,78.125,-0.78125,-0.92529296875,0.0994873046875,0.1727294921875,3.416015625,30,9,1.2578125,0.5559357857157652,0.5014371316253101,0.4486110205151129,0.26458991254478176
15,val,-0.07923407852649689,79.9375,-0.7998046875,-0.927734375,0.1385498046875,0.1710205078125,3.55078125,37,10,1.2578125,0.5244930198010298,0.4639316986784662,0.4455719290800507,0.23570717336376207
16,val,-0.09578794240951538,77.625,-0.7763671875,-0.9326171875,0.1396484375,0.16943359375,3.498046875,37,9,1.298828125,0.529344825345596,0.47032375596114173,0.4178657119459994,0.21175274252944284
17,val,-0.08812642097473145,79.625,-0.79638671875,-0.93701171875,0.1343994140625,0.1497802734375,3.45703125,34,10,1.2177734375,0.5422698436320157,0.4858219273412804,0.4578824641141189,0.2431871514536846
18,val,-0.09308529645204544,76.8125,-0.7685546875,-0.94287109375,0.140625,0.1622314453125,3.51171875,40,10,1.2578125,0.5126119853708065,0.4496300961172476,0.42106505088575874,0.2389244684958564
19,val,-0.13324378430843353,74.9375,-0.74951171875,-0.9404296875,0.1439208984375,0.1767578125,3.40234375,40,10,1.1494140625,0.5207871178231716,0.46072616399964483,0.4296079785954978,0.2803257409898236
20,val,-0.09855315089225769,76.4375,-0.76416015625,-0.943359375,0.13427734375,0.1561279296875,3.361328125,38,9,1.1630859375,0.5278363518575062,0.4688640345824001,0.40857577367895415,0.2578523110675264
21,val,-0.07829803228378296,78.3125,-0.783203125,-0.94775390625,0.10919189453125,0.16943359375,3.3203125,43,10,1.2177734375,0.49959283766767904,0.433559135158747,0.38583499136255206,0.25109817875474455
22,val,-0.09315019100904465,78.3125,-0.783203125,-0.94921875,0.13134765625,0.1588134765625,3.353515625,41,10,1.2578125,0.5057987515285496,0.4409328777078314,0.40283915719994146,0.27223253908041334
23,val,-0.10664460808038712,78.25,-0.78271484375,-0.951171875,0.1153564453125,0.1678466796875,3.40234375,40,10,1.244140625,0.5152527542326121,0.4531769564068149,0.41507847100997786,0.20037262065303146
24,val,-0.07665061205625534,77.4375,-0.7744140625,-0.95263671875,0.0841064453125,0.16552734375,3.40234375,38,9,1.2314453125,0.5238449508952677,0.46362066538380586,0.3986186792707149,0.19712486942564417
25,val,-0.0824856385588646,78.625,-0.7861328125,-0.95361328125,0.12347412109375,0.168212890625,3.380859375,38,10,1.2314453125,0.5235553232377872,0.46325623738206245,0.42925467069441037,0.24035896966822223
26,val,-0.10071606189012527,76.5,-0.76513671875,-0.9560546875,0.122802734375,0.17138671875,3.45703125,44,10,1.3125,0.5031107930134974,0.4390496292723074,0.41222968735227017,0.2446381325385364
27,val,-0.13105154037475586,75.5625,-0.75537109375,-0.95458984375,0.16552734375,0.1734619140625,3.416015625,46,10,1.298828125,0.4922366878278981,0.42503524437795603,0.3926065788057239,0.19942377952831772
28,val,-0.13049569725990295,75.6875,-0.7568359375,-0.953125,0.1363525390625,0.1748046875,3.45703125,41,10,1.271484375,0.5124274231220194,0.4501824547030543,0.4240583115084372,0.21784125443133606
29,val,-0.07162779569625854,79.9375,-0.7998046875,-0.9560546875,0.09600830078125,0.1617431640625,3.3203125,47,10,1.1904296875,0.48790436388578384,0.41961022719520946,0.374332187339238,0.2562837107023254
30,val,-0.08444294333457947,79.8125,-0.79833984375,-0.95703125,0.1025390625,0.165771484375,3.375,42,10,1.33984375,0.5030421072629584,0.43773578458187334,0.4012935963306339,0.2246017606050788
31,val,-0.0671517625451088,76.4375,-0.76416015625,-0.951171875,0.09588623046875,0.160400390625,3.171875,46,10,1.2392578125,0.4967143020895529,0.43153193009355484,0.36248038257121706,0.21921594921717455
32,val,-0.08882376551628113,77.6875,-0.77734375,-0.95849609375,0.10931396484375,0.1783447265625,3.443359375,48,10,1.28515625,0.4858718164800828,0.4173449305754309,0.38244371156545376,0.21857531738180278
33,val,-0.09788856655359268,77.875,-0.7783203125,-0.95751953125,0.12310791015625,0.1502685546875,3.333984375,45,10,1.2314453125,0.5003193381767554,0.4358887242356877,0.3868965652747185,0.15373038129369132
34,val,-0.10824704170227051,76.5625,-0.765625,-0.9580078125,0.11944580078125,0.17333984375,3.361328125,47,10,1.2666015625,0.48928185537095503,0.42149887015371545,0.3804539095217335,0.19522933299878556
35,val,-0.1216130256652832,74.375,-0.74365234375,-0.95947265625,0.115966796875,0.1712646484375,3.421875,50,10,1.298828125,0.4721976130463851,0.398999259526548,0.3667228295296717,0.16794346671834337
36,val,-0.09776170551776886,77.625,-0.7763671875,-0.9599609375,0.13330078125,0.173095703125,3.326171875,45,10,1.2314453125,0.4893784785128841,0.42048101998195986,0.37710131963048954,0.23209626523071408
37,val,-0.07753174751996994,79.5,-0.794921875,-0.9619140625,0.09765625,0.1552734375,3.3671875,46,10,1.1357421875,0.48936631372596273,0.42107216789143165,0.38116490859196617,0.1751127157606864
38,val,-0.0967358946800232,75.0625,-0.75048828125,-0.96044921875,0.10693359375,0.15087890625,3.271484375,49,10,1.2177734375,0.484265419483637,0.41566226498845693,0.35992676617709995,0.20387737660571226
39,val,-0.08131978660821915,78.6875,-0.78662109375,-0.9599609375,0.11224365234375,0.141357421875,3.421875,50,10,1.298828125,0.4777273924411337,0.40692936611269803,0.3742518663104637,0.21822406303286043
40,val,-0.07392715662717819,78.1875,-0.78173828125,-0.9619140625,0.09228515625,0.162109375,3.298828125,47,10,1.2578125,0.4887262116913772,0.4207485329175794,0.3726775072479831,0.22946648618622106
