epoch,phase,loss,accuracy,reinf_sg,baseline,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,redund_smb,redund_smb_adj,top_sim
1,train,-0.06583711504936218,46.78125,-0.468017578125,-0.546875,0.307373046875,0.424072265625,2.15625,3124,10,0.935546875,,0.7603674192619574,0.3223502817810554,
2,train,-0.05846620351076126,62.4375,-0.62451171875,-0.66064453125,0.15087890625,0.188720703125,2.416015625,618,10,1.259765625,,0.7658713632082952,0.43368604991544524,
3,train,-0.051429156213998795,67.3125,-0.6728515625,-0.6884765625,0.06671142578125,0.14794921875,2.5625,454,10,1.4091796875,,0.753503399720397,0.44708217658139804,
4,train,-0.04931510239839554,68.8125,-0.6884765625,-0.68603515625,0.029937744140625,0.1405029296875,2.578125,389,10,1.4599609375,,0.7549947570718518,0.45825691938469526,
5,train,-0.056349918246269226,69.75,-0.697265625,-0.6943359375,0.060150146484375,0.1357421875,2.5,499,10,1.3623046875,,0.7480589319886723,0.42320200372794714,
6,train,-0.04459111765027046,69.75,-0.697265625,-0.6884765625,0.10565185546875,0.12298583984375,2.5,607,10,1.353515625,,0.7434644258705683,0.40538083629706523,
7,train,-0.04756058752536774,70.0625,-0.7001953125,-0.71044921875,0.1126708984375,0.1278076171875,2.42578125,510,10,1.25390625,,0.7424132831370296,0.376099254362916,
8,train,-0.053977176547050476,72.0,-0.7197265625,-0.72705078125,0.163330078125,0.129638671875,2.5546875,618,10,1.392578125,,0.7317601935849672,0.3953334435106538,
9,train,-0.05006382241845131,72.6875,-0.72705078125,-0.73681640625,0.1300048828125,0.12188720703125,2.548828125,308,10,1.4384765625,,0.7416928057535673,0.4147905602056964,
10,train,-0.049868304282426834,73.0625,-0.73046875,-0.736328125,0.1287841796875,0.11907958984375,2.537109375,253,10,1.3837890625,,0.7359275672735329,0.3986306922181877,
11,train,-0.04782073572278023,73.0625,-0.73095703125,-0.7158203125,0.1336669921875,0.11529541015625,2.4453125,445,10,1.2685546875,,0.7286368236652216,0.3519924273268984,
12,train,-0.04525139182806015,72.0625,-0.720703125,-0.72607421875,0.171630859375,0.115234375,2.32421875,461,10,1.068359375,,0.72477367225795,0.2960183208510454,
13,train,-0.03836604207754135,73.1875,-0.73193359375,-0.74609375,0.13330078125,0.1090087890625,2.353515625,383,10,1.1259765625,,0.7215791387847259,0.29967849385467993,
14,train,-0.04763258621096611,75.25,-0.75244140625,-0.7568359375,0.1319580078125,0.1077880859375,2.61328125,421,10,1.416015625,,0.7061899947318488,0.3580443671897868,
15,train,-0.05057116225361824,75.125,-0.75146484375,-0.74658203125,0.10455322265625,0.1107177734375,2.50390625,266,10,1.3359375,,0.7154891641190364,0.3457823091094824,
16,train,-0.04807166010141373,75.3125,-0.7529296875,-0.75146484375,0.1136474609375,0.10931396484375,2.53515625,248,10,1.3896484375,,0.7186604421442416,0.3629865958124825,
17,train,-0.05044737085700035,76.875,-0.7685546875,-0.7802734375,0.09503173828125,0.1070556640625,2.595703125,253,10,1.453125,,0.7109892472253777,0.36728850087857634,
18,train,-0.05089680477976799,76.875,-0.76904296875,-0.75634765625,0.0615234375,0.10760498046875,2.59375,223,10,1.4462890625,,0.7093463719201996,0.363944212369973,
19,train,-0.0470830462872982,77.375,-0.7734375,-0.77783203125,0.0936279296875,0.1044921875,2.59765625,397,10,1.3994140625,,0.6992593681944853,0.3430208960087612,
20,train,-0.049140624701976776,78.25,-0.7822265625,-0.7822265625,0.0726318359375,0.10186767578125,2.673828125,441,10,1.4755859375,,0.6926111462537285,0.3536549413395258,
21,train,-0.04798857122659683,78.9375,-0.78955078125,-0.7919921875,0.07647705078125,0.09918212890625,2.732421875,465,10,1.4970703125,,0.682915833048434,0.35173773089223304,
22,train,-0.052148785442113876,79.375,-0.7939453125,-0.79541015625,0.06683349609375,0.10113525390625,2.755859375,421,10,1.525390625,,0.6852733607485176,0.36224592471355554,
23,train,-0.04976416751742363,79.0625,-0.791015625,-0.7900390625,0.07452392578125,0.10101318359375,2.720703125,469,10,1.4970703125,,0.6850266465843629,0.3515512905110124,
24,train,-0.050797633826732635,78.75,-0.78759765625,-0.7861328125,0.079345703125,0.10400390625,2.673828125,789,10,1.3564453125,,0.6661536024645944,0.2966383821191668,
25,train,-0.05017954483628273,79.25,-0.79248046875,-0.7939453125,0.08843994140625,0.101318359375,2.79296875,801,10,1.3330078125,,0.6444551191541867,0.2902942626792061,
26,train,-0.0459420271217823,79.5,-0.79541015625,-0.8037109375,0.08380126953125,0.09906005859375,2.74609375,675,10,1.4189453125,,0.6634030460646074,0.31606089371541,
27,train,-0.04731984809041023,80.375,-0.80419921875,-0.80029296875,0.09320068359375,0.09478759765625,2.826171875,699,10,1.4765625,,0.6561753336516931,0.3257076662580656,
28,train,-0.045655302703380585,80.875,-0.80908203125,-0.8125,0.08935546875,0.09332275390625,2.8515625,550,10,1.5458984375,,0.6565461541352553,0.33419474901705715,
29,train,-0.04834003746509552,80.625,-0.80615234375,-0.80615234375,0.0892333984375,0.0938720703125,2.853515625,749,10,1.5029296875,,0.6465776481016681,0.3147802051378866,
30,train,-0.04704147204756737,80.9375,-0.8095703125,-0.80712890625,0.0780029296875,0.0902099609375,2.853515625,467,10,1.5986328125,,0.6647210307202032,0.3492730163724017,
31,train,-0.046842195093631744,80.5625,-0.8056640625,-0.80810546875,0.078125,0.09478759765625,2.763671875,523,10,1.4931640625,,0.6660476393737079,0.32689520580797893,
32,train,-0.04759702458977699,80.75,-0.8076171875,-0.8095703125,0.0799560546875,0.091064453125,2.82421875,745,10,1.50390625,,0.656270908768706,0.32407303135711085,
33,train,-0.04558175802230835,81.25,-0.8125,-0.81201171875,0.08026123046875,0.0911865234375,2.873046875,890,10,1.5390625,,0.646273620573758,0.3195671283834237,
34,train,-0.04564463719725609,82.0,-0.8203125,-0.82080078125,0.0860595703125,0.09039306640625,2.955078125,879,10,1.5791015625,,0.635939069799965,0.32263775795161964,
35,train,-0.04976580664515495,82.25,-0.822265625,-0.83056640625,0.0753173828125,0.09124755859375,2.998046875,816,10,1.58984375,,0.6356264433034734,0.3337691013055123,
36,train,-0.04441174864768982,82.0625,-0.82080078125,-0.82275390625,0.077880859375,0.09173583984375,2.9375,868,10,1.5400390625,,0.6329487104555469,0.31393001876939985,
37,train,-0.047310393303632736,81.6875,-0.81640625,-0.8095703125,0.08990478515625,0.09100341796875,2.95703125,929,10,1.5654296875,,0.6346880006660128,0.32137234804161185,
38,train,-0.04391705244779587,82.1875,-0.82177734375,-0.8193359375,0.0728759765625,0.0889892578125,2.95703125,682,10,1.6513671875,,0.648534841500745,0.3460665327806387,
39,train,-0.04348016530275345,82.4375,-0.82421875,-0.82861328125,0.07171630859375,0.08624267578125,2.962890625,760,10,1.5908203125,,0.6368014058797002,0.32607682750449085,
40,train,-0.04609161615371704,82.0625,-0.82080078125,-0.814453125,0.063720703125,0.08905029296875,2.9375,721,10,1.591796875,,0.6430409367499161,0.3315559810804305,
1,val,-0.026750994846224785,54.15625,-0.54150390625,-0.546875,0.316650390625,0.259521484375,2.34375,23,5,1.083984375,0.7241792972693569,0.815170868025791,0.3717671837461737,0.17117363975107913
2,val,-0.04210873320698738,61.6875,-0.61669921875,-0.66064453125,0.1453857421875,0.1954345703125,2.572265625,26,7,1.30078125,0.6704705151742574,0.7779873584733867,0.42634515886907587,0.18195313712162614
