epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_act_nn,redundancy_max_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn
1,train,received,5.928656101226807,72.375,73.5,1.5,2.234375,3.185546875,1780,10,5.8203125,9.5703125,5.811199029479413,5.811318200448652,5.813172784185694,5.847342096692445,5.748572788432103,5.7506825897322855,5.781695745487619,5.894660248446103,0.391845703125,0.4580078125,,,4.79296875,0.042259235575624964,0.339132427356242,0.16249493633939036,0.22553747681839287,8.593257268391513,2.8425852324799186,0.3307925206586994,3.467733417061257,1.4006761360194275,0.40391690120356355,8.567556554682316,2.7618710447269796,0.32236391170567413,2733,10,5.15234375,11.234375,5.142391709198302,5.142513548760592,5.143654794968239,5.179929772681154,5.118900803382073,5.12107167686076,5.140699932240944,5.271186659380512,0.54150390625,0.59375,,,0.24204141303273624,0.45755505786060835,0.2855172362990904,0.2662140919603081,8.593257268391513,3.0847925898475,0.3589782655750643,3.467733417061257,1.5237542883803625,0.43940929279150687,,,
2,train,received,3.439783811569214,84.1875,85.375,1.474609375,2.318359375,3.30859375,381,10,5.94140625,9.5546875,5.932764476041148,5.932884370774801,5.935022441475539,5.968922299926612,5.908183919996993,5.910283685599787,5.946304229905886,6.053001692717092,0.378173828125,0.447021484375,,,4.87109375,0.012175221201254353,0.3588902071670729,0.17157424687832404,0.224202254844869,8.596105573638818,3.1054519231988884,0.3612626551170101,3.4914774232881047,1.5470859214877013,0.44310351576918705,8.5839573904517,3.041400037991558,0.35431210799981794,332,10,5.296875,11.3671875,5.286004008257668,5.286126706051879,5.287648779196487,5.323569119005536,5.238788368210571,5.240965548135755,5.2665415126574615,5.390897284335791,0.53369140625,0.58203125,,,0.22544238830069696,0.5155360159664876,0.3000540284065267,0.26748355353599684,8.596105573638818,3.416040051425373,0.3973939154378404,3.4914774232881047,1.6920774634068625,0.4846307904272071,,,
3,train,received,2.595956325531006,87.8125,88.9375,1.4501953125,2.39453125,3.404296875,375,10,6.18359375,9.9296875,6.169864952844113,6.169981192813579,6.172862492207811,6.204984028956942,6.126375799387027,6.128443729652878,6.177041426768674,6.2684598543681895,0.377197265625,0.42431640625,,,5.10546875,0.02263012507676339,0.3504891810376177,0.18624075917908825,0.19690484462544744,8.592503938998753,3.2076350314387545,0.3733062043626513,3.4666469020900372,1.601458731293806,0.46196188320428266,8.584924238230371,3.1459726559861236,0.3664531647206021,342,10,5.5546875,11.8828125,5.5466233991941465,5.54674138701117,5.548447963060311,5.582907174576391,5.49485673590837,5.49699111078789,5.526247858840344,5.643457292186843,0.53271484375,0.56201171875,,,0.2446824171420177,0.5062164987985955,0.3066187919908173,0.23044718761726102,8.592503938998753,3.560321688506015,0.41435205776826023,3.4666469020900372,1.769077284427611,0.5103136645849442,,,
4,train,received,2.155160665512085,89.4375,90.6875,1.42578125,2.447265625,3.474609375,561,10,6.58984375,9.8828125,6.58514759541853,6.585259381732904,6.588498520937821,6.618782058469763,6.52671497684347,6.528718022632472,6.582912556067521,6.663416030404848,0.3330078125,0.38671875,,,5.6328125,0.019428131633077297,0.3086134425846074,0.14728671956912173,0.17342166291812727,8.594222128760743,3.3469720048896603,0.3894444377564956,3.478122083756337,1.6473812835176682,0.4736410177237117,8.588841766919648,3.296881114634,0.38385631079292926,540,10,6.20703125,11.9140625,6.193858496774697,6.193969745147095,6.196248522936344,6.227934321957521,6.1335882623130775,6.135631942474885,6.17528530632556,6.274294932741013,0.47900390625,0.51025390625,,,0.21118224238814304,0.4803287193644507,0.278697987838111,0.23715818272686726,8.594222128760743,3.8077869015854056,0.443063589064398,3.478122083756337,1.8821620579393707,0.5411431837684819,,,
5,train,received,1.8230807781219482,91.125,92.375,1.40234375,2.50390625,3.5625,688,10,7.02734375,10.1875,7.016840953588406,7.016947539880526,7.021498429224608,7.04886151660387,6.923329223680346,6.925274839607436,7.001349331885285,7.055073890825202,0.31005859375,0.345703125,,,6.125,0.02613251414713783,0.2726678196512982,0.13292855833533515,0.15134222496831057,8.594620902526342,3.5042706531415515,0.4077283562456478,3.4723773789316335,1.6575034925965442,0.47733967588123094,8.589157046382333,3.4524560182831667,0.40195516272895565,646,10,6.72265625,12.2578125,6.704963202498071,6.705068592695046,6.707980146989222,6.737171490462026,6.667741465065802,6.669703728526157,6.721288480349608,6.8015616234266325,0.45166015625,0.469970703125,,,0.21939266456413062,0.4607880617760034,0.26443803308032027,0.2228872999057536,8.594620902526342,3.999586877810831,0.4653593128971138,3.4723773789316335,1.9052757565817036,0.5486948993913533,,,
6,train,received,1.6048738956451416,92.1875,93.5,1.37890625,2.572265625,3.666015625,859,10,7.13671875,10.2578125,7.126063592559448,7.126167958496439,7.130848707699941,7.157478733150617,7.0124641641005745,7.014388098165827,7.090565707197257,7.142613933022757,0.3046875,0.335693359375,,,6.18359375,0.05220175972949735,0.27129561413997777,0.1266327662689757,0.14966429270050038,8.594721693436192,3.567528851941791,0.41508369662118566,3.465213602913056,1.6506557906376846,0.4763503725282763,8.591863838320062,3.5054945462395333,0.4080016411113134,900,10,6.8203125,12.296875,6.807467737191837,6.80757075493648,6.810444126351454,6.8390402247757125,6.749640544934957,6.75157982615765,6.802043037059676,6.881834894092506,0.4453125,0.462158203125,,,0.2319247511018544,0.4442014558478096,0.24060693655844723,0.21511236711926154,8.594721693436192,4.089043670923632,0.47576219647070644,3.465213602913056,1.9121753187348185,0.5518203314010239,,,
7,train,received,1.478562831878662,92.6875,93.9375,1.35546875,2.58984375,3.685546875,1003,10,7.16796875,10.296875,7.1585717958857416,7.1586757965143635,7.163483004653903,7.189871614349329,7.056248489451823,7.058165966912767,7.138122699286178,7.18584797709904,0.3037109375,0.332763671875,,,6.23046875,0.0270847646037965,0.25198092528823113,0.1352303172478704,0.14144834168698908,8.592139457776248,3.585533492467002,0.41730392180982856,3.4872556514426645,1.6867732005620724,0.483696456227481,8.591634861180168,3.527686573408455,0.4105954955497123,1027,10,6.85546875,12.328125,6.844436867986864,6.844540345390253,6.847416267007534,6.87601328777941,6.748314983606667,6.750256698396915,6.800195748803899,6.88063466094288,0.44384765625,0.459228515625,,,0.20806680661322988,0.43371281645583437,0.23877369240501045,0.19936860808220416,8.592139457776248,4.123173439760294,0.4798773879337641,3.4872556514426645,1.960700434679561,0.5622474033036341,,,
8,train,received,1.3835442066192627,93.125,94.4375,1.3330078125,2.60546875,3.7109375,1061,10,7.2578125,10.3203125,7.244298106012198,7.244401849061214,7.249386450000642,7.275401315012705,7.117105804391699,7.119012454326706,7.201118708267367,7.245829079798865,0.29638671875,0.32421875,,,6.37890625,0.052166404444827036,0.2920973941795011,0.12889243290558017,0.1561746458366462,8.595176115201273,3.6118467704437274,0.42021788989941466,3.486971833331599,1.6588059224734222,0.47571532027218283,8.59099234496774,3.5451326193974104,0.41265694078682397,1083,10,6.98828125,12.359375,6.978457213590971,6.978560305598302,6.9815854029799755,7.00977907513364,6.918777105900866,6.920692191420511,6.9735503906105425,7.048851826302621,0.4345703125,0.44873046875,,,0.24149918957029617,0.47040423280119237,0.25057541375382075,0.22093521482801495,8.595176115201273,4.175937788332477,0.4858466810176221,3.486971833331599,1.947819792522134,0.5585992332668502,,,
9,train,received,1.3210989236831665,93.5625,94.75,1.310546875,2.6015625,3.703125,1106,10,7.33984375,10.3359375,7.333044950071588,7.333145129365021,7.338125875627933,7.363348482718068,7.19996075950902,7.201848932368762,7.284894342817026,7.32729960689643,0.289794921875,0.31689453125,,,6.4609375,0.05746234393016087,0.27789247911617754,0.1118711491308261,0.13510267828616798,8.58704562122675,3.642873273958857,0.42422894143637196,3.4682451397549086,1.682012646887543,0.4849751326996471,8.585778801183661,3.5875687886078067,0.4178501300444887,1132,10,7.10546875,12.359375,7.089653055018782,7.08975115685604,7.092746021408068,7.1198472958940195,7.011323953005617,7.013214564379303,7.066885474967433,7.1396606055648935,0.425048828125,0.439697265625,,,0.24047478809128311,0.44413101006537425,0.2184331728274516,0.20126355609696023,8.58704562122675,4.237308017295116,0.49345353503429645,3.4682451397549086,1.9871495852082681,0.572955343447463,,,
10,train,received,1.265494465827942,93.875,95.125,1.2880859375,2.59765625,3.69921875,1188,10,7.36328125,10.34375,7.354377482657613,7.354476850410172,7.359364954546659,7.384478363654895,7.244501167721154,7.246377129740025,7.329068191044259,7.370969218076768,0.287841796875,0.314453125,,,6.46484375,0.06397195914482393,0.2933967559164159,0.12747181187364948,0.14027639170430872,8.594692513110608,3.654467050217179,0.4252004413936325,3.4945846921163417,1.6965787425177261,0.48548794549038893,8.5942085135209,3.597271286082168,0.41856923536620444,1255,10,7.12890625,12.328125,7.1143304907483955,7.114427397541513,7.117317083191653,7.144223090044727,7.006316864781303,7.008204714851336,7.060005801021334,7.134504911491408,0.421875,0.43798828125,,,0.2521714376134033,0.44948458559168675,0.23099134536323687,0.20698823671107947,8.594692513110608,4.238241451067652,0.4931231041253085,3.4945846921163417,1.9951323366981075,0.5709211572977627,,,
