epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_input,mutual_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_nn,time_entropy_msg_nn,time_entropy_msg_mc_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,sent,0.5389953255653381,74.9375,75.5,1.8974609375,2.263671875,2.263671875,1047,11,7.35546875,9.2734375,0.02185240387916565,7.348772735812202,0.5782461410854012,1.5244140625,0.2069091796875,,,2.8154480426116892,0.3041048014057331,8.593436764570743,2.824806113198485,0.32871669281895144,0.1771240234375,3.492807846993127,1.3789477654338924,0.3947963431830339,0.1270751953125,786,10,1.66796875,6.70703125,8.9140625,6.703704334260727,0.022400381974875927,0.5829202900640666,0.247314453125,,,8.593436764570743,2.7806792490198733,0.3235817432769313,0.1817626953125,3.492807846993127,1.3908997557519953,0.39821822919614286,0.1363525390625,0.31405690878727494
2,train,sent,0.3061317205429077,85.6875,86.25,2.400390625,2.41015625,2.41015625,401,11,7.140625,9.34375,0.02156718005426228,7.141962845433784,0.5776080929208547,1.798828125,0.2357177734375,,,2.7592241479231223,0.3034583098203287,8.593204167935461,2.9327959564243704,0.34129247939525936,0.1864013671875,3.4869849415411656,1.4652562872966204,0.4202072311356216,0.1378173828125,246,10,1.994140625,6.4296875,8.9765625,6.428637142834339,0.022676074877381325,0.5782559150829911,0.283447265625,,,8.593204167935461,2.909766872967623,0.33861256128710154,0.1937255859375,3.4869849415411656,1.4842552297364975,0.42565576124354915,0.149658203125,0.3120270739541703
3,train,sent,0.24897146224975586,88.625,89.125,2.685546875,2.443359375,2.443359375,326,11,7.2890625,9.40625,0.02237280597910285,7.281669319690604,0.5842296460177749,1.7919921875,0.22509765625,,,2.6568119173664027,0.3321990467883738,8.59614486726527,2.946893820427289,0.3428157465853408,0.185546875,3.4721820388092928,1.5099796055639425,0.43487915918191783,0.1402587890625,176,10,1.982421875,6.57421875,9.03125,6.574611501458532,0.02303212694823742,0.5779072169680148,0.272216796875,,,8.59614486726527,2.9266383026471674,0.3404593975366811,0.19287109375,3.4721820388092928,1.5269656302288466,0.43977119090002703,0.1519775390625,0.3443933326771338
4,train,sent,0.20907805860042572,91.0625,91.625,2.87109375,2.482421875,2.482421875,305,11,7.3359375,9.5,0.022128749871626496,7.331791936289587,0.5805331838782877,1.83984375,0.227783203125,,,2.648179080604959,0.31169134386912867,8.599513520773764,2.999826884062627,0.34883681231687974,0.188232421875,3.4831813288012228,1.546536852284392,0.44400124664674023,0.1429443359375,169,10,2.037109375,6.6015625,9.1171875,6.597317133530621,0.022922466043382883,0.5780425230041146,0.276123046875,,,8.599513520773764,2.9986337640904415,0.3486980695880843,0.197265625,3.4831813288012228,1.5684259042255135,0.45028545923140484,0.155517578125,0.32796760477690434
5,train,sent,0.1840311884880066,92.1875,92.75,2.97265625,2.494140625,2.494140625,281,11,7.3203125,9.4609375,0.022472887998446822,7.316240443577616,0.5792456569615752,1.873046875,0.2259521484375,,,2.696848757253691,0.31013253236734956,8.592946387972614,3.085185933008252,0.35903702801247883,0.19384765625,3.4701887510807286,1.5818464868178754,0.45583874546456227,0.1466064453125,144,10,2.076171875,6.58984375,9.0859375,6.588675368152289,0.02425700705498457,0.5788555850740522,0.2744140625,,,8.592946387972614,3.09104506414631,0.35971888157859194,0.20361328125,3.4701887510807286,1.6063843051991222,0.4629097782357926,0.15966796875,0.3223708728720184
6,train,sent,0.16561950743198395,93.125,93.5625,3.0546875,2.49609375,2.49609375,263,11,7.328125,9.515625,0.021626988891512156,7.329540535200749,0.581612859852612,1.8935546875,0.230224609375,,,2.744705300949925,0.2848158584262568,8.597300715292523,3.155802159430017,0.3670689515159807,0.1981201171875,3.4888630479617477,1.6002681220626291,0.45867897365519483,0.14794921875,135,10,2.09765625,6.58203125,9.140625,6.575624300114421,0.022744167130440474,0.5809794391971081,0.280029296875,,,8.597300715292523,3.1661243272785287,0.3682695804331652,0.2086181640625,3.4888630479617477,1.6259988438563555,0.46605407592777004,0.1614990234375,0.2956620361107373
7,train,sent,0.15181994438171387,93.75,94.1875,3.138671875,2.49609375,2.49609375,261,11,7.33203125,9.5,0.02267910400405526,7.322116873282062,0.5795467158313841,1.89453125,0.2281494140625,,,2.7901940064828823,0.30375678338845813,8.595937147844577,3.2301969219174467,0.3757818218491064,0.2027587890625,3.47904811416343,1.612361166951632,0.463448941791752,0.149169921875,135,10,2.10546875,6.5859375,9.1171875,6.58292543993977,0.023964456049725413,0.5758956440258771,0.27783203125,,,8.595937147844577,3.2416481287692243,0.3771139868771684,0.2135009765625,3.47904811416343,1.634863340485719,0.46991685278225515,0.162353515625,0.32208475337222847
8,train,sent,0.14337211847305298,94.1875,94.625,3.18359375,2.49609375,2.49609375,255,11,7.37109375,9.53125,0.022185667185112834,7.36537739986301,0.5765213260892779,1.9091796875,0.226318359375,,,2.8209468253843273,0.331240161002521,8.592775904383087,3.2796418684545925,0.3816743163034987,0.2054443359375,3.493794088245349,1.642112683105987,0.4700084325606858,0.151123046875,131,10,2.115234375,6.625,9.1484375,6.624719647769446,0.023552512982860208,0.5775168689433485,0.276123046875,,,8.592775904383087,3.308045637079954,0.3849798567879041,0.2174072265625,3.493794088245349,1.6684735038561715,0.4775534738780531,0.1649169921875,0.346894007578463
9,train,sent,0.13444049656391144,94.625,95.0625,3.26953125,2.498046875,2.498046875,253,11,7.37109375,9.5390625,0.02507564495317638,7.367536332010155,0.5777336838655174,1.9150390625,0.2275390625,,,2.8401657120753114,0.29003316817879066,8.59673766194246,3.3099030278628874,0.38501849864696286,0.207275390625,3.4697949279045535,1.6451285791997128,0.47412847542353853,0.1517333984375,127,10,2.12890625,6.61328125,9.1640625,6.6082923575578745,0.024006588850170374,0.5772988090757281,0.27783203125,,,8.59673766194246,3.33640300347459,0.38810106050400517,0.2193603515625,3.4697949279045535,1.6673496286969645,0.48053261456114205,0.165283203125,0.29975354742169025
10,train,sent,0.12814629077911377,94.9375,95.3125,3.302734375,2.498046875,2.498046875,228,11,7.328125,9.546875,0.02208616491407156,7.320270561405558,0.5790567179210484,1.927734375,0.232666015625,,,2.8524472604144595,0.2785874786153588,8.5927908200612,3.3488704345551747,0.38973024069627277,0.2103271484375,3.4975054013510416,1.691045283703824,0.4835004066185558,0.15625,114,10,2.140625,6.5625,9.1640625,6.554904567999527,0.023404028033837676,0.5766809592023492,0.2841796875,,,8.5927908200612,3.3763737362228587,0.3929309821368154,0.2227783203125,3.4975054013510416,1.720118124442629,0.49181285718048334,0.1710205078125,0.296829540716593
