epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,time_entropy_msg,entropy_msg_mc,time_entropy_msg_mc,max_rep,redundancy,KLD_train_test,KLD_test_train,MI_sent_received,topsim,entropy_input,mutual_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat
1,train,baseline,1.8605197668075562,20.0625,20.0625,0.875,0.0004456043243408203,0.0004456043243408203,10,10,0.0,0.0,0.0010611750185489655,0.00010068370068071844,0.5116275220643729,0.0004372596740722656,-inf,,,7.417187036713412e-05,0.050414823321229756,8.594677002108746,1.491665910715868e-07,1.7355694813776953e-08,0.0,3.468711210115992,2.614889054167985e-06,7.538503195486673e-07,7.748603820800781e-07
2,train,baseline,1.8864209651947021,19.921875,19.921875,0.875,0.0,0.0,1,1,0.0,0.0,0.0009907919447869062,0.00010068370068071844,0.5127597919199616,0.0,-inf,,,7.417187036713412e-05,0.05047525960417771,8.590551661506495,1.693149078643431e-07,1.9709433635447218e-08,0.0,3.480436391393236,2.5869646522660717e-06,7.432874390876303e-07,7.152557373046875e-07
3,train,baseline,1.8585649728775024,19.953125,19.953125,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009400008711963892,0.00010068370068071844,0.5221335832029581,0.0,-inf,,,7.417187036713412e-05,0.050507906947647216,8.595291670392527,1.4892848464811992e-07,1.7326751710022973e-08,0.0,3.4786882033365947,2.5649471919666768e-06,7.373317302500695e-07,7.152557373046875e-07
4,train,baseline,1.8604068756103516,19.953125,19.953125,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009812728967517614,0.00010068370068071844,0.5138897309079766,0.0,-inf,,,7.417187036713412e-05,0.05047365227191822,8.593260203937174,1.625019416731378e-07,1.891039463679737e-08,0.0,3.4815162783529625,2.5257202857989215e-06,7.254655971316586e-07,7.152557373046875e-07
5,train,baseline,1.898398518562317,19.921875,19.921875,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0008999400306493044,0.00010068370068071844,0.5249705270398408,0.0,-inf,,,7.417187036713412e-05,0.050480431550485934,8.595524720897727,1.496112949009033e-07,1.740571980872364e-08,0.0,3.485961962966563,2.49423048969491e-06,7.155070870516077e-07,7.152557373046875e-07
6,train,baseline,1.8618658781051636,19.921875,19.921875,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009633209556341171,0.00010068370068071844,0.5120350390207022,0.0,-inf,,,7.417187036713412e-05,0.050619475502294425,8.593671765624542,1.544956864587833e-07,1.7977843542591413e-08,0.0,3.477656616478258,2.518176450464732e-06,7.241015224254173e-07,7.152557373046875e-07
7,train,baseline,1.8707700967788696,19.96875,19.96875,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009538431186228991,0.00010068370068071844,0.5125466710887849,0.0,-inf,,,7.417187036713412e-05,0.05056380514159226,8.599912322599284,1.2831544448446708e-07,1.4920552637179017e-08,0.0,3.4925916119220584,2.505947320755847e-06,7.175036761245507e-07,7.152557373046875e-07
8,train,baseline,1.8888522386550903,19.78125,19.78125,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009250510483980179,0.00010068370068071844,0.5110189910046756,0.0,-inf,,,7.417187036713412e-05,0.05055630859378096,8.594140371924812,1.5503054927948356e-07,1.8039099033794545e-08,0.0,3.4666380152897105,2.663900701797256e-06,7.684392457614676e-07,7.748603820800781e-07
9,train,baseline,1.8940297365188599,19.875,19.875,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009643221274018288,0.00010068370068071844,0.5124225851614028,0.0,-inf,,,7.417187036713412e-05,0.05055741647988321,8.597663922027024,1.3787632457210053e-07,1.603648686695748e-08,0.0,3.4686232850310876,2.6286710172942763e-06,7.578427523791234e-07,7.748603820800781e-07
10,train,baseline,1.9700435400009155,19.84375,19.84375,0.87451171875,0.0,0.0,1,1,0.0,0.0,0.0009673819877207279,0.00010068370068071844,0.5137808418367058,0.0,-inf,,,7.417187036713412e-05,0.050379137675698946,8.597017631247455,1.4238416755987815e-07,1.6562042055416575e-08,0.0,3.486685844071187,2.6047065024772665e-06,7.470436451584385e-07,7.748603820800781e-07
