epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_attr,entropy_shape,mutual_info_msg_shape,variation_of_info_msg_shape,proficiency_msg_shape,redundancy_msg_shape,entropy_color,mutual_info_msg_color,variation_of_info_msg_color,proficiency_msg_color,redundancy_msg_color,entropy_xpos,mutual_info_msg_xpos,variation_of_info_msg_xpos,proficiency_msg_xpos,redundancy_msg_xpos,entropy_ypos,mutual_info_msg_ypos,variation_of_info_msg_ypos,proficiency_msg_ypos,redundancy_msg_ypos,entropy_rotation,mutual_info_msg_rotation,variation_of_info_msg_rotation,proficiency_msg_rotation,redundancy_msg_rotation
1,train,baseline,1.1106222867965698,44.1875,44.1875,0.88818359375,1.5224609375,1.5224609375,693,10,6.106922571395131,6.171875,6.453125,0.74755859375,0.04345703125,,,0.09284126154039193,10.086825667978502,2.563472392503777,0.0190582275390625,8.6953125,0.0074310302734375,0.0021820068359375,2.9309428088276523,0.11798095703125,8.8671875,0.040252685546875,0.01296234130859375,2.3208749086533187,0.494140625,7.50390625,0.212890625,0.05816650390625,2.320484016375942,0.04351806640625,8.40625,0.0187530517578125,0.005126953125,1.2708642824277918,0.0021152496337890625,7.4375,0.0016641616821289062,0.0002841949462890625
2,train,baseline,0.7492036819458008,61.15625,61.15625,1.08984375,1.580078125,1.580078125,348,10,5.449087773742,5.58203125,6.9375,0.99365234375,0.1954345703125,,,0.15351012601495984,10.086825667978504,2.563472392503777,0.036773681640625,8.0703125,0.01435089111328125,0.0045166015625,2.9309428088276515,0.2332763671875,8.046875,0.07958984375,0.02740478515625,2.3208749086533187,0.89453125,6.11328125,0.385498046875,0.1131591796875,2.320484016375942,0.056396484375,7.7890625,0.0243072509765625,0.00713348388671875,1.2708642824277918,0.00567626953125,6.84375,0.004467010498046875,0.0008282661437988281
3,train,baseline,0.626417338848114,67.0,67.0,1.3681640625,1.6826171875,1.6826171875,278,10,4.807297658790296,5.4921875,7.265625,1.189453125,0.244140625,,,0.16195447036546962,10.086825667978513,2.563472392503777,0.0399169921875,7.9765625,0.01556396484375,0.004955291748046875,2.9309428088276515,0.2471923828125,7.9296875,0.0843505859375,0.0293426513671875,2.3208749086533187,1.0048828125,5.80078125,0.43310546875,0.128662109375,2.320484016375942,0.08660888671875,7.63671875,0.037322998046875,0.01108551025390625,1.2708642824277918,0.005397796630859375,6.75,0.00424957275390625,0.0007982254028320312
4,train,baseline,0.5735654234886169,70.8125,70.8125,1.5419921875,1.7451171875,1.7451171875,240,10,4.6297942315899405,5.59765625,7.44140625,1.236328125,0.2476806640625,,,0.15536595604040915,10.086825667978484,2.563472392503777,0.03985595703125,8.0859375,0.0155487060546875,0.0048828125,2.9309428088276523,0.2427978515625,8.046875,0.08282470703125,0.028472900390625,2.3208749086533187,1.015625,5.88671875,0.437744140625,0.1282958984375,2.320484016375942,0.10125732421875,7.71484375,0.04364013671875,0.012786865234375,1.2708642824277918,0.004962921142578125,6.859375,0.00390625,0.0007224082946777344
5,train,baseline,0.5192611217498779,74.1875,74.1875,1.6611328125,1.78125,1.78125,225,10,4.623003401448053,5.80078125,7.5546875,1.2421875,0.2320556640625,,,0.15158466872226936,10.086825667978498,2.563472392503777,0.044830322265625,8.2734375,0.017486572265625,0.005359649658203125,2.9309428088276515,0.249755859375,8.234375,0.085205078125,0.0286102294921875,2.3208749086533187,1.01953125,6.08203125,0.439208984375,0.12548828125,2.320484016375942,0.093505859375,7.93359375,0.040283203125,0.01151275634765625,1.2708642824277918,0.004665374755859375,7.0625,0.0036716461181640625,0.000659942626953125
6,train,baseline,0.48861515522003174,75.6875,75.6875,1.712890625,1.7978515625,1.7978515625,218,10,4.718724396481657,5.87890625,7.61328125,1.248046875,0.227783203125,,,0.15079942256546036,10.086825667978491,2.563472392503777,0.050048828125,8.34375,0.0195159912109375,0.00592803955078125,2.9309428088276515,0.264404296875,8.28125,0.0902099609375,0.029998779296875,2.3208749086533187,0.99462890625,6.2109375,0.428466796875,0.12127685546875,2.320484016375942,0.104248046875,7.9921875,0.044921875,0.0127105712890625,1.2708642824277918,0.005214691162109375,7.140625,0.004100799560546875,0.0007290840148925781
7,train,baseline,0.4591403603553772,77.3125,77.3125,1.7685546875,1.78515625,1.78515625,214,10,4.865051597587123,6.0078125,7.578125,1.1826171875,0.207275390625,,,0.15253612310226286,10.086825667978506,2.563472392503777,0.0487060546875,8.4765625,0.0189971923828125,0.00568389892578125,2.9309428088276523,0.26416015625,8.40625,0.09014892578125,0.0295562744140625,2.3208749086533187,0.97021484375,6.38671875,0.41796875,0.11651611328125,2.320484016375942,0.11517333984375,8.09375,0.04962158203125,0.01383209228515625,1.2708642824277918,0.004425048828125,7.26953125,0.0034809112548828125,0.0006079673767089844
8,train,baseline,0.44078874588012695,78.3125,78.3125,1.7685546875,1.806640625,1.806640625,213,10,4.9906549269282445,6.02734375,7.63671875,1.19921875,0.2109375,,,0.14738321061614165,10.086825667978497,2.563472392503777,0.05133056640625,8.484375,0.02001953125,0.005977630615234375,2.9309428088276515,0.2744140625,8.40625,0.0936279296875,0.0306243896484375,2.3208749086533187,0.98583984375,6.375,0.4248046875,0.11810302734375,2.320484016375942,0.1041259765625,8.140625,0.044891357421875,0.01247406005859375,1.2708642824277918,0.00458526611328125,7.2890625,0.0036067962646484375,0.0006279945373535156
9,train,baseline,0.4105910360813141,79.5625,79.5625,1.80078125,1.8203125,1.8203125,204,10,5.083900967522082,6.09375,7.6796875,1.185546875,0.20654296875,,,0.15306615801577197,10.086825667978495,2.563472392503777,0.0579833984375,8.5390625,0.0226287841796875,0.0066986083984375,2.9309428088276515,0.292236328125,8.4375,0.0997314453125,0.032379150390625,2.3208749086533187,0.9990234375,6.4140625,0.430419921875,0.11871337890625,2.320484016375942,0.1087646484375,8.1953125,0.046875,0.0129241943359375,1.2708642824277918,0.0049591064453125,7.35546875,0.0039005279541015625,0.0006732940673828125
10,train,baseline,0.3876150846481323,80.6875,80.6875,1.8212890625,1.857421875,1.857421875,205,10,5.126051367312626,6.1484375,7.7890625,1.205078125,0.2105712890625,,,0.14777268559429338,10.08682566797851,2.563472392503777,0.056793212890625,8.6015625,0.02215576171875,0.006519317626953125,2.9309428088276515,0.29443359375,8.4921875,0.10052490234375,0.032440185546875,2.3208749086533187,1.0048828125,6.4609375,0.43310546875,0.11865234375,2.320484016375942,0.10906982421875,8.25,0.047027587890625,0.01287841796875,1.2708642824277918,0.00547027587890625,7.41015625,0.004302978515625,0.0007371902465820312
