epoch,phase,condition,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg_as_a_whole,entropy_msg,entropy_max,max_rep,redundancy,KLD_train_test,KLD_test_train,topsim,entropy_input,mutual_info_msg_input,variation_of_info_msg_input,proficiency_msg_input,redundancy_msg_input,entropy_cat,mutual_info_msg_cat,variation_of_info_msg_cat,proficiency_msg_cat,redundancy_msg_cat,lexicon_size_nn,actual_vocab_size_nn,max_rep_nn,entropy_whole_msg_nn,entropy_msg_nn,entropy_max_nn,redundancy_nn,KLD_train_test_nn,KLD_test_train_nn,entropy_input_nn,mutual_info_msg_input_nn,variation_of_info_msg_input_nn,proficiency_msg_input_nn,redundancy_msg_input_nn,entropy_cat_nn,mutual_info_msg_cat_nn,variation_of_info_msg_cat_nn,proficiency_msg_cat_nn,redundancy_msg_cat_nn,topsim_nn
1,train,noise,0.4742474853992462,77.0625,77.1875,1.10546875,3.853515625,3.853515625,7883,10,7.271019898012957,10.9921875,14.4921875,2.669921875,0.24169921875,,,0.3061952687785661,8.594974076906343,2.712890625,14.1640625,0.3154296875,0.138427734375,3.4874880493847207,1.419921875,11.640625,0.406982421875,0.0980224609375,7940,10,2.66796875,7.284202432986908,7.90625,14.4921875,0.45458984375,,,8.594974076906343,3.103515625,10.296875,0.361083984375,0.1881103515625,3.4874880493847207,1.53515625,8.3203125,0.440185546875,0.1346435546875,0.3058410178795162
2,train,noise,0.23567958176136017,88.375,88.4375,1.4365234375,4.1015625,4.1015625,2760,10,6.679823883237572,11.1640625,14.46875,2.8984375,0.2286376953125,,,0.32073756717693375,8.59166684516038,2.94921875,13.859375,0.34326171875,0.1492919921875,3.486121372140296,1.5234375,11.6015625,0.436767578125,0.10394287109375,2801,10,2.896484375,6.68993173779261,8.125,14.46875,0.438720703125,,,8.59166684516038,3.390625,9.9375,0.394775390625,0.202880859375,3.486121372140296,1.6689453125,8.2734375,0.478759765625,0.143798828125,0.3213018493809824
3,train,noise,0.18475550413131714,90.6875,90.6875,1.5244140625,3.98828125,3.98828125,3016,10,7.165074021889268,11.140625,14.1875,2.642578125,0.21484375,,,0.3378089421309928,8.595094561332466,3.162109375,13.40625,0.367919921875,0.1602783203125,3.462902383009723,1.595703125,11.4140625,0.460693359375,0.1092529296875,3116,10,2.640625,7.195862461893201,8.3203125,14.1875,0.413818359375,,,8.595094561332466,3.708984375,9.4921875,0.431640625,0.2193603515625,3.462902383009723,1.783203125,8.2109375,0.51513671875,0.1513671875,0.33818095963757516
4,train,noise,0.14402265846729279,92.875,92.9375,1.5888671875,3.95703125,3.95703125,3022,10,7.537055068303151,11.453125,14.2421875,2.50390625,0.1961669921875,,,0.3183691591923569,8.593926101058639,3.28125,13.484375,0.3818359375,0.1636962890625,3.458256528971587,1.5849609375,11.7421875,0.458251953125,0.10626220703125,3097,10,2.5,7.575276392980075,8.8046875,14.2421875,0.381591796875,,,8.593926101058639,3.923828125,9.5546875,0.45654296875,0.2254638671875,3.458256528971587,1.8212890625,8.625,0.52685546875,0.1485595703125,0.31840911235620245
5,train,noise,0.1202913224697113,94.125,94.125,1.6376953125,3.93359375,3.93359375,2142,10,7.428377268887652,11.296875,14.21875,2.51171875,0.2054443359375,,,0.34280048508565386,8.594986928757692,3.388671875,13.109375,0.394287109375,0.17041015625,3.470447244271974,1.609375,11.546875,0.463623046875,0.10894775390625,2183,10,2.509765625,7.452088165874798,8.5703125,14.21875,0.397216796875,,,8.594986928757692,4.0546875,9.0546875,0.471923828125,0.236328125,3.470447244271974,1.85546875,8.328125,0.53466796875,0.1541748046875,0.3431853009572157
6,train,noise,0.10160078853368759,95.0625,95.0625,1.7119140625,3.955078125,3.955078125,1678,10,7.314077389122488,11.3515625,14.234375,2.548828125,0.2027587890625,,,0.30187994408362046,8.596101378399611,3.447265625,13.0546875,0.40087890625,0.1727294921875,3.4632207987500285,1.619140625,11.5703125,0.467529296875,0.10931396484375,1696,10,2.544921875,7.32799033910916,8.6171875,14.234375,0.39501953125,,,8.596101378399611,4.12890625,8.953125,0.480224609375,0.2398681640625,3.4632207987500285,1.8779296875,8.3203125,0.5419921875,0.155517578125,0.3016579128374351
7,train,noise,0.08978382498025894,95.6875,95.6875,1.76953125,3.9453125,3.9453125,1477,10,7.220414475746476,11.3515625,14.2421875,2.54296875,0.2030029296875,,,0.31007315831312615,8.592559101296214,3.537109375,12.875,0.41162109375,0.1773681640625,3.5000885870157807,1.6416015625,11.5703125,0.468994140625,0.11053466796875,1487,10,2.5390625,7.231859479290825,8.6484375,14.2421875,0.392578125,,,8.592559101296214,4.28125,8.6796875,0.498291015625,0.2484130859375,3.5000885870157807,1.9296875,8.2890625,0.55126953125,0.1588134765625,0.31016534071558166
8,train,noise,0.08053110539913177,96.125,96.1875,1.791015625,3.958984375,3.958984375,1221,9,7.041547955914889,11.15625,14.2421875,2.6015625,0.2169189453125,,,0.3430844305051468,8.594070987405141,3.673828125,12.3984375,0.427490234375,0.18603515625,3.5001996427797772,1.720703125,11.2109375,0.491455078125,0.11737060546875,1232,9,2.599609375,7.0540835316861115,8.25,14.2421875,0.4208984375,,,8.594070987405141,4.4375,7.96875,0.51611328125,0.263427734375,3.5001996427797772,2.005859375,7.73828125,0.57275390625,0.170654296875,0.34289794823484937
9,train,noise,0.07262478768825531,96.5625,96.625,1.822265625,3.951171875,3.951171875,1333,10,7.127357641650887,11.1171875,14.28125,2.5703125,0.2216796875,,,0.30592855917899414,8.595515190986918,3.71484375,12.28125,0.43212890625,0.1884765625,3.4805158626096957,1.689453125,11.21875,0.4853515625,0.11572265625,1345,10,2.568359375,7.142684233412115,8.203125,14.28125,0.42578125,,,8.595515190986918,4.5234375,7.75390625,0.5263671875,0.269287109375,3.4805158626096957,2.00390625,7.67578125,0.576171875,0.1715087890625,0.3065748766542148
10,train,noise,0.06528574228286743,96.9375,97.0,1.90625,3.9609375,3.9609375,1316,10,7.023476550833602,11.28125,14.3046875,2.560546875,0.21142578125,,,0.30333383765214395,8.595460416285865,3.767578125,12.34375,0.438232421875,0.189453125,3.4758217305164956,1.73046875,11.296875,0.497802734375,0.11724853515625,1334,10,2.55859375,7.038858061654607,8.4375,14.3046875,0.409912109375,,,8.595460416285865,4.60546875,7.828125,0.53564453125,0.270263671875,3.4758217305164956,2.05859375,7.796875,0.59228515625,0.1728515625,0.30280467009130485
11,train,noise,0.05850367248058319,97.25,97.3125,2.0390625,3.966796875,3.966796875,1240,9,7.163159370039067,11.484375,14.2734375,2.533203125,0.195556640625,,,0.31926017610864926,8.598046581127937,3.796875,12.484375,0.441650390625,0.1890869140625,3.4819855744791437,1.7216796875,11.5234375,0.494384765625,0.11505126953125,1250,9,2.53125,7.173923403698413,8.78125,14.2734375,0.385009765625,,,8.598046581127937,4.67578125,8.0234375,0.5439453125,0.269287109375,3.4819855744791437,2.06640625,8.1328125,0.59326171875,0.16845703125,0.31877619820998865
12,train,noise,0.053172800689935684,97.5,97.5625,2.09375,3.95703125,3.95703125,1413,9,7.429962895884336,11.609375,14.390625,2.48046875,0.193115234375,,,0.33128055497480147,8.599514931468557,3.91015625,12.390625,0.45458984375,0.1934814453125,3.4693872430515786,1.7607421875,11.5546875,0.50732421875,0.11676025390625,1412,9,2.478515625,7.435314714288417,8.8671875,14.390625,0.3837890625,,,8.599514931468557,4.7890625,7.890625,0.556640625,0.274169921875,3.4693872430515786,2.111328125,8.109375,0.60888671875,0.171142578125,0.3310879372413576
13,train,noise,0.04877559095621109,97.8125,97.8125,2.138671875,3.943359375,3.943359375,1126,9,7.322610388849819,11.5078125,14.3125,2.4921875,0.1959228515625,,,0.30522162141239195,8.598765061051234,4.015625,12.078125,0.466796875,0.19970703125,3.489658722971393,1.779296875,11.4375,0.509765625,0.11865234375,1130,9,2.490234375,7.327642601306361,8.71875,14.3125,0.390869140625,,,8.598765061051234,4.9296875,7.453125,0.5732421875,0.28466796875,3.489658722971393,2.154296875,7.8984375,0.6171875,0.176513671875,0.3050962580551276
14,train,noise,0.04540001228451729,97.9375,97.9375,2.193359375,3.94921875,3.94921875,1162,9,7.386478844147304,11.6875,14.359375,2.4609375,0.186279296875,,,0.31413775158981827,8.594050464098853,4.01953125,12.2421875,0.4677734375,0.1982421875,3.4530588090106145,1.787109375,11.5625,0.517578125,0.1180419921875,1167,9,2.458984375,7.393130766893778,9.0078125,14.359375,0.372802734375,,,8.594050464098853,4.9765625,7.65234375,0.5791015625,0.28271484375,3.4530588090106145,2.18359375,8.09375,0.63232421875,0.1751708984375,0.31375731317280187
