epoch,phase,messages,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy_act,redundancy_max,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected
1,train,baseline,4.053033828735352,80.25,80.25,1.5,4.48828125,4.48828125,1677,10,5.07421875,12.2734375,5.073099158572862,5.073227277354216,5.075465385063731,5.1119899838027,5.043319305505332,5.045530893463315,5.082488562118025,5.198247658277637,0.58642578125,0.599609375,,,5.07421875,0.36215430255299413,0.5091346192430671,0.3051133568398087,0.2476098866564474,8.595347668391696,3.917155618544225,0.4557297470292062,3.4691138420280714,2.105198898647494,0.6068405346469627,8.586592335340185,3.883830207791452,0.4523133341042191
2,train,baseline,1.6022154092788696,91.25,91.25,1.474609375,4.63671875,4.63671875,312,10,5.65625,12.265625,5.651048661988236,5.651173778171485,5.654324157438948,5.688605108329405,5.612739990804789,5.614888700158099,5.665813543328393,5.761655850624953,0.5390625,0.55419921875,,,5.6640625,0.32541897463258634,0.4942829951071651,0.29866595530420503,0.23440483935082887,8.597893048277534,4.479229940880807,0.5209683251152045,3.4777073938276297,2.255133929643483,0.6484541895750006,8.596189384012709,4.453835445205588,0.5181174176419242
3,train,baseline,1.2129696607589722,93.5625,93.5625,1.4501953125,4.63671875,4.63671875,319,10,5.8828125,12.296875,5.879492941031803,5.879616602460939,5.883357075186054,5.91647723425755,5.849564680439142,5.851690155199359,5.912220117275093,5.996135384984296,0.521484375,0.5361328125,,,5.88671875,0.33068821610217414,0.48259913920227016,0.31021847743593867,0.2697689074153742,8.59508070242544,4.832947114488238,0.5622922322444782,3.482232555970854,2.3909825687914807,0.6866234607713814,8.590560157762837,4.808529729876427,0.5597457722860146
4,train,baseline,0.9675998687744141,94.6875,94.6875,1.42578125,4.640625,4.640625,378,10,6.3203125,12.3359375,6.315225859931495,6.315345034070046,6.319891990290565,6.350728611220223,6.296041984266069,6.29810477033608,6.372035287550252,6.437135568975316,0.48779296875,0.50146484375,,,6.32421875,0.29736365469705783,0.45575485799806226,0.3055390331447916,0.2522760067535503,8.597772441519275,5.1103818176895865,0.5943844004304157,3.4829192961997553,2.471881253576544,0.7097153403105366,8.593617216189617,5.089562476005235,0.5922491481720815
5,train,baseline,0.8626864552497864,95.3125,95.3125,1.40234375,4.6328125,4.6328125,398,10,6.46484375,12.28125,6.459073576081676,6.459191200785964,6.46411083067841,6.49406801425226,6.426926842850625,6.428965729018839,6.508447303667034,6.566116911409736,0.473388671875,0.489990234375,,,6.47265625,0.2900464211065925,0.47310986515801,0.3329106295638738,0.27906566875418043,8.597795032748879,5.29568220280876,0.6159349208300015,3.500527554759321,2.5718169912594746,0.7346941142522445,8.596240851963449,5.272672702452588,0.6133695871548629
6,train,baseline,0.7961081862449646,95.75,95.75,1.37890625,4.59765625,4.59765625,618,10,6.99609375,12.3046875,6.9916361892511105,6.991747322007886,6.997699771050736,7.024592140030735,6.9207159804946485,6.92268408325459,7.019152355547455,7.053725622058119,0.431396484375,0.4482421875,,,7.00390625,0.29333869132104323,0.5177144813559919,0.3515338269399765,0.28382761009938334,8.598781551651834,5.394446852944161,0.6273501449641877,3.4744882942560356,2.5629125295897692,0.7376374051473227,8.597797108925414,5.364935734192474,0.6239895715407274
7,train,baseline,0.6798602938652039,96.4375,96.4375,1.35546875,4.62890625,4.62890625,743,10,7.11328125,12.296875,7.103301552809549,7.103412321539142,7.109772443523647,7.136033893169166,7.048840610812492,7.050787411074155,7.153031948353497,7.180105886196597,0.421630859375,0.43896484375,,,7.1171875,0.27137980008018153,0.44838302106970424,0.31723520401496913,0.25857537879158254,8.595349429713032,5.63038217104816,0.6550498286415958,3.4679206680012893,2.627863867341582,0.7577635473582307,8.59445313545086,5.616533422353162,0.6535067832513722
8,train,baseline,0.6246269345283508,96.6875,96.6875,1.3330078125,4.62890625,4.62890625,851,10,7.22265625,12.25,7.217174537073086,7.217283108384441,7.223812219554673,7.249322078859624,7.163818472604434,7.165744311388145,7.271542284744654,7.293426513953802,0.410400390625,0.430419921875,,,7.2265625,0.29547985855717546,0.49622890156095545,0.33016895011366293,0.2604650947447043,8.599990308691797,5.692510419081959,0.6619205620881549,3.485807868487691,2.670970787294608,0.7662415394263832,8.600327431341247,5.670547792599204,0.659340919036947
9,train,baseline,0.6507704257965088,96.625,96.625,1.310546875,4.63671875,4.63671875,867,10,7.1796875,12.2734375,7.175086797990403,7.175195540326206,7.181806461739674,7.207337147730334,7.120832769302091,7.122768349743635,7.229605940758544,7.2511739044890176,0.414794921875,0.43359375,,,7.1875,0.2676219163350655,0.47547298466265914,0.3082161888721146,0.25137601144697286,8.595166387711611,5.747726357839331,0.668716124688031,3.507727088959943,2.6704992846108606,0.7613190014171473,8.592848200940526,5.725500432007961,0.6663099705847566
10,train,baseline,0.5360562205314636,97.125,97.125,1.2880859375,4.62890625,4.62890625,770,10,7.21484375,12.265625,7.207488066946631,7.2075977665516815,7.214396953153911,7.2398866434350415,7.139349283412318,7.141288479659482,7.250245084882735,7.269790353480163,0.411865234375,0.430908203125,,,7.21875,0.313307734872213,0.5127406250199855,0.3010766816087832,0.24734734127454272,8.59420398279746,5.8123848105221745,0.6763145047704827,3.4830297199870266,2.6904422889791375,0.7724431042147866,8.593193909685645,5.792314445347927,0.6740583892584149
11,train,baseline,0.5501965284347534,97.0625,97.0625,1.2666015625,4.60546875,4.60546875,732,10,6.9765625,12.3125,6.9751201287776965,6.975234813637204,6.981809418381089,7.00884560680388,6.937141229634827,6.939123395255783,7.0434018356395915,7.070857710998874,0.43359375,0.44970703125,,,6.98046875,0.31263301102075713,0.5300103605332587,0.32155596621322335,0.2561021586801744,8.59174390453199,5.953773728543221,0.6929645243968123,3.4776135524363596,2.763839600772525,0.7947517914508424,8.592007866545003,5.9380435850072235,0.6911124474325016
12,train,baseline,0.5689108371734619,97.0625,97.0625,1.24609375,4.60546875,4.60546875,735,10,7.0,12.328125,6.996656375605593,6.996769282643946,7.003462005324656,7.0300052021284705,6.953360688750874,6.955337259273804,7.062925082347105,7.086710033302147,0.43212890625,0.44775390625,,,7.01171875,0.3447461920539194,0.544142977530512,0.3006748207767865,0.2390010107381271,8.59149543514294,5.942430669187953,0.6916642991953224,3.4876964994015154,2.7868319592471718,0.7990465798057225,8.589689857069356,5.928885364822799,0.6902327631705233
13,train,baseline,0.50019770860672,97.4375,97.4375,1.224609375,4.61328125,4.61328125,622,10,7.1328125,12.3984375,7.126614080876658,7.126727776423232,7.134403987087491,7.159927582097285,7.060968270408124,7.062934366771084,7.182819272052843,7.193236133197865,0.425048828125,0.4375,,,7.13671875,0.32014841870249866,0.5246927981842171,0.2967292202521028,0.24335939283049957,8.593270076621234,6.097055014950302,0.7095151159670741,3.49206492231282,2.806712167267876,0.803739973255987,8.591320994742063,6.083651763611123,0.7081159890701736
14,train,baseline,0.46827006340026855,97.625,97.625,1.2041015625,4.62890625,4.62890625,816,10,7.25390625,12.3828125,7.249870512956131,7.249981351245371,7.257718000143355,7.2824401714134,7.219794595046723,7.2217270877423845,7.345144340676168,7.349500706722574,0.4140625,0.427734375,,,7.26171875,0.2880534310433849,0.5435052114948847,0.32042172003306774,0.2493553780420904,8.597682988914189,6.2321586639993685,0.724864905118633,3.4711467860819205,2.8678899766999155,0.8262082111304389,8.596272516364898,6.218758915259173,0.7234250546874119
15,train,baseline,0.48977452516555786,97.5,97.5,1.18359375,4.6328125,4.6328125,787,10,7.23828125,12.4609375,7.2393129223081445,7.239422396070799,7.247200780947709,7.271650328131157,7.180353701148559,7.182293861304246,7.307332994959949,7.310667639868579,0.419189453125,0.428955078125,,,7.24609375,0.29052760736930494,0.5181321395648956,0.30279668911854873,0.24680159925323825,8.593004047328556,6.216103099092682,0.7233911522507872,3.496494270366167,2.8833357318931174,0.8246361952685719,8.591784615414078,6.1891830326558965,0.7203605897606188
16,train,baseline,0.5026501417160034,97.4375,97.4375,1.1640625,4.66796875,4.66796875,908,10,7.20703125,12.4609375,7.199941647754192,7.200053814295343,7.207873474193868,7.232854191505657,7.161927864721815,7.1638735855940965,7.287669170236027,7.292623326892536,0.421630859375,0.431640625,,,7.21484375,0.3210206361538584,0.5033373668713541,0.238025083014572,0.1991227891465744,8.595703063678519,6.2217571049330616,0.7238217815158531,3.4710271075351633,2.848557639310571,0.8206670680060985,8.593799821252144,6.209445235750106,0.7225494385375816
17,train,baseline,0.43836674094200134,97.75,97.75,1.14453125,4.671875,4.671875,771,10,7.15625,12.4453125,7.155099991640267,7.15521413551313,7.163294991996377,7.188488430683108,7.12605267717835,7.128016466051794,7.25513699848515,7.25789618358498,0.425048828125,0.435546875,,,7.16015625,0.31576086678900334,0.5184015162687401,0.28338127688503945,0.23860409870809687,8.590174511408339,6.316282007918606,0.7352914657938733,3.466108637070734,2.8971667186995225,0.8358557166136507,8.589239623059811,6.302508218614227,0.7337678881019547
18,train,baseline,0.44203099608421326,97.75,97.75,1.1259765625,4.6953125,4.6953125,732,10,7.28515625,12.3203125,7.284085034469615,7.284197546278877,7.2926377742660735,7.316970965413006,7.241162044506292,7.243108058940893,7.374984075977679,7.371494912713046,0.40869140625,0.42529296875,,,7.29296875,0.3049209747962512,0.5084289995633342,0.26914872596394046,0.21753487840720598,8.591317495584912,6.372171504795861,0.7416989894821752,3.4845428508473297,2.9354582316917552,0.842422767445074,8.591198639319508,6.353664489968215,0.7395550675419461
19,train,baseline,0.45694756507873535,97.6875,97.6875,1.1064453125,4.6953125,4.6953125,833,10,7.3125,12.4140625,7.30551374046983,7.30562561574867,7.313886772525983,7.338219541299689,7.279034548566129,7.280965258524886,7.411042694339891,7.408359498157259,0.4111328125,0.42333984375,,,7.31640625,0.2867409809199283,0.5088266008715587,0.2879059862965675,0.2417891744536072,8.591990629545855,6.443794446064184,0.749976894051243,3.5036466861669346,2.957906137641192,0.8442364206755121,8.590708698675023,6.41897245862974,0.7471994085446946
20,train,baseline,0.39665406942367554,97.9375,97.9375,1.087890625,4.6953125,4.6953125,932,10,7.4296875,12.3984375,7.424811818629204,7.424922899825721,7.433772180426449,7.457208327952768,7.392786056692688,7.394706989912925,7.533318954346997,7.521045018931769,0.400634765625,0.4140625,,,7.43359375,0.28079155370525355,0.5129414654945995,0.2869371611521801,0.2463101663869771,8.592497642846507,6.570241401103744,0.7646486125688557,3.4830988332124875,2.9809775965091028,0.8558406577741939,8.592828978240567,6.552332656510848,0.7625349780733652
21,train,baseline,0.42873331904411316,97.8125,97.8125,1.0703125,4.6953125,4.6953125,939,10,7.37109375,12.328125,7.366557703826518,7.36667029455714,7.37544481753892,7.3993487429810925,7.3356639132653125,7.33759801326566,7.474342240962705,7.464897276189228,0.40234375,0.418701171875,,,7.375,0.3044334232744408,0.4988582509690112,0.2694772361983599,0.2262980796737952,8.591707426105692,6.670453766226387,0.7763827881240901,3.4688601489017796,3.0318598313967104,0.8740219268731774,8.592722464627164,6.651399854432314,0.7740736282142817
22,train,baseline,0.4177219271659851,97.875,97.875,1.0517578125,4.70703125,4.70703125,919,10,7.3515625,12.421875,7.34816831101194,7.3482814326995625,7.357176810992388,7.381069211632274,7.324241670347277,7.326178818473559,7.465685241472945,7.453687891469727,0.408203125,0.420166015625,,,7.35546875,0.2784752129052882,0.49241964186287895,0.26656365067384163,0.22895112553558553,8.602157604125523,6.617733157402346,0.7693108475748615,3.4823633139665677,2.9749454693837176,0.8542892286546407,8.601634130444026,6.598828801845694,0.7671599026155109
23,train,baseline,0.38955679535865784,98.0,98.0,1.0341796875,4.69921875,4.69921875,1054,10,7.55078125,12.34375,7.546903036802392,7.5470110259549195,7.555763726370834,7.5784936341769,7.485866501077758,7.487764606520783,7.626350117709954,7.612426231972065,0.38818359375,0.404541015625,,,7.55859375,0.3094496761521794,0.5059793929157473,0.2601468740814499,0.22078682988690781,8.5951966928201,6.5500036964541515,0.762053962293338,3.4897161413714333,3.0050772060459856,0.8611236800667151,8.594194169064947,6.5234112876557395,0.7590486274020838
24,train,baseline,0.36782896518707275,98.0625,98.0625,1.0166015625,4.71875,4.71875,1056,10,7.43359375,12.3828125,7.4312745141788845,7.431386020267873,7.44032127046318,7.463741177261204,7.406071943984072,7.407990747566179,7.547825721854341,7.534137991686743,0.399658203125,0.413818359375,,,7.4375,0.28976696092373927,0.46858032615170214,0.26756568892055527,0.22546140221946867,8.597021889086697,6.676229016990094,0.7765746212028479,3.470728407702579,3.002186811126525,0.8650019415128476,8.595737156434812,6.657479045092173,0.7745093787690275
25,train,baseline,0.4073375165462494,97.9375,97.9375,1.0,4.71484375,4.71484375,1061,10,7.54296875,12.3671875,7.537135052771868,7.537245113203718,7.54644222365721,7.569155987667762,7.504862804002961,7.506763062853501,7.649851322310756,7.631457623175824,0.390380859375,0.405029296875,,,7.546875,0.3000128551087856,0.48465787215709105,0.24757230805021654,0.20073871364981039,8.59757960582834,6.60071809301604,0.7677414337101783,3.4650887269815067,2.9401528480826613,0.8485072330727516,8.597187322805201,6.5756531541265755,0.7648609838573328
1,test,,5.348735332489014,81.8125,81.8125,1.5,4.4375,4.4375,81,10,5.1328125,11.8984375,5.129865639953456,5.130168873913637,5.135137102290869,5.188798261200953,4.996055729854187,5.019273124401948,5.366566268713836,5.472843062623521,0.568359375,0.59521484375,2.541015625,2.60546875,5.1484375,0.39958881639414834,0.6232960210742796,0.36425955635975055,0.29747736891670007,6.658211482751794,4.00716648247683,0.6018382703609612,3.186646652398159,2.293928778967648,0.7198566484430639,6.567408986693926,3.667392528526758,0.5584230456725288
2,test,,4.562794208526611,83.6875,83.6875,1.474609375,4.45703125,4.45703125,92,10,5.57421875,11.8984375,5.569666802881714,5.569962212392172,5.576597348643425,5.62671923447474,5.413914597559374,5.436582359940782,5.895418454076166,5.875857499583041,0.53125,0.56005859375,2.603515625,2.669921875,5.5859375,0.33371882136173436,0.5827982968155986,0.3722166735495124,0.3039786759601405,6.658211482751794,4.340956484855927,0.6519703521135137,3.186646652398159,2.331515904174662,0.7316518454972233,6.584586577555938,4.000411473269697,0.6075417835502995
3,test,,6.770234107971191,83.4375,83.4375,1.4501953125,4.4453125,4.4453125,85,10,5.67578125,11.9296875,5.680135333458523,5.68043020172822,5.687284271549691,5.736914597786979,5.543313103897824,5.565809217423979,6.036559197067613,6.000625744530301,0.52392578125,0.55224609375,3.306640625,2.947265625,5.68359375,0.32810596013336857,0.5691116933186192,0.34357018669509604,0.2823705349238376,6.658211482751794,4.424083160580832,0.6644551877094159,3.186646652398159,2.323723329196601,0.7292064614217104,6.587652062269238,4.08061892589292,0.6194344946152599
4,test,,4.668517112731934,84.875,84.875,1.42578125,4.44140625,4.44140625,118,10,6.1953125,11.984375,6.182385932558633,6.182668900832547,6.1912185057743265,6.2365944468887955,5.976266301343517,5.998164516188749,6.574990579439955,6.417674234238964,0.483154296875,0.51171875,3.126953125,3.068359375,6.203125,0.3162945267541718,0.5790506356658662,0.36757399147675696,0.302015494736255,6.658211482751794,4.646654736662145,0.6978833202729262,3.186646652398159,2.42868537463818,0.7621445486622861,6.601195156778953,4.293377961686635,0.6503940361886807
5,test,,5.195659160614014,86.25,86.25,1.40234375,4.40625,4.40625,131,10,6.23828125,11.875,6.225439398891236,6.225720303543558,6.2338857245319526,6.279260723654627,6.029784234461712,6.0515695854127705,6.603242362385749,6.468533612991206,0.474609375,0.5078125,3.28515625,3.173828125,6.25390625,0.2804505708958951,0.5601599079395773,0.3863549433589326,0.31536603589131024,6.658211482751794,4.8664264252726825,0.7308909363842288,3.186646652398159,2.6170351953222237,0.8212505121497341,6.598132847873842,4.5563618544310724,0.6905532155053983
6,test,,3.636044502258301,86.875,86.875,1.37890625,4.42578125,4.42578125,145,10,6.453125,11.9140625,6.438315580780167,6.43859060626716,6.447233545207037,6.490912240278262,6.226856265521244,6.248364258026263,6.850537983360963,6.658269128994345,0.45849609375,0.490966796875,3.55078125,3.31640625,6.46484375,0.27948712746622933,0.5754975187673217,0.38184744508414836,0.31427136443896353,6.658211482751794,4.861579867651995,0.7301630295532061,3.186646652398159,2.7064738903554817,0.8493172245246218,6.614587695888144,4.595821680048729,0.6948009296037682
7,test,,3.6640641689300537,87.125,87.125,1.35546875,4.421875,4.421875,203,10,7.11328125,11.8984375,7.09235936914397,7.092614947314815,7.103118515517871,7.14100172368916,6.708295363901957,6.729044073257059,7.431835831513465,7.120366362940004,0.402099609375,0.43896484375,3.6015625,3.48828125,7.1328125,0.2793537140358101,0.575474774792533,0.3903634213415499,0.31947297291796856,6.658211482751794,4.947592634173727,0.7430813285205115,3.186646652398159,2.6199054541938933,0.8221512266577293,6.621718649182433,4.685760354144335,0.707635072161043
