epoch,phase,loss,accuracy,accuracy_nn,temperature,length,length_nn,lexicon_size,actual_vocab_size,entropy_msg,entropy_max,entropy_msg_mc_ml,entropy_msg_mc_perks,entropy_msg_mc_james-stein,entropy_msg_mc_minimax,entropy_msg_1_ml,entropy_msg_1_perks,entropy_msg_1_james-stein,entropy_msg_1_minimax,redundancy,kld_train_test,kld_test_train,mutual_info_sent_received,topsim,topsim_norm_max,topsim_cosine,topsim_cosine_norm_max,entropy_target,mutual_info_msg_target,proficiency_msg_target,entropy_target_category,mutual_info_msg_target_category,proficiency_msg_target_category,entropy_selected,mutual_info_msg_selected,proficiency_msg_selected,lexicon_size_nn,actual_vocab_size_nn,entropy_msg_nn,entropy_max_nn,entropy_msg_mc_ml_nn,entropy_msg_mc_perks_nn,entropy_msg_mc_james-stein_nn,entropy_msg_mc_minimax_nn,entropy_msg_1_ml_nn,entropy_msg_1_perks_nn,entropy_msg_1_james-stein_nn,entropy_msg_1_minimax_nn,redundancy_nn,kld_train_test_nn,kld_test_train_nn,topsim_nn,topsim_norm_max_nn,topsim_cosine_nn,topsim_cosine_norm_nn,entropy_target_nn,mutual_info_msg_target_nn,proficiency_msg_target_nn,entropy_target_category_nn,mutual_info_msg_target_category_nn,proficiency_msg_target_category_nn,entropy_selected_nn,mutual_info_msg_selected_nn,proficiency_msg_selected_nn,messages
1,train,8.295154571533203,73.625,75.3125,1.5,2.580078125,2.580078125,111,11,4.95703125,6.390625,4.95722367519114,4.95726275107581,4.958165677173834,4.971284108693353,4.966929776033706,4.96778128231415,4.984468138353827,5.024111869626393,0.2242431640625,,,3.9765625,0.15026843670445572,0.5449324853319176,0.36147626272558914,0.3470653417629958,8.592530031133721,3.091765130947665,0.3598201134875439,3.4874834606857723,1.7041779828573054,0.4886555024757591,8.573337235865203,2.9572828175165142,0.34493951843457044,91,10,4.3125,6.17578125,4.310690787603656,4.3107455696539585,4.311558050801832,4.329290475049088,4.308801117157616,4.30996211003003,4.325058598762777,4.384919431591375,0.302001953125,,,0.18305929465132914,0.5619162151858685,0.38944190976847154,0.36061718002993487,8.592530031133721,3.247665493097779,0.37796382221887603,3.4874834606857723,1.761343114090674,0.5050470156908864,8.573337235865203,3.0910792250263732,0.36054562418183334,received
2,train,4.520249843597412,84.875,87.125,1.4736328125,2.599609375,2.599609375,60,11,4.90625,6.41796875,4.901200798194078,4.9012487463025165,4.902344010879556,4.917107087172561,4.906420616621222,4.907382351155363,4.926374756906472,4.969117239091321,0.2354736328125,,,3.947265625,0.14585833975202217,0.5435673439224536,0.3538561189489138,0.34595649219483277,8.591414795098597,3.507642529632381,0.40827298102676773,3.4742237971118484,1.8787290037560984,0.54076222876543,8.581143650612692,3.3599885970418955,0.39155487122069016,41,10,4.21484375,6.19921875,4.213804584340587,4.213869916968824,4.214817228153079,4.234612818034793,4.217764827165309,4.219025358753859,4.235405349828218,4.299459855024194,0.3203125,,,0.17211139933464273,0.556652503707415,0.3805704973897247,0.3583168689678768,8.591414795098597,3.7125646528017118,0.432124945814481,3.4742237971118484,1.9560373998151919,0.5630142195909378,8.581143650612692,3.546557113725143,0.41329655557880324,received
3,train,3.864248752593994,86.8125,89.25,1.4482421875,2.60546875,2.60546875,60,11,4.9765625,6.41796875,4.97598020694313,4.976025160651489,4.977155421724766,4.991356433147749,4.970504712184131,4.971436042093382,4.991258454514798,5.031778637226468,0.224609375,,,4.05078125,0.1286667798810769,0.5385394341095121,0.35804619469728927,0.3425576015965771,8.592955155654305,3.6472591347193966,0.4244475932496215,3.4868071153172275,1.949251341577547,0.559036183279156,8.582676899328373,3.5201167456331204,0.41014205555245625,44,10,4.296875,6.203125,4.296780432192977,4.296843106728662,4.297841322078156,4.316994173230031,4.295063155247821,4.296306399560033,4.313871731174677,4.375578989565434,0.3076171875,,,0.15555277766581704,0.5535011298090293,0.3917791627404076,0.3596201341309559,8.592955155654305,3.875164828642089,0.45096998162409435,3.4868071153172275,2.033836913059197,0.5832949302313672,8.582676899328373,3.7318560833473367,0.43481260300493996,received
4,train,3.4279870986938477,88.5,91.0,1.4228515625,2.623046875,2.623046875,74,11,5.171875,6.4921875,5.171747124303099,5.171781234105839,5.172916431483886,5.184758287946298,5.16844784922777,5.169247252591454,5.190506123456114,5.222093642210961,0.203125,,,4.1953125,0.1139520156236777,0.495234281341747,0.32112446185763005,0.29560070497934143,8.593408639839335,3.645356086692238,0.424203740270449,3.471126428751579,1.9711244230370166,0.5678630448923028,8.589261247975259,3.503828829744492,0.407931337583945,58,10,4.5078125,6.2734375,4.508625603241814,4.508677874883728,4.509685997651588,4.526617798462678,4.499504012853372,4.500608032750341,4.51895210037635,4.57262835003254,0.28125,,,0.13751962064141177,0.5083699886354464,0.3603027291518991,0.3160839523001691,8.593408639839335,3.880102855129259,0.45152081295668517,3.471126428751579,2.057440876004601,0.5927300310823244,8.589261247975259,3.7229306596053826,0.43344014719344887,received
5,train,3.104883909225464,89.375,91.9375,1.3974609375,2.6328125,2.6328125,77,11,5.19140625,6.50390625,5.191361409518598,5.1913952981037905,5.192542465341701,5.204202591799556,5.184306720213863,5.185069913981174,5.206123233688082,5.237040715672272,0.20166015625,,,4.16796875,0.10712645466187462,0.48614077116987914,0.33832722807942794,0.3067547981498652,8.594560573949039,3.672156228978068,0.4272651518809159,3.4615258934268596,1.9585963192870324,0.565818768828579,8.587799064667156,3.5368515779111593,0.4118461029744925,61,10,4.52734375,6.28515625,4.526540187200082,4.526590618115832,4.527587261108163,4.544260340349558,4.531243043268102,4.532315132860674,4.5505786190734145,4.6029532773603,0.279541015625,,,0.13060171586642838,0.49833005516520784,0.3683742553417427,0.32108054574326506,8.594560573949039,3.9094458307384015,0.45487442866925826,3.4615258934268596,2.043508076058097,0.5903489209595523,8.587799064667156,3.756134886927855,0.4373803879950741,received
6,train,2.883953094482422,89.875,92.4375,1.373046875,2.63671875,2.63671875,77,11,5.19921875,6.48828125,5.200965348292838,5.200996653446531,5.202067913477908,5.213259640858446,5.202546026981633,5.203268324215057,5.223665777598173,5.25361298723665,0.1986083984375,,,4.26953125,0.11146501323571054,0.5154159475362781,0.34928461521116316,0.33277326725558615,8.595515684492574,3.716709464690462,0.43240098687690004,3.475925537153491,2.003029130600483,0.5762577791700354,8.59151500430387,3.57413477022798,0.4160075107169734,59,10,4.5390625,6.26953125,4.540644723110944,4.540694957185657,4.541682531796864,4.5579327522718955,4.544591445626167,4.545576343249185,4.56298998954251,4.613793234481359,0.276123046875,,,0.13016346636608161,0.526773224687507,0.38599019324600425,0.351025996164574,8.595515684492574,3.9543204038525097,0.46004458010432314,3.475925537153491,2.1042936403903942,0.6053908859375753,8.59151500430387,3.801969931751202,0.4425261353610658,received
7,train,2.780909299850464,90.1875,92.8125,1.349609375,2.634765625,2.634765625,83,11,5.203125,6.51171875,5.199000104105096,5.199034180307606,5.200218989801438,5.211998745365056,5.203380360680562,5.204167997716214,5.2262680702320425,5.256413449601533,0.2012939453125,,,4.1640625,0.09939891336698672,0.5190338631612557,0.3514578345973301,0.31717246596387844,8.592141837927343,3.7244227564509,0.43346849094257167,3.487260908677086,1.994697972168531,0.571995621894902,8.591402862452114,3.605688144177697,0.4196856091961424,68,10,4.52734375,6.29296875,4.525527955166478,4.525580349715333,4.526623014971366,4.543585631382592,4.521386583335143,4.52250620326907,4.541723089362983,4.594950308286185,0.280517578125,,,0.12224418905673701,0.53317345496782,0.387143501723608,0.3343290827016028,8.592141837927343,3.966578657449004,0.46165190615682966,3.487260908677086,2.087225785294243,0.5985287134956716,8.591402862452114,3.830522332202923,0.4458552803924312,received
8,train,2.724385976791382,90.5,93.0625,1.326171875,2.634765625,2.634765625,79,11,5.23046875,6.48828125,5.22985422185929,5.229885178430929,5.231003523979312,5.242228803005475,5.230396856546729,5.231140284764332,5.252524632941714,5.281790715867917,0.19384765625,,,4.2890625,0.10101509341121727,0.5094415804962696,0.3412379352819452,0.2986443879264651,8.59471718408725,3.784670338472486,0.4403484439813378,3.45747858053605,2.0249494601280613,0.5856723080014314,8.585950915915399,3.6615812134435455,0.42646193174203145,66,10,4.578125,6.26953125,4.578870423014417,4.5789213427958195,4.5799689091159115,4.596365889580066,4.5648773906352424,4.56597401083928,4.585123634097304,4.636815111307646,0.269775390625,,,0.12299542441316288,0.5208546853138173,0.37819717665472374,0.31738672041939575,8.59471718408725,4.042680786167697,0.47036809933112717,3.45747858053605,2.1219618492173185,0.613731018078593,8.585950915915399,3.9001560411825045,0.45424858345660435,received
9,train,2.6141679286956787,90.75,93.4375,1.302734375,2.634765625,2.634765625,84,11,5.265625,6.4921875,5.262792061964798,5.262819922668426,5.26387869291246,5.274535179046907,5.2630660477469124,5.263782739726672,5.284936733520389,5.313039404572177,0.189208984375,,,4.36328125,0.10623923778619276,0.5023648452717105,0.31937283138869427,0.301533240105544,8.594578727647335,3.7696020229982645,0.43860230296943814,3.483103187926533,2.0075504946034117,0.5763683664504045,8.591982239860638,3.625468832654624,0.42195953523216656,65,10,4.6171875,6.2734375,4.617866317273652,4.6179135892968395,4.61891573296721,4.634548675120767,4.614976779222286,4.615967222824871,4.634390052738851,4.6831694268562645,0.26416015625,,,0.13474701091884483,0.522198996237393,0.36332949761858674,0.3252770845209906,8.594578727647335,4.024920200337419,0.468309189767489,3.483103187926533,2.111101295595006,0.6060978333667254,8.591982239860638,3.866449477527529,0.45000668874639604,received
10,train,2.5398943424224854,91.125,93.6875,1.2802734375,2.640625,2.640625,86,11,5.33203125,6.53125,5.3376460539774175,5.337673866170192,5.338858484506489,5.348982139878178,5.3279610796236065,5.328694137672756,5.352107481830014,5.376983032965472,0.18310546875,,,4.37890625,0.08918000703831548,0.47108851648604433,0.32933456221329804,0.30487322838287595,8.59623382765868,3.819731415136175,0.44434940832414976,3.4908377985968397,2.0103418080368467,0.5758909247645119,8.596522869552901,3.6945864360649345,0.42977684025600543,68,10,4.69921875,6.30859375,4.699557391223293,4.699603329915754,4.700679143442381,4.715745682059712,4.701366754073422,4.702338398269458,4.722136892716587,4.767742132078197,0.255126953125,,,0.11367072992153943,0.4878078454459692,0.3648940341058601,0.32315046576730205,8.59623382765868,4.102250603955568,0.477214869464862,3.4908377985968397,2.1235724335368387,0.6083274434550983,8.596522869552901,3.9618158805456263,0.460862599991161,received
