epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,topsim_cat
1,train,0.8602134585380554,45.15625,3.58203125,0.09088134765625,0.0999755859375,13.09375,13.09375,1.87890625,1.87890625,25719,11,0.9326171875,,
2,train,0.41349852085113525,57.5625,4.29296875,0.09088134765625,0.0999755859375,13.8828125,13.8828125,1.939453125,1.939453125,34099,11,1.177734375,,
3,train,0.34643107652664185,59.1875,4.37109375,0.09088134765625,0.0999755859375,13.6640625,13.6640625,1.923828125,1.923828125,34401,11,1.220703125,,
4,train,0.3198813796043396,59.40625,4.39453125,0.09088134765625,0.0999755859375,13.2421875,13.2421875,1.8818359375,1.8818359375,33495,11,1.2509765625,,
5,train,0.30507391691207886,59.4375,4.3984375,0.09088134765625,0.0999755859375,12.4375,12.4375,1.796875,1.796875,30519,11,1.310546875,,
6,train,0.2970525920391083,59.375,4.40625,0.09088134765625,0.0999755859375,11.25,11.25,1.6669921875,1.6669921875,25306,11,1.4013671875,,
7,train,0.29168587923049927,59.25,4.41015625,0.09088134765625,0.0999755859375,9.8046875,9.8046875,1.5087890625,1.5087890625,18057,11,1.5537109375,,
8,train,0.2877786457538605,59.15625,4.41015625,0.09088134765625,0.0999755859375,8.3046875,8.3046875,1.3447265625,1.3447265625,11595,11,1.71875,,
9,train,0.287619411945343,59.125,4.4296875,0.09088134765625,0.0999755859375,7.2421875,7.2421875,1.228515625,1.228515625,7598,11,1.849609375,,
10,train,0.28524860739707947,59.09375,4.4453125,0.09088134765625,0.0999755859375,6.359375,6.359375,1.1318359375,1.1318359375,5032,11,1.955078125,,
11,train,0.2856646478176117,58.90625,4.44921875,0.09088134765625,0.0999755859375,5.9375,5.9375,1.087890625,1.087890625,3865,11,1.994140625,,
12,train,0.2846222221851349,58.78125,4.453125,0.09088134765625,0.0999755859375,5.6484375,5.6484375,1.05859375,1.05859375,3296,11,2.005859375,,
13,train,0.28490591049194336,58.9375,4.47265625,0.09088134765625,0.0999755859375,5.44140625,5.44140625,1.037109375,1.037109375,2836,11,2.025390625,,
14,train,0.28483256697654724,59.03125,4.4765625,0.09088134765625,0.0999755859375,5.29296875,5.29296875,1.0224609375,1.0224609375,2596,11,2.029296875,,
15,train,0.2806375026702881,59.15625,4.484375,0.09088134765625,0.0999755859375,5.29296875,5.29296875,1.0224609375,1.0224609375,2532,11,2.0234375,,
16,train,0.2773401737213135,59.25,4.484375,0.09088134765625,0.0999755859375,5.22265625,5.22265625,1.0146484375,1.0146484375,2446,11,2.02734375,,
17,train,0.2735536992549896,59.25,4.48828125,0.09088134765625,0.0999755859375,5.15625,5.15625,1.0078125,1.0078125,2323,11,2.03515625,,
18,train,0.2756856381893158,59.28125,4.49609375,0.09088134765625,0.0999755859375,5.1328125,5.1328125,1.0048828125,1.0048828125,2340,11,2.0390625,,
19,train,0.27141082286834717,59.21875,4.48828125,0.09088134765625,0.0999755859375,5.10546875,5.10546875,1.001953125,1.001953125,2284,11,2.029296875,,
20,train,0.2694554626941681,59.1875,4.48828125,0.09088134765625,0.0999755859375,5.12890625,5.12890625,1.0048828125,1.0048828125,2287,11,2.03515625,,
21,train,0.268208771944046,59.25,4.484375,0.09088134765625,0.0999755859375,5.12109375,5.12109375,1.0048828125,1.0048828125,2329,11,2.03125,,
22,train,0.265286922454834,59.21875,4.4921875,0.09088134765625,0.0999755859375,5.109375,5.109375,1.0029296875,1.0029296875,2279,11,2.037109375,,
23,train,0.26439201831817627,59.15625,4.4921875,0.09088134765625,0.0999755859375,5.1015625,5.1015625,1.001953125,1.001953125,2309,11,2.03515625,,
24,train,0.26377245783805847,59.1875,4.49609375,0.09088134765625,0.0999755859375,5.15234375,5.15234375,1.0078125,1.0078125,2301,11,2.041015625,,
25,train,0.2615220546722412,59.5,4.48828125,0.09088134765625,0.0999755859375,5.16796875,5.16796875,1.009765625,1.009765625,2351,11,2.037109375,,
1,val,0.8714639544487,55.90625,4.06640625,0.09088134765625,0.0999755859375,10.796875,10.7734375,1.2587890625,1.2587890625,1049,11,1.0849609375,0.36994815670387454,0.3509360858502681
2,val,1.016967535018921,55.90625,4.1953125,0.09088134765625,0.0999755859375,10.484375,10.484375,1.2451171875,1.2451171875,1109,11,1.1708984375,0.3778280160804972,0.3564102312439087
3,val,1.1433154344558716,55.71875,4.29296875,0.09088134765625,0.0999755859375,10.40625,10.40625,1.2421875,1.2421875,1111,11,1.1767578125,0.3840263119164083,0.3651256316107008
4,val,1.215064525604248,56.90625,4.31640625,0.09088134765625,0.0999755859375,9.9140625,9.90625,1.1943359375,1.1943359375,1112,11,1.21484375,0.3917507338684768,0.3686138752220102
5,val,1.2605286836624146,56.71875,4.3125,0.09088134765625,0.0999755859375,8.8359375,8.8359375,1.0712890625,1.0712890625,1070,11,1.2783203125,0.3945524810655271,0.3775679240130385
6,val,1.3248296976089478,56.0625,4.32421875,0.09088134765625,0.0999755859375,7.5,7.5,0.9208984375,0.9208984375,972,11,1.388671875,0.40334505703925444,0.38801395369380104
7,val,1.3520491123199463,55.9375,4.36328125,0.09088134765625,0.0999755859375,5.921875,5.921875,0.73876953125,0.73876953125,855,11,1.5986328125,0.4101554347921073,0.40336139744888644
8,val,1.3076772689819336,56.5625,4.2734375,0.09088134765625,0.0999755859375,4.4609375,4.4609375,0.56884765625,0.56884765625,671,11,1.7158203125,0.42669882445783813,0.41140216455333084
9,val,1.3730285167694092,56.15625,4.32421875,0.09088134765625,0.0999755859375,3.42578125,3.42578125,0.444091796875,0.444091796875,589,11,1.8408203125,0.4310256188991166,0.41330865700898883
10,val,1.3360800743103027,56.25,4.29296875,0.09088134765625,0.0999755859375,2.728515625,2.728515625,0.365478515625,0.365478515625,515,11,1.9150390625,0.4318006509545019,0.414579464412647
11,val,1.341281771659851,56.375,4.30078125,0.09088134765625,0.0999755859375,2.279296875,2.27734375,0.3125,0.3125,475,11,1.9423828125,0.43110935450885335,0.4172721758631295
12,val,1.384013295173645,56.53125,4.35546875,0.09088134765625,0.0999755859375,2.12890625,2.126953125,0.2958984375,0.2958984375,469,11,1.9423828125,0.42621697093689487,0.42003545872648185
13,val,1.328948736190796,56.40625,4.296875,0.09088134765625,0.0999755859375,1.8408203125,1.83984375,0.25830078125,0.25830078125,437,11,1.9599609375,0.4302742601651613,0.4170874974695545
14,val,1.3894281387329102,57.40625,4.3828125,0.09088134765625,0.0999755859375,1.837890625,1.8369140625,0.2568359375,0.2568359375,437,11,1.98828125,0.42261306833980306,0.41913591790217275
15,val,1.3761377334594727,56.84375,4.39453125,0.09088134765625,0.0999755859375,1.900390625,1.8994140625,0.264892578125,0.264892578125,446,11,1.947265625,0.4280150644391525,0.42035745378015416
16,val,1.357089638710022,56.90625,4.34765625,0.09088134765625,0.0999755859375,1.7392578125,1.73828125,0.2440185546875,0.2440185546875,438,11,1.953125,0.4318937807188328,0.4214469554458402
17,val,1.3749401569366455,57.40625,4.390625,0.09088134765625,0.0999755859375,1.73046875,1.7294921875,0.2425537109375,0.2425537109375,428,11,1.9609375,0.42424538008143464,0.42159414904905895
18,val,1.3761351108551025,56.84375,4.34765625,0.09088134765625,0.0999755859375,1.5771484375,1.5771484375,0.2216796875,0.2216796875,418,11,1.9521484375,0.4226949011628292,0.41572943428715736
19,val,1.3925107717514038,56.5,4.34765625,0.09088134765625,0.0999755859375,1.599609375,1.5986328125,0.224609375,0.224609375,412,11,1.9658203125,0.4244795188879047,0.41769870648828594
20,val,1.3995134830474854,57.125,4.2734375,0.09088134765625,0.0999755859375,1.572265625,1.5712890625,0.22412109375,0.22412109375,410,11,1.9560546875,0.42457491241612005,0.413891576806003
21,val,1.409516453742981,56.09375,4.3515625,0.09088134765625,0.0999755859375,1.6337890625,1.6337890625,0.233154296875,0.233154296875,432,11,1.9267578125,0.41856424412107546,0.41643136469851666
22,val,1.4604636430740356,56.40625,4.2890625,0.09088134765625,0.0999755859375,1.466796875,1.466796875,0.2083740234375,0.2083740234375,410,10,1.966796875,0.4276242126838149,0.41398271424693955
23,val,1.408681035041809,57.5625,4.30859375,0.09088134765625,0.0999755859375,1.5771484375,1.5771484375,0.220947265625,0.220947265625,421,11,1.943359375,0.418880073964594,0.4097253374663889
24,val,1.4189327955245972,57.8125,4.37109375,0.09088134765625,0.0999755859375,1.720703125,1.720703125,0.2412109375,0.2412109375,438,11,1.982421875,0.4205202689289546,0.41582583553794583
25,val,1.4312000274658203,57.1875,4.42578125,0.09088134765625,0.0999755859375,1.80859375,1.80859375,0.257568359375,0.257568359375,447,11,1.9755859375,0.42132894876374244,0.4212733305538843
1,val-nn,0.8745858073234558,55.5625,4.0546875,0.09088134765625,0.0999755859375,9.8671875,9.8671875,1.021484375,1.021484375,1060,10,1.044921875,0.3678102281164736,0.3462180760987087
2,val-nn,0.9969637393951416,56.625,4.1796875,0.09088134765625,0.0999755859375,9.4765625,9.4765625,1.0048828125,1.0048828125,1111,10,1.1220703125,0.3762768894597988,0.3571657448720448
3,val-nn,1.1440140008926392,56.40625,4.29296875,0.09088134765625,0.0999755859375,9.3671875,9.3671875,1.00390625,1.00390625,1116,10,1.1611328125,0.38350014421431805,0.3645228916202913
4,val-nn,1.2060221433639526,56.46875,4.30859375,0.09088134765625,0.0999755859375,8.875,8.875,0.951171875,0.951171875,1093,10,1.2568359375,0.39070438188598655,0.37264840719587966
5,val-nn,1.2511441707611084,56.34375,4.3046875,0.09088134765625,0.0999755859375,7.80859375,7.80859375,0.8369140625,0.8369140625,1022,10,1.3984375,0.4025953601169111,0.3878295343674364
6,val-nn,1.3101115226745605,56.5625,4.3125,0.09088134765625,0.0999755859375,6.50390625,6.50390625,0.69287109375,0.69287109375,821,10,1.7060546875,0.4188168256106938,0.41013477248638824
7,val-nn,1.3406049013137817,56.53125,4.36328125,0.09088134765625,0.0999755859375,4.96875,4.96875,0.5263671875,0.5263671875,559,10,2.16796875,0.4225492966746698,0.4321672123171665
8,val-nn,1.2863914966583252,56.90625,4.265625,0.09088134765625,0.0999755859375,3.61328125,3.61328125,0.378662109375,0.378662109375,344,10,2.412109375,0.43683363387325447,0.43439828702752076
9,val-nn,1.3396517038345337,57.0625,4.32421875,0.09088134765625,0.0999755859375,2.685546875,2.685546875,0.2763671875,0.2763671875,217,10,2.734375,0.4379058747072465,0.4383920470402637
10,val-nn,1.2823377847671509,57.53125,4.28515625,0.09088134765625,0.0999755859375,2.056640625,2.056640625,0.2110595703125,0.2110595703125,160,10,2.849609375,0.4405141305411948,0.4341036847771679
11,val-nn,1.3207584619522095,56.25,4.296875,0.09088134765625,0.0999755859375,1.66015625,1.66015625,0.1708984375,0.1708984375,117,10,2.9453125,0.43755064909904445,0.43519280429257523
12,val-nn,1.3722002506256104,57.03125,4.3515625,0.09088134765625,0.0999755859375,1.4990234375,1.4990234375,0.154296875,0.154296875,113,10,2.982421875,0.4331388094993521,0.4377642089198431
13,val-nn,1.3368287086486816,56.625,4.29296875,0.09088134765625,0.0999755859375,1.2802734375,1.2802734375,0.1319580078125,0.1319580078125,88,10,2.9765625,0.4338438288243582,0.4329507618044357
14,val-nn,1.3775216341018677,57.46875,4.37890625,0.09088134765625,0.0999755859375,1.2919921875,1.2919921875,0.1324462890625,0.1324462890625,78,10,3.0390625,0.4277757408005264,0.4321500401863273
15,val-nn,1.3552920818328857,57.65625,4.390625,0.09088134765625,0.0999755859375,1.2978515625,1.2978515625,0.134521484375,0.134521484375,86,10,3.017578125,0.43120841927424997,0.43563088489791485
16,val-nn,1.348757266998291,57.28125,4.34375,0.09088134765625,0.0999755859375,1.2060546875,1.2060546875,0.12384033203125,0.12384033203125,81,10,3.009765625,0.43628177850578925,0.4339950972174008
17,val-nn,1.3810069561004639,57.5625,4.39453125,0.09088134765625,0.0999755859375,1.189453125,1.189453125,0.122802734375,0.122802734375,64,10,3.029296875,0.42650561270778364,0.43622500170822526
18,val-nn,1.3743617534637451,57.28125,4.33984375,0.09088134765625,0.0999755859375,1.078125,1.078125,0.11102294921875,0.11102294921875,72,10,3.0234375,0.425556647825992,0.43004828614576524
19,val-nn,1.3894257545471191,57.46875,4.33984375,0.09088134765625,0.0999755859375,1.076171875,1.076171875,0.11181640625,0.11181640625,70,10,3.017578125,0.4279898932636662,0.43081266351439135
20,val-nn,1.3950579166412354,57.4375,4.2734375,0.09088134765625,0.0999755859375,1.0751953125,1.0751953125,0.11090087890625,0.11090087890625,65,10,2.984375,0.4310838372694708,0.4246751923934064
21,val-nn,1.39504873752594,57.0,4.35546875,0.09088134765625,0.0999755859375,1.1064453125,1.1064453125,0.11505126953125,0.11505126953125,69,10,3.025390625,0.42243282602480153,0.4250692833901974
22,val-nn,1.4262900352478027,57.40625,4.28515625,0.09088134765625,0.0999755859375,0.99853515625,0.99853515625,0.103515625,0.103515625,63,10,2.99609375,0.4300414791810365,0.42657323267351405
23,val-nn,1.4174590110778809,57.9375,4.3203125,0.09088134765625,0.0999755859375,1.0830078125,1.0830078125,0.1103515625,0.1103515625,73,10,3.009765625,0.42428623997403403,0.4220999231215127
24,val-nn,1.4392000436782837,58.0625,4.36328125,0.09088134765625,0.0999755859375,1.15625,1.15625,0.12054443359375,0.12054443359375,66,10,2.994140625,0.4239580719310422,0.4298640187954389
25,val-nn,1.406069040298462,57.75,4.42578125,0.09088134765625,0.0999755859375,1.197265625,1.197265625,0.12548828125,0.12548828125,69,10,3.05078125,0.4241478608026049,0.43564639059881727
