phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.5880554914474487,71.85391235351562,4.80087947845459,14633,,,,
train,0.3464787006378174,83.48504638671875,5.112559795379639,3060,,,,
train,0.25597211718559265,87.69010925292969,5.340487003326416,2055,,,,
train,0.24523811042308807,88.09517669677734,5.212679862976074,1967,,,,
train,0.2718232274055481,87.0828628540039,5.237051963806152,1676,,,,
val,0.3587482273578644,82.76210021972656,5.204637050628662,152,96.18438452107301,0.16167749209466678,0.055877380073070526,0.05262667313218117
val,0.34553515911102295,84.9798355102539,5.045362949371338,226,98.07450223971624,0.20669548349224376,0.13115926086902618,0.06637623906135559
val,0.2721320688724518,86.39112854003906,4.934475898742676,210,98.14856940793916,0.20790072344597366,0.08049441874027252,0.07789045572280884
val,0.21950498223304749,89.91935729980469,5.400201797485352,248,97.7876936852828,0.19547709148764372,0.06662338972091675,0.05855608731508255
val,0.2354225516319275,89.41532135009766,5.370967864990234,235,96.5372055723781,0.2109536078475767,0.055660687386989594,0.1630699634552002
val (no noise),0.35051560401916504,83.26612854003906,5.204637050628662,29,96.18438452107301,0.16855679852212982,0.06540048122406006,0.06694447249174118
val (no noise),0.32453933358192444,85.98789978027344,5.045362949371338,64,98.07450223971624,0.21302224305419207,0.14494898915290833,0.07811528444290161
val (no noise),0.2589179277420044,86.99596405029297,4.934475898742676,51,98.14856940793916,0.21500424115461472,0.08870430290699005,0.08926534652709961
val (no noise),0.20158998668193817,90.625,5.400201797485352,61,97.7876936852828,0.20372125011163467,0.07664154469966888,0.07093608379364014
val (no noise),0.2100280225276947,90.625,5.370967864990234,56,96.5372055723781,0.22017053705934875,0.06594698876142502,0.18233583867549896
