phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.6174868941307068,71.93020629882812,4.714608669281006,15355,,,,
train,0.4205249547958374,81.34239196777344,5.129471778869629,5194,,,,
train,0.3870745003223419,82.5000228881836,5.145431995391846,2600,,,,
train,0.3868771195411682,82.04032897949219,5.210367679595947,1954,,,,
train,0.3744187355041504,82.41476440429688,5.245107650756836,1836,,,,
val,0.45525670051574707,79.63710021972656,4.297379016876221,171,96.11587725684112,0.17669446555887686,0.014063919894397259,0.010911527089774609
val,0.3785173296928406,84.07257843017578,5.2368950843811035,193,97.22347674954293,0.10473644890883214,0.0062249754555523396,0.006008180323988199
val,0.3822706937789917,81.3508071899414,4.998991966247559,194,97.33287996352095,0.12310152232690912,0.02704446017742157,0.03712122142314911
val,0.3310468792915344,85.58467864990234,5.120967864990234,207,96.79739702743618,0.11132176153132858,0.050745487213134766,0.04281333461403847
val,0.3526252806186676,83.16532135009766,5.060483932495117,191,98.90070534184629,0.09607159536456734,0.07839842140674591,0.05300447717308998
val (no noise),0.4476003348827362,80.24193572998047,4.297379016876221,46,96.11587725684112,0.17367561834744277,0.013310803100466728,0.010071846656501293
val (no noise),0.36923089623451233,84.67742156982422,5.2368950843811035,42,97.22347674954293,0.10419706879744571,0.0042958809062838554,0.005182795226573944
val (no noise),0.3779297471046448,81.25,4.998991966247559,45,97.33287996352095,0.12316317657675156,0.028883466497063637,0.04111514985561371
val (no noise),0.3270561099052429,85.78629302978516,5.120967864990234,38,96.79739702743618,0.11174627133878082,0.05773568153381348,0.04704809933900833
val (no noise),0.3474840819835663,83.46774291992188,5.060483932495117,41,98.90070534184629,0.09594471800540574,0.09220796078443527,0.0614795982837677
