phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.603178083896637,71.06922912597656,6.607097625732422,48708,,,,
train,0.31012240052223206,85.25572204589844,7.195267677307129,33879,,,,
train,0.41667839884757996,80.84561157226562,9.081609725952148,35433,,,,
train,0.23123662173748016,88.97928619384766,10.473973274230957,28871,,,,
train,0.27436771988868713,86.837646484375,10.169322967529297,35802,,,,
val,0.4840649366378784,74.69757843017578,7.761088848114014,370,97.69619408334384,0.21571421340781124,0.4944424629211426,0.1868371218442917
val,0.26171690225601196,88.70967864990234,8.561491966247559,464,98.08663767947132,0.22781590765670318,0.04521341249346733,0.05732322856783867
val,0.26087358593940735,87.70161437988281,10.40625,551,91.88138739730431,0.20636041146279344,0.03496596962213516,0.077732153236866
val,0.23629096150398254,87.6008071899414,10.645161628723145,534,94.77693040276813,0.2023782303501013,0.03479284048080444,0.07019484788179398
val,0.30427590012550354,84.87903594970703,10.247983932495117,538,95.64520649275582,0.23855886166194662,0.05181841179728508,0.10717520862817764
val (no noise),0.4759150743484497,75.40322875976562,7.761088848114014,77,97.69619408334384,0.21515583915211334,0.5640944242477417,0.18598027527332306
val (no noise),0.2503907084465027,89.41532135009766,8.561491966247559,106,98.08663767947132,0.23209763656881288,0.05330993980169296,0.059543758630752563
val (no noise),0.2611900568008423,87.6008071899414,10.40625,136,91.88138739730431,0.21260913816508803,0.045232195407152176,0.08335180580615997
val (no noise),0.22954846918582916,88.1048355102539,10.645161628723145,105,94.77693040276813,0.2123643302142808,0.042262230068445206,0.06642632186412811
val (no noise),0.2995539605617523,85.38306427001953,10.247983932495117,110,95.64520649275582,0.2518949653066121,0.06871889531612396,0.1104578971862793
