phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.5721179842948914,72.1457290649414,4.582889080047607,8096,,,,
train,0.25091537833213806,88.2560806274414,5.338661193847656,6029,,,,
train,0.21293814480304718,89.6204833984375,5.384418964385986,5263,,,,
train,0.19583553075790405,90.36264038085938,5.385496139526367,4659,,,,
train,0.21463008224964142,89.53218078613281,5.5375847816467285,4850,,,,
val,0.3798695206642151,81.45161437988281,5.137096881866455,186,97.1968389302984,0.21728322036078876,0.3640792965888977,0.12284927815198898
val,0.2430383265018463,87.90322875976562,5.129032135009766,253,95.84107373855495,0.2038506923635076,0.1203647255897522,0.0694975033402443
val,0.18139217793941498,91.33064270019531,5.2368950843811035,272,97.27603553529727,0.18100676462336238,0.08825679123401642,0.09867223352193832
val,0.18840265274047852,90.7258071899414,5.113911151885986,251,98.81225557273589,0.20470118800684803,0.05781298875808716,0.0696464478969574
val,0.18625913560390472,90.7258071899414,5.262096881866455,275,96.60990935449489,0.17430732065141377,0.059889815747737885,0.07989048212766647
val (no noise),0.3613734841346741,82.25806427001953,5.137096881866455,49,97.1968389302984,0.2268516362974657,0.4287339150905609,0.13208463788032532
val (no noise),0.21664243936538696,88.91129302978516,5.129032135009766,77,95.84107373855495,0.2172261562949125,0.1314660757780075,0.065884068608284
val (no noise),0.16931523382663727,91.63306427001953,5.2368950843811035,85,97.27603553529727,0.18780573460031963,0.09799855202436447,0.11128344386816025
val (no noise),0.18224112689495087,90.92742156982422,5.113911151885986,87,98.81225557273589,0.21381293188352898,0.06301794946193695,0.07254248112440109
val (no noise),0.1661042422056198,91.2298355102539,5.262096881866455,87,96.60990935449489,0.18288279843626076,0.06622737646102905,0.08128325641155243
