phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.3384402394294739,84.79440307617188,5.983184337615967,17576,,,,
train,0.18655742704868317,91.09197998046875,5.99992561340332,5916,,,,
train,0.17712363600730896,91.39099884033203,5.999969959259033,4836,,,,
train,0.17862524092197418,91.36399841308594,5.999978065490723,5095,,,,
train,0.1827830672264099,91.02200317382812,5.999987602233887,5622,,,,
val,0.1986074447631836,90.7258071899414,6.0,393,97.56152911527724,0.20226835238068772,0.06264092028141022,0.11985932290554047
val,0.1784541755914688,91.43144989013672,6.0,378,97.62196342865563,0.20086672678016748,0.05129086226224899,0.1121613159775734
val,0.18130360543727875,90.82661437988281,6.0,333,94.3498829697051,0.21699768662671,0.08030116558074951,0.10555654019117355
val,0.1542484164237976,93.34677124023438,6.0,380,94.23867826226993,0.19787329457254577,0.02819194830954075,0.09421039372682571
val,0.16501986980438232,92.13710021972656,6.0,342,96.80899167367669,0.20193798325361711,0.06267942488193512,0.12600213289260864
val (no noise),0.19154126942157745,91.2298355102539,6.0,155,97.56152911527724,0.22201155166041847,0.0716744139790535,0.12198368459939957
val (no noise),0.17214834690093994,91.83467864990234,6.0,130,97.62196342865563,0.2168368892335799,0.05973886698484421,0.11558008193969727
val (no noise),0.1745770275592804,91.12903594970703,6.0,114,94.3498829697051,0.23222050842890424,0.09300731122493744,0.11783003807067871
val (no noise),0.14195767045021057,93.34677124023438,6.0,122,94.23867826226993,0.2250464840051274,0.03147182986140251,0.09827986359596252
val (no noise),0.1556364744901657,92.84274291992188,6.0,119,96.80899167367669,0.21539486253698417,0.07351110130548477,0.13315346837043762
