phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.6053115725517273,70.10151672363281,5.984256744384766,5592,,,,
train,0.2917823791503906,85.80095672607422,5.999989986419678,1080,,,,
train,0.20816515386104584,89.8540267944336,5.99998664855957,1005,,,,
train,0.2095278650522232,89.52400207519531,5.999998569488525,602,,,,
train,0.18932078778743744,90.37899780273438,6.0,599,,,,
val,0.44731104373931885,77.92338562011719,6.0,22,94.27204700453798,0.2192681030227644,0.5432959794998169,0.28283241391181946
val,0.2937290072441101,85.58467864990234,6.0,76,98.11994452217353,0.21668309794435325,0.16784223914146423,0.11280585080385208
val,0.2069704681634903,89.11289978027344,6.0,74,97.90560457238746,0.24121362185733433,0.15799380838871002,0.1381317377090454
val,0.18748171627521515,91.12903594970703,6.0,46,97.13911291471747,0.24320549386232085,0.08212002366781235,0.18780957162380219
val,0.16972538828849792,90.92742156982422,6.0,74,97.44975469037516,0.27725770714577763,0.035095520317554474,0.14905837178230286
