phase,loss,accuracy,length,lexicon_size,alignment,topographic_rho,pos_dis,bos_dis
train,0.5701265335083008,74.0881118774414,4.337268829345703,6691,,,,
train,0.3103044927120209,85.45791625976562,4.426004886627197,952,,,,
train,0.3149799108505249,85.07333374023438,5.007108211517334,1259,,,,
train,0.24214425683021545,88.54154968261719,5.40890645980835,676,,,,
train,0.24533849954605103,88.39996337890625,5.505415439605713,507,,,,
val,0.44902172684669495,77.5201644897461,4.315524101257324,38,96.4837062755041,0.1783714975097558,0.3067219853401184,0.11889593303203583
val,0.21734508872032166,89.51612854003906,4.7318549156188965,46,97.21378105752599,0.22327496677651654,0.29669636487960815,0.11209814250469208
val,0.2191552221775055,89.61693572998047,5.5393147468566895,75,94.44277049088264,0.23158328065405082,0.11989812552928925,0.251762717962265
val,0.2536945641040802,87.19757843017578,5.4455647468566895,68,96.0805501941952,0.27148318721647535,0.15180113911628723,0.21770961582660675
val,0.20448003709316254,90.22177124023438,5.495967864990234,65,96.28374420401859,0.2371992473277163,0.16116613149642944,0.1623050719499588
