epoch,phase,loss,accuracy,sender_entropy,receiver_entropy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,top_sim,pos_dis,bos_dis
1,train,-0.2601245939731598,28.140625,0.90576171875,1.162109375,2.587890625,111,11,,1.0966796875,,0.21956140422352577,0.4635292867258167,0.4635292867258167,,,
2,train,-0.4716469943523407,49.96875,0.3154296875,0.47265625,2.369140625,98,11,,0.9833984375,,0.38322425638932145,0.6270225280231204,0.6270225280231204,,,
3,train,-0.6572009325027466,64.6875,0.1217041015625,0.35791015625,2.36328125,54,11,,0.97021484375,,0.4386756966024966,0.6899159623314075,0.6899159623314075,,,
4,train,-0.7084166407585144,67.0625,0.0982666015625,0.338134765625,2.337890625,46,11,,0.92919921875,,0.4520795717784023,0.706196090529885,0.706196090529885,,,
5,train,-0.728229284286499,68.25,0.10711669921875,0.3115234375,2.361328125,67,11,,0.93115234375,,0.43325999461382836,0.6882832553822452,0.6882832553822452,,,
6,train,-0.7402642369270325,68.8125,0.06915283203125,0.29296875,2.3671875,65,11,,0.9501953125,,0.42199642685692806,0.6699113922217335,0.6699113922217335,,,
7,train,-0.7538931965827942,70.5,0.07794189453125,0.2705078125,2.3828125,62,11,,0.96630859375,,0.41976140757179625,0.6618616097647387,0.6618616097647387,,,
8,train,-0.7743015885353088,72.25,0.1041259765625,0.266357421875,2.3828125,62,11,,1.001953125,,0.4040111660650181,0.6495105239390981,0.6495105239390981,,,
9,train,-0.7867069244384766,73.375,0.09210205078125,0.257080078125,2.345703125,61,11,,0.98779296875,,0.3997983759466439,0.647347762823949,0.647347762823949,,,
10,train,-0.7906543612480164,73.5625,0.0755615234375,0.239013671875,2.353515625,54,11,,0.9892578125,,0.39794764081760614,0.6435265293005835,0.6435265293005835,,,
11,train,-0.7937348484992981,73.5,0.08367919921875,0.2286376953125,2.337890625,67,11,,0.98486328125,,0.4055317983793074,0.651213940674094,0.651213940674094,,,
12,train,-0.813829243183136,75.25,0.06195068359375,0.219482421875,2.41796875,79,11,,1.037109375,,0.3480054209123067,0.5849567823480681,0.5849567823480681,,,
13,train,-0.834091067314148,78.5625,0.060211181640625,0.1953125,2.48828125,75,11,,1.0498046875,,0.32708244896714533,0.5531428181731429,0.5531428181731429,,,
