epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,posdis,bosdis
1,train,1.6476411819458008,18.09375,3.09765625,0.1131591796875,0.1131591796875,16.078125,16.078125,3.955078125,3.955078125,1362,10,0.5673828125,,,
2,train,1.623228907585144,18.109375,1.26171875,0.1005859375,0.1005859375,3.427734375,3.427734375,1.9599609375,1.9599609375,9,9,0.005001068115234375,,,
3,train,1.6205846071243286,19.953125,1.087890625,0.09765625,0.09765625,2.36328125,2.36328125,1.8837890625,1.8837890625,4,4,0.0006251335144042969,,,
4,train,1.6203200817108154,20.640625,1.064453125,0.0966796875,0.0966796875,2.1484375,2.1484375,1.8779296875,1.8779296875,2,2,0.00020837783813476562,,,
5,train,1.6200581789016724,19.484375,1.0439453125,0.09698486328125,0.09698486328125,2.033203125,2.033203125,1.8759765625,1.8759765625,2,2,0.00020837783813476562,,,
6,train,1.6200037002563477,20.671875,1.04296875,0.0965576171875,0.0965576171875,1.9951171875,1.9951171875,1.875,1.875,3,3,0.00041675567626953125,,,
7,train,1.6198917627334595,20.140625,1.0390625,0.0966796875,0.0966796875,1.9677734375,1.9677734375,1.8740234375,1.8740234375,1,1,0.0,,,
8,train,1.6198350191116333,20.234375,1.037109375,0.09686279296875,0.09686279296875,1.9541015625,1.9541015625,1.8740234375,1.8740234375,1,1,0.0,,,
9,train,1.6199895143508911,19.859375,1.037109375,0.096435546875,0.096435546875,1.94921875,1.94921875,1.8740234375,1.8740234375,3,3,0.00041675567626953125,,,
10,train,1.6197417974472046,20.5,1.0322265625,0.096435546875,0.096435546875,1.9384765625,1.9384765625,1.8740234375,1.8740234375,1,1,0.0,,,
11,train,1.6198121309280396,19.75,1.0322265625,0.09674072265625,0.09674072265625,1.9365234375,1.9365234375,1.8740234375,1.8740234375,1,1,0.0,,,
12,train,1.6199421882629395,20.21875,1.0361328125,0.0965576171875,0.0965576171875,1.9423828125,1.9423828125,1.8740234375,1.8740234375,1,1,0.0,,,
13,train,1.6197164058685303,21.296875,1.0361328125,0.09661865234375,0.09661865234375,1.943359375,1.943359375,1.8740234375,1.8740234375,2,2,0.00020837783813476562,,,
14,train,1.619775414466858,20.765625,1.0400390625,0.09637451171875,0.09637451171875,1.94921875,1.94921875,1.8740234375,1.8740234375,2,2,0.00020837783813476562,,,
15,train,1.6197936534881592,19.921875,1.0322265625,0.096435546875,0.096435546875,1.9345703125,1.9345703125,1.873046875,1.873046875,1,1,0.0,,,
16,train,1.6201122999191284,19.640625,1.0400390625,0.09613037109375,0.09613037109375,1.9482421875,1.9482421875,1.873046875,1.873046875,1,1,0.0,,,
17,train,1.6198272705078125,19.921875,1.0302734375,0.0966796875,0.0966796875,1.91796875,1.91796875,1.8603515625,1.8603515625,1,1,0.0,,,
18,train,1.6198810338974,20.09375,1.0361328125,0.096435546875,0.096435546875,1.94140625,1.94140625,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
19,train,1.619984745979309,20.65625,1.037109375,0.096435546875,0.096435546875,1.943359375,1.943359375,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
20,train,1.6197686195373535,20.140625,1.029296875,0.09722900390625,0.09722900390625,1.9287109375,1.9287109375,1.873046875,1.873046875,1,1,0.0,,,
21,train,1.6196118593215942,20.265625,1.03515625,0.09674072265625,0.09674072265625,1.939453125,1.939453125,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
22,train,1.6196963787078857,21.296875,1.0400390625,0.0963134765625,0.0963134765625,1.94921875,1.94921875,1.873046875,1.873046875,1,1,0.0,,,
23,train,1.6195555925369263,20.78125,1.0361328125,0.096923828125,0.096923828125,1.9423828125,1.9423828125,1.873046875,1.873046875,3,3,0.00041675567626953125,,,
24,train,1.6197984218597412,19.828125,1.0302734375,0.0970458984375,0.0970458984375,1.9306640625,1.9306640625,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
25,train,1.619867205619812,19.71875,1.03125,0.09722900390625,0.09722900390625,1.9326171875,1.9326171875,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
26,train,1.619045615196228,21.328125,1.0361328125,0.09649658203125,0.09649658203125,1.9404296875,1.9404296875,1.873046875,1.873046875,1,1,0.0,,,
27,train,1.6192259788513184,20.0,1.0302734375,0.09698486328125,0.09698486328125,1.9306640625,1.9306640625,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
28,train,1.6195448637008667,20.90625,1.0341796875,0.0968017578125,0.0968017578125,1.9375,1.9375,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
29,train,1.6192415952682495,20.5,1.0322265625,0.09686279296875,0.09686279296875,1.93359375,1.93359375,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
30,train,1.6195614337921143,20.890625,1.0390625,0.0963134765625,0.0963134765625,1.9462890625,1.9462890625,1.873046875,1.873046875,1,1,0.0,,,
31,train,1.6191271543502808,20.875,1.0390625,0.09637451171875,0.09637451171875,1.9462890625,1.9462890625,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
32,train,1.6189570426940918,20.609375,1.0263671875,0.09686279296875,0.09686279296875,1.9228515625,1.9228515625,1.873046875,1.873046875,1,1,0.0,,,
33,train,1.6190683841705322,21.28125,1.0400390625,0.0966796875,0.0966796875,1.9482421875,1.9482421875,1.873046875,1.873046875,2,2,0.00020837783813476562,,,
